level	rewards1	rewards2
87	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
88	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
89	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
90	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
91	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
92	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
93	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
94	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
95	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
96	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
97	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
98	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
99	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
100	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
101	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
102	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
103	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
104	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
105	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
106	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
107	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
108	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
109	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
110	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
111	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
112	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
113	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
114	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
115	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
116	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
117	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
118	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
119	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
120	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
121	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
122	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
123	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
124	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
125	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
126	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
127	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
128	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
129	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
130	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
131	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
132	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
133	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
134	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
135	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
136	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
137	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
138	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
139	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
140	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
141	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
142	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
143	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
144	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
145	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
146	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
147	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
148	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
149	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
150	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
151	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
152	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
153	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
154	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
155	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
156	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
157	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
158	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
159	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
160	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
161	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
162	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
163	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
164	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
165	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
166	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
167	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
168	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
169	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
170	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
171	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
172	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
173	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
