atlasId	atlasGrade	atlasName	atlasDsc	atlasDsc1	atlasImg	actNeedCard	belongSuit	upGradeNeedCard	nextGrade	addCoef	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
25	1	地狱斧王	获得绿色地狱斧王卡牌可激活图鉴，该卡牌可在宝石2048中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_5	121	4	122	2	10000	45	0	0	0	15	0	0	0	0	0	0	0	0	0	0
25	2	地狱斧王	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_5	0	4	123	3	15000	90	0	0	0	30	0	0	0	0	0	0	0	0	0	0
25	3	地狱斧王	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_5	0	4	124	4	20000	135	0	0	0	45	0	0	0	0	0	0	50	0	0	0
25	4	地狱斧王	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_5	0	4	125	5	25000	180	0	0	0	60	0	0	0	0	0	0	75	0	0	0
25	5	地狱斧王	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_5	0	4	0	-1	30000	225	0	0	0	75	0	0	75	0	0	0	75	0	0	0
26	1	深渊蛮王	获得绿色深渊蛮王卡牌可激活图鉴，该卡牌可在宝石2048中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_6	126	4	127	2	10000	45	0	0	0	0	0	15	0	0	0	0	0	0	0	0
26	2	深渊蛮王	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_6	0	4	128	3	15000	90	0	0	0	0	0	30	0	0	0	0	0	0	0	0
26	3	深渊蛮王	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_6	0	4	129	4	20000	135	0	0	0	0	0	45	0	0	0	0	0	50	0	0
26	4	深渊蛮王	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_6	0	4	130	5	25000	180	0	0	0	0	0	60	0	0	0	0	0	75	0	0
26	5	深渊蛮王	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_6	0	4	0	-1	30000	225	0	0	0	0	0	75	75	0	0	0	0	75	0	0
27	1	神王之子	获得绿色神王之子卡牌可激活图鉴，该卡牌可在宝石2048中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_7	131	4	132	2	10000	0	0	0	15	15	15	0	0	0	0	0	0	0	0	0
27	2	神王之子	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_7	0	4	133	3	15000	0	0	0	30	30	30	0	0	0	0	0	0	0	0	0
27	3	神王之子	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_7	0	4	134	4	20000	0	0	0	45	45	45	0	0	0	0	0	50	0	0	0
27	4	神王之子	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_7	0	4	135	5	25000	0	0	0	60	60	60	0	0	0	0	0	75	0	0	0
27	5	神王之子	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_7	0	4	0	-1	30000	0	0	0	75	75	75	0	0	75	0	0	75	0	0	0
28	1	战神熊猫	获得绿色战神熊猫卡牌可激活图鉴，该卡牌可在宝石2048中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_8	136	4	137	2	10000	0	0	0	15	0	15	15	0	0	0	0	0	0	0	0
28	2	战神熊猫	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_8	0	4	138	3	15000	0	0	0	30	0	30	30	0	0	0	0	0	0	0	0
28	3	战神熊猫	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_8	0	4	139	4	20000	0	0	0	45	0	45	45	0	0	0	0	0	50	0	0
28	4	战神熊猫	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_8	0	4	140	5	25000	0	0	0	60	0	60	60	0	0	0	0	0	75	0	0
28	5	战神熊猫	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_8	0	4	0	-1	30000	0	0	0	75	0	75	75	0	75	0	0	0	75	0	0
