itemCoding	libaoType	what	money	bindrmb	unbindrmb	tili	tarothp	items	tarots	items_60	tarots_60	ratemoney	ratebindrmb	rateunbindrmb	ratetili	ratetarothp	rateitems	ratetarots	rateitems_60	ratetarots_60
27029	9	宴会烟花礼包															[(5000,27030,1),(1250,26033,1),(1250,25600,5),(1250,26343,1),(1250,26342,1)]		[(5000,27030,1),(1250,26033,1),(1250,25600,5),(1250,26343,1),(1250,26342,1)]	
27030	9	普通变身卡礼包															[(1000,26988,1),(1000,26989,1),(500,26990,1),(1000,26991,1),(1000,26992,1),(500,26993,1),(1000,26994,1),(1000,26995,1),(500,26996,1),(1000,26997,1),(1000,26998,1),(1000,26999,1),(1000,27000,1),(250,27001,1),(1000,27002,1),(1000,27003,1),(500,27004,1),(1000,27005,1),(1000,27006,1),(500,27007,1),(1000,27008,1),(250,27009,1),(1000,27010,1),(1000,27011,1),(500,27012,1),(1000,27013,1),(1000,27014,1),(500,27015,1),(1000,27016,1),(1000,27017,1)]		[(1000,26988,1),(1000,26989,1),(500,26990,1),(1000,26991,1),(1000,26992,1),(500,26993,1),(1000,26994,1),(1000,26995,1),(500,26996,1),(1000,26997,1),(1000,26998,1),(1000,26999,1),(1000,27000,1),(250,27001,1),(1000,27002,1),(1000,27003,1),(500,27004,1),(1000,27005,1),(1000,27006,1),(500,27007,1),(1000,27008,1),(250,27009,1),(1000,27010,1),(1000,27011,1),(500,27012,1),(1000,27013,1),(1000,27014,1),(500,27015,1),(1000,27016,1),(1000,27017,1)]	
27031	9	打鬼高级变身卡礼包															[(1000,27018,1),(1000,27019,1),(1000,27020,1),(1000,27021,1),(1000,27022,1),(1000,27023,1),(500,27024,1),(50,27025,1)]		[(1000,27018,1),(1000,27019,1),(1000,27020,1),(1000,27021,1),(1000,27022,1),(1000,27023,1),(500,27024,1),(50,27025,1)]	
27032	9	烟花高级变身卡礼包															[(1000,27018,1),(1000,27019,1),(1000,27020,1),(1000,27021,1),(1000,27022,1),(1000,27023,1),(50,27024,1),(500,27025,1)]		[(1000,27018,1),(1000,27019,1),(1000,27020,1),(1000,27021,1),(1000,27022,1),(1000,27023,1),(50,27024,1),(500,27025,1)]	
27033	8	达人特权礼包						[(26026,1),(26267,1),(25600,20),(25837,20)]		[(26026,1),(26267,1),(25600,20),(25837,20)]										
27034	8	獨門好康禮盒	2000000	40				[(25600,5),(26450,3),(26952,1)]		[(25600,5),(26450,3),(26952,1)]										
27035	10	命魂随机礼包																[(2000,30,1),(2000,31,1),(2000,32,1),(2000,33,1),(2000,34,1),(100,39,1),(100,40,1),(100,41,1),(100,42,1),(100,43,1)]		[(2000,30,1),(2000,31,1),(2000,32,1),(2000,33,1),(2000,34,1),(2000,35,1),(2000,36,1),(2000,37,1),(2000,38,1),(100,39,1),(100,40,1),(100,41,1),(100,42,1),(100,43,1),(100,44,1),(100,45,1),(100,46,1),(100,47,1)]
27036	8	万圣节时装大礼包						[(37018,1),(37019,1),(37020,1),(26677,12)]		[(37018,1),(37019,1),(37020,1),(26677,12)]										
27037	8	微端回归礼包	10000000			100		[(26634,3),(26026,3)]		[(26634,3),(26026,3)]										
27040	8	精英豪华大礼包						[(25600,20),(25749,1),(26925,4),(26924,4)]		[(25600,20),(25749,1),(26925,4),(26924,4)]										
27063	8	恶魔礼盒						[(37006,1)]		[(37006,1)]										
27070	8	恶魔时装武器礼包						[(37005,1)]		[(37005,1)]										
27071	8	七星召唤令礼包						[(27047,5)]		[(27047,5)]										
27072	8	六阶材料礼包						[(27048,160),(27049,80),(27050,40)]		[(27048,160),(27049,80),(27050,40)]										
27074	11	日常惊喜礼盒（140-159）										(4985, 30000)					[(4985, 25641, 1), (14, 26607, 1),(1, 27057, 1),(1, 27058, 1),(1, 27059, 1),(1, 27060, 1),(1, 27061, 1),(1, 27062, 1), (5, 27067, 1), (5, 27047, 1)]		[(4985, 25641, 1), (14, 26607, 1),(1, 27057, 1),(1, 27058, 1),(1, 27059, 1),(1, 27060, 1),(1, 27061, 1),(1, 27062, 1), (5, 27067, 1), (5, 27047, 1)]	
27075	8	超值精選好禮						[(26450,5),(26933,3),(26227,1),(26026,1)]		[(26450,5),(26933,3),(26227,1),(26026,1)]										
27076	9	感恩礼包															[(1000,26032,1),(1000,26266,1),(1000,25600,1),(1000,25837,1)]		[(1000,26032,1),(1000,26266,1),(1000,25600,1),(1000,25837,1)]	
27078	8	基地大放送禮盒	2000000					[(26933,5),(26450,3),(26952,1)]		[(26933,5),(26450,3),(26952,1)]										
27089	8	跨服王者礼包		1500				[(26227,1),(26341,150),(26450,10)]		[(26227,1),(26341,150),(26450,10)]										
27090	8	跨服荣耀礼包		1000				[(26119,3),(26341,100),(26450,7)]		[(26119,3),(26341,100),(26450,7)]										
27091	8	跨服勇者礼包		800				[(26119,2),(26341,80),(26450,5)]		[(26119,2),(26341,80),(26450,5)]										
27092	8	跨服参与礼包(一)		600				[(26266,3),(26341,60),(26450,3)]		[(26266,3),(26341,60),(26450,3)]										
27093	8	跨服参与礼包(二)		400				[(26266,2),(26341,40),(26450,2)]		[(26266,2),(26341,40),(26450,2)]										
27094	8	跨服参与礼包(三)		200				[(26266,1),(26341,20),(26450,1)]		[(26266,1),(26341,20),(26450,1)]										
27095	8	挖掘机黄金新手礼包						[(25600,10),(26344,10),(25656,1)]		[(25600,10),(26344,10),(25656,1)]										
27096	8	英雄升级优惠礼包	1000000					[(25642,20)]		[(25642,20)]										
27101	3	1111奖励神石			1111															
27105	7	物攻红魂礼包							[(40,1)]		[(40,1)]									
27106	7	法攻红魂礼包							[(41,1)]		[(41,1)]									
27107	7	暴击红魂礼包							[(44,1)]		[(44,1)]									
27112	8	（二）团购嘉年华1						[(25774,1),(25600,100)]		[(25774,1),(25600,100)]										
27113	8	（二）团购嘉年华2						[(25775,1),(26042,5)]		[(25775,1),(26042,5)]										
27114	8	（二）团购嘉年华3						[(25776,1),(26925,20),(26924,20)]		[(25776,1),(26925,20),(26924,20)]										
27115	8	（二）团购嘉年华4						[(26042,5),(26608,1)]		[(26042,5),(26608,1)]										
27116	8	（三）团购嘉年华1						[(25774,1),(25837,50),(26934,25)]		[(25774,1),(25837,50),(26934,25)]										
27117	8	（三）团购嘉年华2						[(25775,1),(26677,25),(26934,25)]		[(25775,1),(26677,25),(26934,25)]										
27118	8	（三）团购嘉年华3						[(25776,1),(26479,40),(26934,25)]		[(25776,1),(26479,40),(26934,25)]										
27119	8	（三）团购嘉年华4						[(25782,1),(26144,50),(26934,25)]		[(25782,1),(26144,50),(26934,25)]										
27120	8	（三）团购嘉年华5						[(25780,1),(25912,1),(26934,25)]		[(25780,1),(25912,1),(26934,25)]										
27121	8	（三）团购嘉年华6						[(25781,1),(25916,1),(26934,25)]		[(25781,1),(25916,1),(26934,25)]										
27122	8	（三）团购嘉年华7						[(25779,1),(25921,1),(26934,25)]		[(25779,1),(25921,1),(26934,25)]										
27123	8	（四）团购嘉年华1						[(25933,1),(26314,30),(26676,1)]		[(25933,1),(26314,30),(26676,1)]										
27124	8	（四）团购嘉年华2						[(25928,1),(26314,30),(26676,1)]		[(25928,1),(26314,30),(26676,1)]										
27125	8	（四）团购嘉年华3						[(25924,1),(26314,30),(26676,1)]		[(25924,1),(26314,30),(26676,1)]										
27126	8	（四）团购嘉年华4						[(25930,1),(26314,30),(26676,1)]		[(25930,1),(26314,30),(26676,1)]										
27127	8	（四）团购嘉年华5						[(25927,1),(26314,30),(26676,1)]		[(25927,1),(26314,30),(26676,1)]										
27128	8	（四）团购嘉年华6						[(25925,1),(26314,30),(26676,1)]		[(25925,1),(26314,30),(26676,1)]										
27129	8	（四）团购嘉年华7						[(26930,1),(26314,30)]		[(26930,1),(26314,30)]										
27130	8	团购嘉年华福利礼包1	1000000	55				[(26450,2)]		[(26450,2)]										
27137	3	1888奖励神石礼包			1888															
27138	3	200奖励神石礼包			200															
27139	2	1111魔晶礼包		1111																
27140	2	200魔晶礼包		20																
27141	8	坐骑培养石超级礼包						[(25600,100)]		[(25600,100)]										
27142	8	姻缘石大礼包						[(26344,100)]		[(26344,100)]										
27143	8	许愿币礼包						[(26450,20)]		[(26450,20)]										
27144	8	一星英雄进化大礼包						[(25676,20)]		[(25676,20)]										
27145	8	婚戒精炼大礼包						[(26342,50),(26343,50)]		[(26342,50),(26343,50)]										
27146	8	占卜令超级大礼						[(26042,10)]		[(26042,10)]										
27147	8	神龙进化大礼包						[(26925,20),(26924,20)]		[(26925,20),(26924,20)]										
27148	8	宠物培养大礼包						[(26144,100)]		[(26144,100)]										
27149	8	羽翼培养大礼包						[(25837,100)]		[(25837,100)]										
27150	8	时装升星大礼包						[(26677,50)]		[(26677,50)]										
27151	8	星灵升级大礼包						[(26933,50)]		[(26933,50)]										
27152	8	星灵升星大礼包						[(26934,50)]		[(26934,50)]										
27155	8	媒体专属初级礼包		100				[(25747,1),(25656,1),(25600,20),(26344,20)]		[(25747,1),(25656,1),(25600,20),(26344,20)]										
27156	8	媒体专属中级礼包		150				[(25749,1),(25656,1),(26344,20),(26342,20),(26343,10)]		[(25749,1),(25656,1),(26344,20),(26342,20),(26343,10)]										
27157	8	媒体专属高级礼包		200				[(26042,1),(25748,1),(25656,1),(25657,1),(26925,5),(26924,5)]		[(26042,1),(25748,1),(25656,1),(25657,1),(26925,5),(26924,5)]										
27158	1	普通祝福	100000																	
27159	12	豪华祝福	100000														[(1000,25600,1),(1000,26344,1),(900,26032,1),(1000,26342,1)]		[(1000,25600,1),(1000,26344,1),(600,26144,1),(600,25837,1),(900,26032,1),(1000,26342,1),(600,26266,1)]	
27160	1	普通馈礼	100000																	
27161	1	豪华馈礼	200000																	
27162	12	普通喜糖															[(1000,25600,1),(1000,26344,1),(900,26032,1),(1000,26342,1)]		[(1000,25600,1),(1000,26344,1),(600,26144,1),(600,25837,1),(900,26032,1),(1000,26342,1),(600,26266,1)]	
27163	12	高档喜糖															[(1000,26032,1),(600,26033,1),(1000,26344,3),(1000,26343,2),(1000,25600,3)]		[(1000,26032,1),(600,26033,1),(1000,26344,3),(1000,26343,2),(1000,25600,3),(800,26144,1),(800,25837,1),(900,26677,1),(500,26119,1),(1000,26302,2),(1000,26266,1)]	
27164	12	豪华喜糖															[(1000,26033,1),(600,26044,1),(100,26026,1),(1000,26343,2),(1000,26344,5),(1000,25600,5)]		[(1000,26033,1),(600,26044,1),(100,26026,1),(1000,26343,2),(1000,26344,5),(1000,25600,5),(900,26144,1),(900,25837,1),(100,26677,1),(900,26119,1),(1000,26302,2)]	
27174	6	神龙进化宝箱						[(26925,4),(26924,4)]		[(26925,4),(26924,4)]										
27175	6	全民星灵礼包						[(26934,5),(26933,5)]		[(26934,5),(26933,5)]										
27176	6	全民时装礼包						[(26676,1),(26677,15)]		[(26676,1),(26677,15)]										
27179	8	TGP惊喜礼包	100000	100				[(25600,10),(25656,1),(26044,1)]		[(25600,10),(25656,1),(26044,1)]										
27180	8	TGP至尊礼包	300000	300				[(35612,1),(25656,1),(25600,20),(26344,20),(25747,1)]		[(35612,1),(25656,1),(25600,20),(26344,20),(25747,1)]										
27181	8	腾讯动漫礼包		100				[(25656,1),(26344,10),(25600,10)]		[(25656,1),(26344,10),(25600,10)]										
27182	8	心悦神秘礼包						[(35620,1),(25656,2),(26450,5)]		[(35620,1),(25656,2),(26450,5)]										
27183	8	心悦惊喜礼包						[(35621,1),(25600,20),(26344,20),(26450,10)]		[(35621,1),(25600,20),(26344,20),(26450,10)]										
27184	8	心悦至尊礼包						[(35618,1),(25600,30),(26344,30),(26343,20),(26450,20)]		[(35618,1),(25600,30),(26344,30),(26343,20),(26450,20)]										
27185	6	1等獎						[(26483,1)]		[(26483,1)]										
27186	3	2等獎			1500															
27187	6	3等獎						[(26042,5)]		[(26042,5)]										
27188	6	4等獎						[(26026,3)]		[(26026,3)]										
27189	6	5等獎						[(25600,15)]		[(25600,15)]										
27190	1	6等獎	10000000																	
27359	9	古龙精华宝箱（一）															[(1000,27191,5),(1000,27191,6),(1000,27191,7),(1000,27191,8),(1000,27191,9),(1000,27191,10)]		[(1000,27191,5),(1000,27191,6),(1000,27191,7),(1000,27191,8),(1000,27191,9),(1000,27191,10)]	
27360	9	古龙精华宝箱（二）															[(1000,27191,6),(1000,27191,7),(1000,27191,8),(1000,27191,9),(1000,27191,10),(1000,27191,11),(1000,27191,12)]		[(1000,27191,6),(1000,27191,7),(1000,27191,8),(1000,27191,9),(1000,27191,10),(1000,27191,11),(1000,27191,12)]	
27361	9	古龙精华宝箱（三）															[(1000,27191,7),(1000,27191,8),(1000,27191,9),(1000,27191,10),(1000,27191,11),(1000,27191,12),(1000,27191,13),(1000,27191,14)]		[(1000,27191,7),(1000,27191,8),(1000,27191,9),(1000,27191,10),(1000,27191,11),(1000,27191,12),(1000,27191,13),(1000,27191,14)]	
27362	9	古龙精华宝箱（四）															[(1000,27191,8),(1000,27191,9),(1000,27191,10),(1000,27191,11),(1000,27191,12),(1000,27191,13),(1000,27191,14),(1000,27191,15),(1000,27191,16)]		[(1000,27191,8),(1000,27191,9),(1000,27191,10),(1000,27191,11),(1000,27191,12),(1000,27191,13),(1000,27191,14),(1000,27191,15),(1000,27191,16)]	
27363	9	古龙精华宝箱（五）															[(1000,27191,9),(1000,27191,10),(1000,27191,11),(1000,27191,12),(1000,27191,13),(1000,27191,14),(1000,27191,15),(1000,27191,16),(1000,27191,17),(1000,27191,18)]		[(1000,27191,9),(1000,27191,10),(1000,27191,11),(1000,27191,12),(1000,27191,13),(1000,27191,14),(1000,27191,15),(1000,27191,16),(1000,27191,17),(1000,27191,18)]	
27364	9	古龙精华宝箱（六）															[(1000,27191,10),(1000,27191,11),(1000,27191,12),(1000,27191,13),(1000,27191,14),(1000,27191,15),(1000,27191,16),(1000,27191,17),(1000,27191,18),(1000,27191,19),(1000,27191,20)]		[(1000,27191,10),(1000,27191,11),(1000,27191,12),(1000,27191,13),(1000,27191,14),(1000,27191,15),(1000,27191,16),(1000,27191,17),(1000,27191,18),(1000,27191,19),(1000,27191,20)]	
27376	9	普通火鸡礼包															[(1500,25681,20),(1500,25661,10),(1500,25666,10),(1500,25600,2),(1600,26032,1),(600,26033,1),(300,26044,1),(1000,27368,1)]		[(1500,25681,20),(1500,25661,10),(1500,25666,10),(1500,25600,2),(1600,26032,1),(600,26033,1),(300,26044,1),(1000,27368,1)]	
27377	9	普通火鸡礼包															[(1500,25671,5),(1500,25682,20),(1500,25661,10),(1500,25666,10),(1500,25600,2),(1600,26032,1),(600,26033,1),(300,26044,1),(1000,27368,1)]		[(1500,25671,5),(1500,25682,20),(1500,25661,10),(1500,25666,10),(1500,25600,2),(1600,26032,1),(600,26033,1),(300,26044,1),(1000,27368,1)]	
27378	9	普通火鸡礼包															[(1000,26144,1),(1000,25672,5),(1000,25683,20),(1000,25662,10),(1000,25667,10),(1000,25837,1),(1000,25600,2),(1100,26032,1),(500,26033,1),(200,26044,1),(800,26266,1),(300,26119,1),(100,26267,1),(1000,27368,1)]		[(1000,26144,1),(1000,25672,5),(1000,25683,20),(1000,25662,10),(1000,25667,10),(1000,25837,1),(1000,25600,2),(1100,26032,1),(500,26033,1),(200,26044,1),(800,26266,1),(300,26119,1),(100,26267,1),(1000,27368,1)]	
27379	9	普通火鸡礼包															[(1000,26144,1),(1000,25673,5),(1000,25684,20),(1000,25663,10),(1000,25668,10),(1000,25837,1),(1000,25600,2),(1100,26032,1),(500,26033,1),(200,26044,1),(800,26266,1),(300,26119,1),(100,26267,1),(1000,27368,1)]		[(1000,26144,1),(1000,25673,5),(1000,25684,20),(1000,25663,10),(1000,25668,10),(1000,25837,1),(1000,25600,2),(1100,26032,1),(500,26033,1),(200,26044,1),(800,26266,1),(300,26119,1),(100,26267,1),(1000,27368,1)]	
27380	9	普通火鸡礼包															[(1000,26144,1),(1000,25674,5),(1000,25685,20),(1000,25664,10),(1000,25669,10),(1000,25837,1),(1000,25600,2),(1100,26032,1),(500,26033,1),(200,26044,1),(800,26266,1),(300,26119,1),(100,26267,1),(1000,27368,1)]		[(1000,26144,1),(1000,25674,5),(1000,25685,20),(1000,25664,10),(1000,25669,10),(1000,25837,1),(1000,25600,2),(1100,26032,1),(500,26033,1),(200,26044,1),(800,26266,1),(300,26119,1),(100,26267,1),(1000,27368,1)]	
27381	9	普通火鸡礼包															[(1000,26144,1),(1000,25675,5),(1000,25686,20),(1000,25665,10),(1000,25670,10),(1000,25837,1),(1000,25600,2),(1100,26032,1),(500,26033,1),(200,26044,1),(800,26266,1),(300,26119,1),(100,26267,1),(1000,27368,1)]		[(1000,26144,1),(1000,25675,5),(1000,25686,20),(1000,25665,10),(1000,25670,10),(1000,25837,1),(1000,25600,2),(1100,26032,1),(500,26033,1),(200,26044,1),(800,26266,1),(300,26119,1),(100,26267,1),(1000,27368,1)]	
27382	9	普通火鸡礼包															[(1000,26144,1),(1000,27050,5),(1000,26607,20),(1000,27048,10),(1000,27049,10),(1000,25837,1),(1000,25600,2),(1100,26032,1),(500,26033,1),(200,26044,1),(800,26266,1),(300,26119,1),(100,26267,1),(1000,27368,1)]		[(1000,26144,1),(1000,27050,5),(1000,26607,20),(1000,27048,10),(1000,27049,10),(1000,25837,1),(1000,25600,2),(1100,26032,1),(500,26033,1),(200,26044,1),(800,26266,1),(300,26119,1),(100,26267,1),(1000,27368,1)]	
27383	9	高档火鸡礼包															[(1000,27369,1),(500,27370,1),(1000,25600,10),(1000,26344,10),(1000,26044,1),(500,26026,1),(1000,26450,2),(1000,26925,2),(1000,26924,2),(50,27371,1)]		[(1000,27369,1),(500,27370,1),(1000,25600,10),(1000,26344,10),(1000,26044,1),(500,26026,1),(1000,26450,2),(1000,26925,2),(1000,26924,2),(50,27371,1)]	
27384	9	高档火鸡礼包															[(1000,27369,1),(500,27370,1),(1000,26144,8),(1000,25837,8),(1000,26044,1),(500,26026,1),(1000,26267,1),(500,26227,1),(1000,26450,2),(1000,26479,5),(1000,26934,3),(1000,25831,10),(10000,25970,10),(50,27371,1)]		[(1000,27369,1),(500,27370,1),(1000,26144,8),(1000,25837,8),(1000,26044,1),(500,26026,1),(1000,26267,1),(500,26227,1),(1000,26450,2),(1000,26479,5),(1000,26934,3),(1000,25831,10),(10000,25970,10),(50,27371,1)]	
27385	8	百度专区礼包		50				[(25600,10),(25748,1),(25749,1)]		[(25600,10),(25748,1),(25749,1)]										
27386	8	30级召回礼包	1000000	1000				[(27566,5),(27488,1),(27387,1)]		[(27566,5),(27488,1),(27387,1)]										
27387	8	40级召回礼包	2000000	1000				[(28683,2),(27488,1),(27388,1)]		[(28683,2),(27488,1),(27388,1)]										
27388	8	50级召回礼包	3000000	1000				[(25837,10),(27489,1),(27389,1)]		[(25837,10),(27489,1),(27389,1)]										
27389	8	60级召回礼包	4000000					[(25887,1),(26676,1),(27489,1),(27393,1)]		[(25887,1),(26676,1),(27489,1),(27393,1)]										
27390	8	65级召回礼包	500000					[(27394,1),(27076,5),(27391,1)]		[(27394,1),(27076,5),(27391,1)]										
27391	8	70级召回礼包	600000					[(27395,1),(27076,5),(27392,1)]		[(27395,1),(27076,5),(27392,1)]										
27392	8	75级召回礼包	700000					[(27396,1),(27076,5),(27393,1)]		[(27396,1),(27076,5),(27393,1)]										
27393	8	80级召回礼包	10000000					[(27968,1),(27167,3),(27490,1)]		[(27968,1),(27167,3),(27490,1)]										
27401	8	聖誕歡樂禮盒	10000000					[(26450,5),(26933,5),(26026,1)]		[(26450,5),(26933,5),(26026,1)]										
27402	8	小组赛参与礼包		400				[(27420,20),(26450,2),(27471,5),(26026,1),(26934,3),(26677,3),(27041,2),(27042,2)]		[(27420,20),(26450,2),(27471,5),(26026,1),(26934,3),(26677,3),(27041,2),(27042,2)]										
27403	8	小组赛晋级礼包(天榜)		600				[(27420,24),(26450,3),(27471,5),(26026,1),(26934,3),(26677,3),(27041,2),(27042,2)]		[(27420,24),(26450,3),(27471,5),(26026,1),(26934,3),(26677,3),(27041,2),(27042,2)]										
27404	8	小组赛晋级礼包(地榜)		500				[(27420,22),(26450,2),(27471,5),(26026,1),(26934,3),(26677,3),(27041,2),(27042,2)]		[(27420,22),(26450,2),(27471,5),(26026,1),(26934,3),(26677,3),(27041,2),(27042,2)]										
27405	8	天榜冠军礼包		2700				[(27420,80),(26450,15),(27471,80),(26026,4),(26934,27),(26677,27),(27041,10),(27042,10)]		[(27420,80),(26450,15),(27471,80),(26026,4),(26934,27),(26677,27),(27041,10),(27042,10)]										
27406	8	天榜亚军礼包		2300				[(27420,60),(26450,13),(27471,60),(26026,4),(26934,22),(26677,22),(27041,7),(27042,7)]		[(27420,60),(26450,13),(27471,60),(26026,4),(26934,22),(26677,22),(27041,7),(27042,7)]										
27407	8	天榜4强礼包		2000				[(27420,50),(26450,11),(27471,50),(26026,4),(26934,17),(26677,17),(27041,5),(27042,5)]		[(27420,50),(26450,11),(27471,50),(26026,4),(26934,17),(26677,17),(27041,5),(27042,5)]										
27408	8	天榜8强礼包		1750				[(27420,45),(26450,10),(27471,45),(26026,3),(26934,15),(26677,15),(27041,4),(27042,4)]		[(27420,45),(26450,10),(27471,45),(26026,3),(26934,15),(26677,15),(27041,4),(27042,4)]										
27409	8	天榜16强礼包		1500				[(27420,40),(26450,9),(27471,40),(26026,3),(26934,13),(26677,13),(27041,4),(27042,4)]		[(27420,40),(26450,9),(27471,40),(26026,3),(26934,13),(26677,13),(27041,4),(27042,4)]										
27410	8	天榜32强礼包		1200				[(27420,36),(26450,8),(27471,35),(26026,3),(26934,11),(26677,11),(27041,4),(27042,4)]		[(27420,36),(26450,8),(27471,35),(26026,3),(26934,11),(26677,11),(27041,4),(27042,4)]										
27411	8	地榜冠军礼包		1000				[(27420,30),(26450,7),(27471,30),(26026,2),(26934,9),(26677,9),(27041,3),(27042,3)]		[(27420,30),(26450,7),(27471,30),(26026,2),(26934,9),(26677,9),(27041,3),(27042,3)]										
27412	8	地榜亚军礼包		900				[(27420,28),(26450,6),(27471,25),(26026,2),(26934,7),(26677,7),(27041,3),(27042,3)]		[(27420,28),(26450,6),(27471,25),(26026,2),(26934,7),(26677,7),(27041,3),(27042,3)]										
27413	8	地榜4强礼包		800				[(27420,26),(26450,5),(27471,20),(26026,2),(26934,5),(26677,5),(27041,3),(27042,3)]		[(27420,26),(26450,5),(27471,20),(26026,2),(26934,5),(26677,5),(27041,3),(27042,3)]										
27414	8	地榜8强礼包		700				[(27420,24),(26450,4),(27471,15),(26026,2),(26934,4),(26677,4),(27041,2),(27042,2)]		[(27420,24),(26450,4),(27471,15),(26026,2),(26934,4),(26677,4),(27041,2),(27042,2)]										
27415	8	地榜16强礼包		600				[(27420,22),(26450,3),(27471,10),(26026,2),(26934,3),(26677,3),(27041,2),(27042,2)]		[(27420,22),(26450,3),(27471,10),(26026,2),(26934,3),(26677,3),(27041,2),(27042,2)]										
27416	8	地榜32强礼包		500				[(27420,20),(26450,2),(27471,5),(26026,2),(26934,2),(26677,2),(27041,2),(27042,2)]		[(27420,20),(26450,2),(27471,5),(26026,2),(26934,2),(26677,2),(27041,2),(27042,2)]										
27417	8	天榜冠军专属礼包	10000000					[(27419,1)]		[(27419,1)]										
27418	8	地榜冠军专属礼包	5000000					[(27419,1)]		[(27419,1)]										
27423	8	Q-GAME惊喜礼包	200000					[(35606,1),(25656,1),(25600,10)]		[(35606,1),(25656,1),(25600,10)]										
27424	8	專屬禮包(1)	15000000					[(26933,10),(26934,10),(26936,20)]		[(26933,10),(26934,10),(26936,20)]										
27425	8	專屬禮包(3)	50000000					[(26933,200),(26934,200),(26936,400),(27035,2)]		[(26933,200),(26934,200),(26936,400),(27035,2)]										
27426	8	專屬禮包(5)	200000000					[(26933,800),(26934,800),(26936,1600),(27035,2),(27109,1)]		[(26933,800),(26934,800),(26936,1600),(27035,2),(27109,1)]										
27429	8	40级等级大礼（1）						[(25657,1)]		[(25657,1)]										
27430	8	40级等级大礼（2）	100000					[(26033,1),(25600,12)]		[(26033,1),(25600,12)]										
27431	8	40级等级大礼（3）	180000					[(25747,1),(25748,1),(25749,1),(25750,1)]		[(25747,1),(25748,1),(25749,1),(25750,1)]										
27432	8	46级等级大礼（1）						[(26032,1)]		[(26032,1)]										
27433	8	46级等级大礼（2）	100000					[(26033,1),(26344,12)]		[(26033,1),(26344,12)]										
27434	8	46级等级大礼（3）	580000					[(25600,50),(26344,50)]		[(25600,50),(26344,50)]										
27435	8	50级等级大礼（1）	200000					[(25682,20)]		[(25682,20)]										
27436	8	50级等级大礼（2）	300000					[(26042,1)]		[(26042,1)]										
27437	8	50级等级大礼（3）	400000						[(22,1),(2,1)]		[(22,1),(2,1)]									
27438	8	54级等级大礼（1）	200000					[(25682,20)]		[(25682,20)]										
27439	8	54级等级大礼（2）	300000					[(26042,1)]		[(26042,1)]										
27440	8	54级等级大礼（3）	400000						[(23,1),(2,1)]		[(23,1),(2,1)]									
27441	8	57级等级大礼（1）	200000					[(25682,20)]		[(25682,20)]										
27442	8	57级等级大礼（2）	300000					[(26042,1)]		[(26042,1)]										
27443	8	57级等级大礼（3）	400000						[(21,1),(2,1)]		[(21,1),(2,1)]									
27444	8	60级等级大礼（1）						[(26266,1)]		[(26266,1)]										
27446	8	60级等级大礼（3）	280000					[(25752, 1), (25753, 1), (25754, 1), (25755, 1),(26267,1)]		[(25752, 1), (25753, 1), (25754, 1), (25755, 1),(26267,1)]										
27447	8	65级等级大礼（1）	40000					[(25837,5)]		[(25837,5)]										
27448	8	65级等级大礼（2）	300000					[(25874,1),(25875,1),(25876,1),(25877,1),(26119,1)]		[(25874,1),(25875,1),(25876,1),(25877,1),(26119,1)]										
27449	8	65级等级大礼（3）	400000						[(26,1),(2,1)]		[(26,1),(2,1)]									
27450	8	67级等级大礼（1）	40000					[(25837,5)]		[(25837,5)]										
27451	8	67级等级大礼（2）	300000					[(25878,1),(25879,1),(25880,1),(25881,1),(26119,1)]		[(25878,1),(25879,1),(25880,1),(25881,1),(26119,1)]										
27452	8	67级等级大礼（3）	400000						[(28,1),(2,1)]		[(28,1),(2,1)]									
27453	8	70级等级大礼（1）	40000					[(26144,5)]		[(26144,5)]										
27454	8	70级等级大礼（2）						[(26166,1),(26221,10)]		[(26166,1),(26221,10)]										
27455	8	70级等级大礼（3）	400000						[(27,1),(2,1)]		[(27,1),(2,1)]									
27456	8	73级等级大礼（1）	40000					[(26144,5)]		[(26144,5)]										
27457	8	73级等级大礼（2）						[(26162,1),(26221,10)]		[(26162,1),(26221,10)]										
27458	8	73级等级大礼（3）	400000						[(29,1),(2,1)]		[(29,1),(2,1)]									
27459	8	75级等级大礼（1）	250000					[(25662,40),(25667,20),(25672,10)]		[(25662,40),(25667,20),(25672,10)]										
27460	8	75级等级大礼（2）	1000000					[(25683,100)]		[(25683,100)]										
27461	8	75级等级大礼（3）						[(26144,50),(26446,10),(26449,5)]		[(26144,50),(26446,10),(26449,5)]										
27462	8	80级等级大礼（1）						[(26031,1)]		[(26031,1)]										
27463	8	80级等级大礼（2）						[(26164,1),(26221,10)]		[(26164,1),(26221,10)]										
27464	8	80级等级大礼（3）						[(26298,5),(26272,10),(26302,10)]		[(26298,5),(26272,10),(26302,10)]										
27465	8	85级等级大礼（1）						[(26031,1)]		[(26031,1)]										
27466	8	85级等级大礼（2）						[(26161,1),(26221,10)]		[(26161,1),(26221,10)]										
27467	8	85级等级大礼（3）						[(26676,1),(26677,10)]		[(26676,1),(26677,10)]										
27469	8	星灵强化礼包						[(26934,5),(26933,5)]		[(26934,5),(26933,5)]										
27470	8	时装大礼包						[(26676,1),(26677,5)]		[(26676,1),(26677,5)]										
27472	8	獨家禮盒(1)		150				[(25600,10),(25638,5),(26032,3)]		[(25600,10),(25638,5),(26032,3)]										
