coding	name	Des	propsType	kinds	useLevel	useNeedItem	iconBackgroundColor	canSell	canOverlap	canUse	canUseSome	needLog	sortLevel	icon	bigIcon70	icon_FT	icon_US	icon_RU	icon_TK	icon_PL	icon_Fr	icon_EN	use	nameColor	saleBack	salePrice	saleBack2	salePrice2	doubleclick	minutes	timeoutCoding	invaluable	pbp	showGoods	kuaFuUse	jiaMi
26480	英雄徽章	道具	1	1	60		3	0	1	0	0	1	4680	yxhz									可以用于在徽章商店中兑换珍稀道具	紫色	0	0	0	0	0			0	0	0	1	1
26481	狮子座女神（紫）	礼包	1	1	80		3	0	1	1	1	1	4990	xztfk5									打开后可获得：#H紫色狮子座女神天赋卡*1	紫色	0	0	0	0	0			0	0	0	1	1
26482	狮子座女神（橙）	礼包	1	1	80		5	0	1	1	1	1	4990	xztfk5									打开后可获得：#H橙色狮子座女神天赋卡*1	橙色	0	0	0	0	0			0	0	0	1	1
26483	十级宝石礼盒	礼包	1	1	1		3	0	1	1	1	1	4990	lihebaoshi2									打开获得随机获得一个十级宝石。	紫色	0	1	0	0	0			0	0	0	1	1
26484	装备附魔宝箱钥匙	道具	1	1	60		3	0	1	0	0	1	4680	zbfmbxyaoshi									用于开启装备附魔宝箱	紫色	0	0	0	0	0			0	0	0	1	1
26485	装备附魔宝箱	礼包	1	1	60	26484	3	0	1	1	1	1	4990	lihebaoshi2									开启需消耗一个装备附魔宝箱钥匙，开启后随机获得1~10个装备附魔石	紫色	0	0	0	0	0			0	0	0	1	1
26486	七级宝石	数值	1	2	1		5	0	1	0	0	1	1200	baoshifagong7									随机获得一个七级宝石。	橙色	0	0	0	0	0			0	0	0	1	1
26487	七级符文	数值	1	2	1		5	0	1	0	0	1	1200	fuwenzhengyi7									随机获得一个七级符文。	橙色	0	0	0	0	0			0	0	0	1	1
26488	十级宝石	数值	1	2	1		6	0	1	0	0	1	1200	baoshiwugong10									随机获得一个十级宝石。	红色	0	0	0	0	0			0	0	0	1	1
26489	圣器精炼优惠小礼盒	礼包	1	1	1		4	1	0	1	0	1	4990	lihebaoshi1									开启需花费315神石，开启后获得洗练锁*12，金币+288000	黄色	0	10000	0	0	0	4320		0	0	0	1	1
26490	宝石超值礼盒	礼包	1	1	1		4	1	0	1	0	1	4990	lihebaoshi2									开启需花费888神石，开启后获得四级宝石礼盒*10，金币+2880000	黄色	0	10000	0	0	0	4320		0	0	0	1	1
26491	宠物培养超值礼盒	礼包	1	1	1		4	1	0	1	0	1	4990	lihebaoshi1									开启需花费888神石，开启后获得宠物圣果*100，金币+2880000	黄色	0	10000	0	0	0	4320		0	0	0	1	1
26492	羽翼培养超值礼盒	礼包	1	1	1		4	1	0	1	0	1	4990	lihebaoshi1									开启需花费888神石，开启后获得羽翼培养石*100，金币+2880000	黄色	0	10000	0	0	0	4320		0	0	0	1	1
26493	圣器精炼超值礼盒	礼包	1	1	1		4	1	0	1	0	1	4990	lihebaoshi2									开启需花费888神石，开启后获得洗练锁*100，金币+2880000	黄色	0	10000	0	0	0	4320		0	0	0	1	1
26494	符文超值礼盒	礼包	1	1	1		4	1	0	1	0	1	4990	lihebaoshi1									开启需花费888神石，开启后获得四级符文礼盒*10，金币+2880000	黄色	0	10000	0	0	0	4320		0	0	0	1	1
26495	宝石优惠小礼盒	礼包	1	1	1		4	1	0	1	0	1	4990	lihebaoshi2									开启需花费225神石，开启后获得四级符文礼盒*1，二级宝石礼盒*1，金币+288000	黄色	0	10000	0	0	0	4320		0	0	0	1	1
26496	羽翼培养优惠小礼盒	礼包	1	1	1		4	1	0	1	0	1	4990	lihebaoshi1									开启需花费345神石，开启后获得羽翼培养石*12，金币+288000	黄色	0	10000	0	0	0	4320		0	0	0	1	1
26497	宠物培养优惠小礼盒	礼包	1	1	1		4	1	0	1	0	1	4990	lihebaoshi2									开启需花费625神石，开启后获得宠物圣果*12，金币+288000	黄色	0	10000	0	0	0	4320		0	0	0	1	1
26498	符文优惠小礼盒	礼包	1	1	1		4	1	0	1	0	1	4990	lihebaoshi1									开启需花费195神石，开启后获得四级符文礼盒*1，金币+288000	黄色	0	10000	0	0	0	4320		0	0	0	1	1
26499	龙骑粉丝礼包	礼包	1	1	1		2	0	0	1	1	1	4990	tuangoulibao01									打开后可获得：金币*100000、魔晶*50、坐骑培养石*10、一星召唤令*2、一级宝石礼盒*2	蓝色	0	0	0	0	0			0	0	0	1	0
26500	龙鳞	英雄进化	1	1	120		3	1	1	1	0	1	4940	longlin									用于6星英雄进化。#H获得途径：副本掉落，副本商店兑换	紫色	0	1000	0	0	YXJINJIE			0	0	0	1	1
26511	六星归元精魄	英雄兑换	1	1	120		3	1	1	1	0	1	4970	guiyuanjingpo6									用于兑换六星紫色武将#H获得途径：解雇六星紫色,橙色武将	紫色	0	600000	0	0	YXDH			0	0	0	1	1
26512	VIP尊享礼包	礼包	1	1	1		2	0	0	1	1	1	4990	tuangoulibao01									打开后可获得：魔晶*100、坐骑培养石*20、高级占卜优惠卡*2	蓝色	0	0	0	0	0			0	0	0	1	0
26513	灭世剑卷轴	装备进阶	1	4	120		3	1	1	1	0	1	4920	120juanzhouwuqi									用于120级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	5000	0	0	ZBSJ			0	0	0	1	1
26514	灭世头盔卷轴	装备进阶	1	4	120		3	1	1	1	0	1	4920	120juanzhoutoukui									用于120级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	5000	0	0	ZBSJ			0	0	0	1	1
26515	灭世铠甲卷轴	装备进阶	1	4	120		3	1	1	1	0	1	4920	120juanzhouyifu									用于120级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	5000	0	0	ZBSJ			0	0	0	1	1
26516	灭世战靴卷轴	装备进阶	1	4	120		3	1	1	1	0	1	4920	120juanzhouxuezi									用于120级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	5000	0	0	ZBSJ			0	0	0	1	1
26517	灭世戒指卷轴	装备进阶	1	4	120		3	1	1	1	0	1	4920	120juanzhoujiezhi									用于120级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	5000	0	0	ZBSJ			0	0	0	1	1
26518	灭世手镯卷轴	装备进阶	1	4	120		3	1	1	1	0	1	4920	120juanzhoushouzu									用于120级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	5000	0	0	ZBSJ			0	0	0	1	1
26519	烈阳长弓图纸	神器升阶	1	4	120		3	1	1	1	0	1	4770	120tuzhichanggong										紫色	0	10000	0	0	OPEN_XZ_SJ			0	0	0	1	1
26520	烈阳战斧图纸	神器升阶	1	4	120		3	1	1	1	0	1	4770	120tuzhizhanfu										紫色	0	10000	0	0	OPEN_XZ_SJ			0	0	0	1	1
26521	烈阳战锤图纸	神器升阶	1	4	120		3	1	1	1	0	1	4770	120tuzhizhanchui										紫色	0	10000	0	0	OPEN_XZ_SJ			0	0	0	1	1
26522	烈阳匕首图纸	神器升阶	1	4	120		3	1	1	1	0	1	4770	120tuzhibishou										紫色	0	10000	0	0	OPEN_XZ_SJ			0	0	0	1	1
26523	烈阳圣枪图纸	神器升阶	1	4	120		3	1	1	1	0	1	4770	120tuzhishengqiang										紫色	0	10000	0	0	OPEN_XZ_SJ			0	0	0	1	1
26524	烈阳弯刀图纸	神器升阶	1	4	120		3	1	1	1	0	1	4770	120tuzhiwandao										紫色	0	10000	0	0	OPEN_XZ_SJ			0	0	0	1	1
26525	六星召唤令	英雄兑换	1	1	120		4	1	1	1	0	1	4970	zhaohuanling6									可用于六星英雄祭坛英雄召唤一次，有机会抽到紫色英雄	黄色	0	10000	0	0	YXJT			0	0	0	1	1
26526	贵族8高级至尊礼盒	礼包	1	1	80		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+1000，打开当前礼盒可获得魔晶+100，贵族8高级至尊礼盒(2)	黄色	0	0	0	0	0			0	0	0	1	1
26527	贵族8高级至尊礼盒(2)	礼包	1	1	85		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+1000，打开当前礼盒可获得魔晶+100，贵族8高级至尊礼盒(3)	黄色	0	0	0	0	0			0	0	0	1	1
26528	贵族8高级至尊礼盒(3)	礼包	1	1	90		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+1000，打开当前礼盒可获得魔晶+100，贵族8高级至尊礼盒(4)	黄色	0	0	0	0	0			0	0	0	1	1
26529	贵族8高级至尊礼盒(4)	礼包	1	1	95		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+1000，打开当前礼盒可获得魔晶+100，贵族8高级至尊礼盒(5)	黄色	0	0	0	0	0			0	0	0	1	1
26530	贵族8高级至尊礼盒(5)	礼包	1	1	100		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+1000，打开当前礼盒可获得魔晶+100，贵族8高级至尊礼盒(6)	黄色	0	0	0	0	0			0	0	0	1	1
26531	贵族8高级至尊礼盒(6)	礼包	1	1	105		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+1000，打开当前礼盒可获得魔晶+100，贵族8高级至尊礼盒(7)	黄色	0	0	0	0	0			0	0	0	1	1
26532	贵族8高级至尊礼盒(7)	礼包	1	1	110		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+1000，打开当前礼盒可获得魔晶+100，贵族8高级至尊礼盒(8)	黄色	0	0	0	0	0			0	0	0	1	1
26533	贵族8高级至尊礼盒(8)	礼包	1	1	115		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+1000，打开当前礼盒可获得魔晶+100，贵族8高级至尊礼盒(9)	黄色	0	0	0	0	0			0	0	0	1	1
26534	贵族8高级至尊礼盒(9)	礼包	1	1	120		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+1000，打开当前礼盒可获得魔晶+200	黄色	0	0	0	0	0			0	0	0	1	1
26535	贵族9高级至尊礼盒	礼包	1	1	80		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+1500，打开当前礼盒可获得魔晶+150，贵族9高级至尊礼盒(2)	黄色	0	0	0	0	0			0	0	0	1	1
26536	贵族9高级至尊礼盒(2)	礼包	1	1	85		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+1500，打开当前礼盒可获得魔晶+150，贵族9高级至尊礼盒(3)	黄色	0	0	0	0	0			0	0	0	1	1
26537	贵族9高级至尊礼盒(3)	礼包	1	1	90		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+1500，打开当前礼盒可获得魔晶+150，贵族9高级至尊礼盒(4)	黄色	0	0	0	0	0			0	0	0	1	1
26538	贵族9高级至尊礼盒(4)	礼包	1	1	95		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+1500，打开当前礼盒可获得魔晶+150，贵族9高级至尊礼盒(5)	黄色	0	0	0	0	0			0	0	0	1	1
26539	贵族9高级至尊礼盒(5)	礼包	1	1	100		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+1500，打开当前礼盒可获得魔晶+150，贵族9高级至尊礼盒(6)	黄色	0	0	0	0	0			0	0	0	1	1
26540	贵族9高级至尊礼盒(6)	礼包	1	1	105		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+1500，打开当前礼盒可获得魔晶+150，贵族9高级至尊礼盒(7)	黄色	0	0	0	0	0			0	0	0	1	1
26541	贵族9高级至尊礼盒(7)	礼包	1	1	110		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+1500，打开当前礼盒可获得魔晶+150，贵族9高级至尊礼盒(8)	黄色	0	0	0	0	0			0	0	0	1	1
26542	贵族9高级至尊礼盒(8)	礼包	1	1	115		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+1500，打开当前礼盒可获得魔晶+150，贵族9高级至尊礼盒(9)	黄色	0	0	0	0	0			0	0	0	1	1
26543	贵族9高级至尊礼盒(9)	礼包	1	1	120		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+1500，打开当前礼盒可获得魔晶+300	黄色	0	0	0	0	0			0	0	0	1	1
26544	贵族10高级至尊礼盒	礼包	1	1	80		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+2000，打开当前礼盒可获得魔晶+200，贵族10高级至尊礼盒(2)	黄色	0	0	0	0	0			0	0	0	1	1
26545	贵族10高级至尊礼盒(2)	礼包	1	1	85		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+2000，打开当前礼盒可获得魔晶+200，贵族10高级至尊礼盒(3)	黄色	0	0	0	0	0			0	0	0	1	1
26546	贵族10高级至尊礼盒(3)	礼包	1	1	90		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+2000，打开当前礼盒可获得魔晶+200，贵族10高级至尊礼盒(4)	黄色	0	0	0	0	0			0	0	0	1	1
26547	贵族10高级至尊礼盒(4)	礼包	1	1	95		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+2000，打开当前礼盒可获得魔晶+200，贵族10高级至尊礼盒(5)	黄色	0	0	0	0	0			0	0	0	1	1
26548	贵族10高级至尊礼盒(5)	礼包	1	1	100		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+2000，打开当前礼盒可获得魔晶+200，贵族10高级至尊礼盒(6)	黄色	0	0	0	0	0			0	0	0	1	1
26549	贵族10高级至尊礼盒(6)	礼包	1	1	105		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+2000，打开当前礼盒可获得魔晶+200，贵族10高级至尊礼盒(7)	黄色	0	0	0	0	0			0	0	0	1	1
26550	贵族10高级至尊礼盒(7)	礼包	1	1	110		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+2000，打开当前礼盒可获得魔晶+200，贵族10高级至尊礼盒(8)	黄色	0	0	0	0	0			0	0	0	1	1
26551	贵族10高级至尊礼盒(8)	礼包	1	1	115		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+2000，打开当前礼盒可获得魔晶+200，贵族10高级至尊礼盒(9)	黄色	0	0	0	0	0			0	0	0	1	1
26552	贵族10高级至尊礼盒(9)	礼包	1	1	120		4	0	1	1	1	1	4990	jiehunlibao1									礼盒共可获得魔晶+2000，打开当前礼盒可获得魔晶+400	黄色	0	0	0	0	0			0	0	0	1	1
26553	贵族8超级至尊礼盒	礼包	1	1	80		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得三级宝石礼盒+9，打开当前礼盒可获得三级宝石礼盒+1，贵族8超级至尊礼盒(2)	黄色	0	0	0	0	0			0	0	0	1	1
26554	贵族8超级至尊礼盒(2)	礼包	1	1	85		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得三级宝石礼盒+9，打开当前礼盒可获得三级宝石礼盒+1，贵族8超级至尊礼盒(3)	黄色	0	0	0	0	0			0	0	0	1	1
26555	贵族8超级至尊礼盒(3)	礼包	1	1	90		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得三级宝石礼盒+9，打开当前礼盒可获得三级宝石礼盒+1，贵族8超级至尊礼盒(4)	黄色	0	0	0	0	0			0	0	0	1	1
26556	贵族8超级至尊礼盒(4)	礼包	1	1	95		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得三级宝石礼盒+9，打开当前礼盒可获得三级宝石礼盒+1，贵族8超级至尊礼盒(5)	黄色	0	0	0	0	0			0	0	0	1	1
26557	贵族8超级至尊礼盒(5)	礼包	1	1	100		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得三级宝石礼盒+9，打开当前礼盒可获得三级宝石礼盒+1，贵族8超级至尊礼盒(6)	黄色	0	0	0	0	0			0	0	0	1	1
26558	贵族8超级至尊礼盒(6)	礼包	1	1	105		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得三级宝石礼盒+9，打开当前礼盒可获得三级宝石礼盒+1，贵族8超级至尊礼盒(7)	黄色	0	0	0	0	0			0	0	0	1	1
26559	贵族8超级至尊礼盒(7)	礼包	1	1	110		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得三级宝石礼盒+9，打开当前礼盒可获得三级宝石礼盒+1，贵族8超级至尊礼盒(8)	黄色	0	0	0	0	0			0	0	0	1	1
26560	贵族8超级至尊礼盒(8)	礼包	1	1	115		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得三级宝石礼盒+9，打开当前礼盒可获得三级宝石礼盒+1，贵族8超级至尊礼盒(9)	黄色	0	0	0	0	0			0	0	0	1	1
26561	贵族8超级至尊礼盒(9)	礼包	1	1	120		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得三级宝石礼盒+9，打开当前礼盒可获得三级宝石礼盒+1	黄色	0	0	0	0	0			0	0	0	1	1
26562	贵族9超级至尊礼盒	礼包	1	1	80		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得三级宝石礼盒+9，打开当前礼盒可获得三级宝石礼盒+1，贵族9超级至尊礼盒(2)	黄色	0	0	0	0	0			0	0	0	1	1
26563	贵族9超级至尊礼盒(2)	礼包	1	1	85		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得三级宝石礼盒+9，打开当前礼盒可获得三级宝石礼盒+1，贵族9超级至尊礼盒(3)	黄色	0	0	0	0	0			0	0	0	1	1
26564	贵族9超级至尊礼盒(3)	礼包	1	1	90		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得三级宝石礼盒+9，打开当前礼盒可获得三级宝石礼盒+1，贵族9超级至尊礼盒(4)	黄色	0	0	0	0	0			0	0	0	1	1
26565	贵族9超级至尊礼盒(4)	礼包	1	1	95		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得三级宝石礼盒+9，打开当前礼盒可获得三级宝石礼盒+1，贵族9超级至尊礼盒(5)	黄色	0	0	0	0	0			0	0	0	1	1
26566	贵族9超级至尊礼盒(5)	礼包	1	1	100		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得三级宝石礼盒+9，打开当前礼盒可获得三级宝石礼盒+1，贵族9超级至尊礼盒(6)	黄色	0	0	0	0	0			0	0	0	1	1
26567	贵族9超级至尊礼盒(6)	礼包	1	1	105		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得三级宝石礼盒+9，打开当前礼盒可获得三级宝石礼盒+1，贵族9超级至尊礼盒(7)	黄色	0	0	0	0	0			0	0	0	1	1
26568	贵族9超级至尊礼盒(7)	礼包	1	1	110		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得三级宝石礼盒+9，打开当前礼盒可获得三级宝石礼盒+1，贵族9超级至尊礼盒(8)	黄色	0	0	0	0	0			0	0	0	1	1
26569	贵族9超级至尊礼盒(8)	礼包	1	1	115		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得三级宝石礼盒+9，打开当前礼盒可获得三级宝石礼盒+1，贵族9超级至尊礼盒(9)	黄色	0	0	0	0	0			0	0	0	1	1
26570	贵族9超级至尊礼盒(9)	礼包	1	1	120		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得三级宝石礼盒+9，打开当前礼盒可获得三级宝石礼盒+1	黄色	0	0	0	0	0			0	0	0	1	1
26571	贵族10超级至尊礼盒	礼包	1	1	80		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得四级宝石礼盒+9，打开当前礼盒可获得四级宝石礼盒+1，贵族10超级至尊礼盒(2)	黄色	0	0	0	0	0			0	0	0	1	1
26572	贵族10超级至尊礼盒(2)	礼包	1	1	85		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得四级宝石礼盒+9，打开当前礼盒可获得四级宝石礼盒+1，贵族10超级至尊礼盒(3)	黄色	0	0	0	0	0			0	0	0	1	1
26573	贵族10超级至尊礼盒(3)	礼包	1	1	90		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得四级宝石礼盒+9，打开当前礼盒可获得四级宝石礼盒+1，贵族10超级至尊礼盒(4)	黄色	0	0	0	0	0			0	0	0	1	1
26574	贵族10超级至尊礼盒(4)	礼包	1	1	95		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得四级宝石礼盒+9，打开当前礼盒可获得四级宝石礼盒+1，贵族10超级至尊礼盒(5)	黄色	0	0	0	0	0			0	0	0	1	1
26575	贵族10超级至尊礼盒(5)	礼包	1	1	100		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得四级宝石礼盒+9，打开当前礼盒可获得四级宝石礼盒+1，贵族10超级至尊礼盒(6)	黄色	0	0	0	0	0			0	0	0	1	1
26576	贵族10超级至尊礼盒(6)	礼包	1	1	105		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得四级宝石礼盒+9，打开当前礼盒可获得四级宝石礼盒+1，贵族10超级至尊礼盒(7)	黄色	0	0	0	0	0			0	0	0	1	1
26577	贵族10超级至尊礼盒(7)	礼包	1	1	110		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得四级宝石礼盒+9，打开当前礼盒可获得四级宝石礼盒+1，贵族10超级至尊礼盒(8)	黄色	0	0	0	0	0			0	0	0	1	1
26578	贵族10超级至尊礼盒(8)	礼包	1	1	115		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得四级宝石礼盒+9，打开当前礼盒可获得四级宝石礼盒+1，贵族10超级至尊礼盒(9)	黄色	0	0	0	0	0			0	0	0	1	1
26579	贵族10超级至尊礼盒(9)	礼包	1	1	120		4	0	1	1	1	1	4990	jiehunlibao2									礼盒共可获得四级宝石礼盒+9，打开当前礼盒可获得四级宝石礼盒+1	黄色	0	0	0	0	0			0	0	0	1	1
26580	贵族8顶级至尊礼盒	礼包	1	1	80		3	0	1	1	1	1	4990	jiehunlibao3									打开可获得紫色命魂+1	紫色	0	0	0	0	0			0	0	0	1	1
26581	贵族8顶级至尊礼盒(2)(废)	礼包	1	1	85		3	0	1	0	1	1	4990	jiehunlibao3									打开当前礼盒可获得命魂小礼盒+5，贵族8顶级至尊礼盒(3)，最终可获得紫色命魂+1	紫色	0	0	0	0	0			0	0	0	1	1
26582	贵族8顶级至尊礼盒(3)(废)	礼包	1	1	90		3	0	1	0	1	1	4990	jiehunlibao3									打开当前礼盒可获得命魂小礼盒+5，贵族8顶级至尊礼盒(4)，最终可获得紫色命魂+1	紫色	0	0	0	0	0			0	0	0	1	1
26583	贵族8顶级至尊礼盒(4)(废)	礼包	1	1	95		3	0	1	0	1	1	4990	jiehunlibao3									打开当前礼盒可获得命魂小礼盒+5，贵族8顶级至尊礼盒(5)，最终可获得紫色命魂+1	紫色	0	0	0	0	0			0	0	0	1	1
26584	贵族8顶级至尊礼盒(5)(废)	礼包	1	1	100		3	0	1	0	1	1	4990	jiehunlibao3									打开当前礼盒可获得命魂小礼盒+5，贵族8顶级至尊礼盒(6)，最终可获得紫色命魂+1	紫色	0	0	0	0	0			0	0	0	1	1
26585	贵族8顶级至尊礼盒(6)(废)	礼包	1	1	105		3	0	1	0	1	1	4990	jiehunlibao3									打开当前礼盒可获得命魂小礼盒+5，贵族8顶级至尊礼盒(7)，最终可获得紫色命魂+1	紫色	0	0	0	0	0			0	0	0	1	1
26586	贵族8顶级至尊礼盒(7)(废)	礼包	1	1	110		3	0	1	0	1	1	4990	jiehunlibao3									打开当前礼盒可获得命魂小礼盒+5，贵族8顶级至尊礼盒(8)，最终可获得紫色命魂+1	紫色	0	0	0	0	0			0	0	0	1	1
26587	贵族8顶级至尊礼盒(8)(废)	礼包	1	1	115		3	0	1	0	1	1	4990	jiehunlibao3									打开当前礼盒可获得命魂小礼盒+5，贵族8顶级至尊礼盒(9)，最终可获得紫色命魂+1	紫色	0	0	0	0	0			0	0	0	1	1
26588	贵族8顶级至尊礼盒(9)(废)	礼包	1	1	120		3	0	1	0	1	1	4990	jiehunlibao3									打开获得命魂豪华礼盒+1，命魂小礼盒+5	紫色	0	0	0	0	0			0	0	0	1	1
26589	贵族9顶级至尊礼盒	礼包	1	1	100		4	0	1	1	1	1	4990	jiehunlibao3									打开可获得紫色命魂+1，有概率获得金色命魂	黄色	0	0	0	0	0			0	0	0	1	1
26590	贵族9顶级至尊礼盒(2)(废)	礼包	1	1	85		4	0	1	0	1	1	4990	jiehunlibao3									打开当前礼盒可获得命魂小礼盒+10，贵族9顶级至尊礼盒(3)，最终可获得紫色命魂+1	黄色	0	0	0	0	0			0	0	0	1	1
26591	贵族9顶级至尊礼盒(3)(废)	礼包	1	1	90		4	0	1	0	1	1	4990	jiehunlibao3									打开当前礼盒可获得命魂小礼盒+10，贵族9顶级至尊礼盒(4)，最终可获得紫色命魂+1	黄色	0	0	0	0	0			0	0	0	1	1
26592	贵族9顶级至尊礼盒(4)(废)	礼包	1	1	95		4	0	1	0	1	1	4990	jiehunlibao3									打开当前礼盒可获得命魂小礼盒+10，贵族9顶级至尊礼盒(5)，最终可获得紫色命魂+1	黄色	0	0	0	0	0			0	0	0	1	1
26593	贵族9顶级至尊礼盒(5)(废)	礼包	1	1	100		4	0	1	0	1	1	4990	jiehunlibao3									打开当前礼盒可获得命魂小礼盒+10，贵族9顶级至尊礼盒(6)，最终可获得紫色命魂+1	黄色	0	0	0	0	0			0	0	0	1	1
26594	贵族9顶级至尊礼盒(6)(废)	礼包	1	1	105		4	0	1	0	1	1	4990	jiehunlibao3									打开当前礼盒可获得命魂小礼盒+10，贵族9顶级至尊礼盒(7)，最终可获得紫色命魂+1	黄色	0	0	0	0	0			0	0	0	1	1
26595	贵族9顶级至尊礼盒(7)(废)	礼包	1	1	110		4	0	1	0	1	1	4990	jiehunlibao3									打开当前礼盒可获得命魂小礼盒+10，贵族9顶级至尊礼盒(8)，最终可获得紫色命魂+1	黄色	0	0	0	0	0			0	0	0	1	1
26596	贵族9顶级至尊礼盒(8)(废)	礼包	1	1	115		4	0	1	0	1	1	4990	jiehunlibao3									打开当前礼盒可获得命魂小礼盒+10，贵族9顶级至尊礼盒(9)，最终可获得紫色命魂+1	黄色	0	0	0	0	0			0	0	0	1	1
26597	贵族9顶级至尊礼盒(9)(废)	礼包	1	1	120		4	0	1	0	1	1	4990	jiehunlibao3									打开获得命魂豪华礼盒+1，命魂小礼盒+10	黄色	0	0	0	0	0			0	0	0	1	1
26598	贵族10顶级至尊礼盒	礼包	1	1	120		4	0	1	1	1	1	4990	jiehunlibao3									打开可获得金色命魂+1	黄色	0	0	0	0	0			0	0	0	1	1
26599	贵族10顶级至尊礼盒(2)(废)	礼包	1	1	85		4	0	1	0	1	1	4990	jiehunlibao3									打开当前礼盒可获得命魂小礼盒+10，贵族10顶级至尊礼盒(3)，最终可获得金色命魂+1	黄色	0	0	0	0	0			0	0	0	1	1
26600	贵族10顶级至尊礼盒(3)(废)	礼包	1	1	90		4	0	1	0	1	1	4990	jiehunlibao3									打开当前礼盒可获得命魂小礼盒+10，贵族10顶级至尊礼盒(4)，最终可获得金色命魂+1	黄色	0	0	0	0	0			0	0	0	1	1
26601	贵族10顶级至尊礼盒(4)(废)	礼包	1	1	95		4	0	1	0	1	1	4990	jiehunlibao3									打开当前礼盒可获得命魂小礼盒+10，贵族10顶级至尊礼盒(5)，最终可获得金色命魂+1	黄色	0	0	0	0	0			0	0	0	1	1
26602	贵族10顶级至尊礼盒(5)(废)	礼包	1	1	100		4	0	1	0	1	1	4990	jiehunlibao3									打开当前礼盒可获得命魂小礼盒+10，贵族10顶级至尊礼盒(6)，最终可获得金色命魂+1	黄色	0	0	0	0	0			0	0	0	1	1
