btnName	beizhu	closeLevel_cn	closeLevel_yy	closeLevel_tw	closeLevel_us	closeLevel_russia	closeLevel_tk	closeLevel_pl	closeLevel_fr	closeLevel_esp	closeLevel_en	closeLevel_sa	ch_cn	ch_yy	ch_tw	en_us	ru_russia	tk_turkish	pl_poland	fr_french	esp_Espana	en_xp	ru_tournament	sa_sasia	centerServerShow	paixu
dthdBtn	问答比赛	45	0	45	0	0	0	0	0	0	0	0	30	30	30	999	999	999	999	999	999	999	999	999	0	172
sylyBtn	深渊炼狱	0	0	0	0	0	0	0	0	0	0	0	100	100	100	999	999	999	999	999	999	999	999	999	0	173
djdfsBtn	点金大放送	0	0	0	0	0	0	0	0	0	0	0	120	120	120	120	999	999	999	999	999	999	999	120	0	174
bydrBtn	捕鱼达人	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	999	999	999	999	999	999	999	999	0	175
DownIcon_KPTJ	卡牌图鉴	0	0	0	0	0	0	0	0	0	0	0	38	999	38	38	38	38	38	38	999	38	38	38	1	1
ydklBtn	2016元旦快乐	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	999	999	999	999	999	999	999	999	0	177
DownIcon_YSZL	元素之灵	0	0	0	0	0	0	0	0	0	0	0	130	999	130	999	999	999	999	999	999	999	999	999	0	16
bs2048Btn	宝石2048	60	0	60	0	0	0	0	0	0	0	0	50	999	50	999	999	50	999	999	999	999	999	999	0	178
DownIcon_HolyStamp	圣印系统	0	0	0	0	0	0	0	0	0	0	0	130	999	130	999	999	999	999	999	999	999	999	999	0	23
kfzcBtn	跨服战场	0	0	0	0	0	0	0	0	0	0	0	130	999	130	999	999	999	999	999	999	999	999	999	0	179
hddtBtn	活动大厅	0	0	0	0	0	0	0	0	0	0	0	45	999	45	999	999	999	999	999	999	999	999	999	0	8
cjdhkBtn	春节大回馈	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	999	999	999	999	999	999	999	999	0	180
mmhyBtn	秘密花园	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	999	999	999	999	999	999	999	999	0	181
hlllkBtn	豪礼连连看 	0	0	0	0	0	0	0	0	0	0	0	40	40	40	999	999	40	999	999	999	999	999	999	0	182
szndBtn	时装扭蛋	0	0	0	0	0	0	0	0	0	0	0	85	85	85	999	999	999	999	999	999	999	999	999	0	183
lzhkdlBtn	蓝钻回馈大礼	0	0	0	0	0	0	0	0	0	0	0	20	999	999	999	999	999	999	999	999	999	999	999	0	184
zqndBtn	坐骑扭蛋	0	0	0	0	0	0	0	0	0	0	0	40	40	40	999	999	999	999	999	999	999	999	999	0	185
sjdzzBtn	收集大作战	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	999	999	999	999	999	999	999	999	0	186
yjphbBtn	印记排行榜	0	0	0	0	0	0	0	0	0	0	0	130	999	130	999	999	999	999	999	999	999	999	999	0	187
