AFIndex	FightType	MonsterId	MoneyToReward	MoneyToReward_fcm	ItemsToReward	ItemsToReward_fcm	RandomReward	RandomRewardRate	Sample	Sample_fcm
151	37	10450	135000	67500	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,135000),(25643,6),(26272,1)]	[(25828,67500),(25643,3),(26272,1)]
152	37	10451	136000	68000	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,136000),(25643,6),(26272,1)]	[(25828,68000),(25643,3),(26272,1)]
153	37	10452	137000	68500	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,137000),(25643,6),(26272,1)]	[(25828,68500),(25643,3),(26272,1)]
154	37	10453	138000	69000	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,138000),(25643,6),(26272,1)]	[(25828,69000),(25643,3),(26272,1)]
155	37	10454	139000	69500	[(25643,6)]	[(25643,3)]	35803	[(750,0),(250,1)]	[(25828,139000),(25643,6),(35803,1)]	[(25828,69500),(25643,3),(35803,1)]
156	37	10455	140000	70000	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,140000),(25643,6),(26272,1)]	[(25828,70000),(25643,3),(26272,1)]
157	37	10456	141000	70500	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,141000),(25643,7),(26272,1)]	[(25828,70500),(25643,4),(26272,1)]
158	37	10457	142000	71000	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,142000),(25643,7),(26272,1)]	[(25828,71000),(25643,4),(26272,1)]
159	37	10458	143000	71500	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,143000),(25643,7),(26272,1)]	[(25828,71500),(25643,4),(26272,1)]
160	37	10459	144000	72000	[(25643,7)]	[(25643,4)]	35803	[(750,0),(250,1)]	[(25828,144000),(25643,7),(35803,1)]	[(25828,72000),(25643,4),(35803,1)]
161	37	10460	145000	72500	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,145000),(25643,7),(26272,1)]	[(25828,72500),(25643,4),(26272,1)]
162	37	10461	146000	73000	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,146000),(25643,7),(26272,1)]	[(25828,73000),(25643,4),(26272,1)]
163	37	10462	147000	73500	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,147000),(25643,7),(26272,1)]	[(25828,73500),(25643,4),(26272,1)]
164	37	10463	148000	74000	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,148000),(25643,7),(26272,1)]	[(25828,74000),(25643,4),(26272,1)]
165	37	10464	149000	74500	[(25643,7)]	[(25643,4)]	35803	[(750,0),(250,1)]	[(25828,149000),(25643,7),(35803,1)]	[(25828,74500),(25643,4),(35803,1)]
166	37	10465	150000	75000	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,150000),(25643,7),(26272,1)]	[(25828,75000),(25643,4),(26272,1)]
167	37	10466	151000	75500	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,151000),(25643,7),(26272,1)]	[(25828,75500),(25643,4),(26272,1)]
168	37	10467	152000	76000	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,152000),(25643,7),(26272,1)]	[(25828,76000),(25643,4),(26272,1)]
169	37	10468	153000	76500	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,153000),(25643,7),(26272,1)]	[(25828,76500),(25643,4),(26272,1)]
170	37	10469	154000	77000	[(25643,7)]	[(25643,4)]	35803	[(750,0),(250,1)]	[(25828,154000),(25643,7),(35803,1)]	[(25828,77000),(25643,4),(35803,1)]
171	37	10470	155000	77500	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,155000),(25643,7),(26272,1)]	[(25828,77500),(25643,4),(26272,1)]
172	37	10471	156000	78000	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,156000),(25643,8),(26272,1)]	[(25828,78000),(25643,4),(26272,1)]
173	37	10472	157000	78500	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,157000),(25643,8),(26272,1)]	[(25828,78500),(25643,4),(26272,1)]
174	37	10473	158000	79000	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,158000),(25643,8),(26272,1)]	[(25828,79000),(25643,4),(26272,1)]
175	37	10474	159000	79500	[(25643,8)]	[(25643,4)]	35803	[(750,0),(250,1)]	[(25828,159000),(25643,8),(35803,1)]	[(25828,79500),(25643,4),(35803,1)]
176	37	10475	160000	80000	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,160000),(25643,8),(26272,1)]	[(25828,80000),(25643,4),(26272,1)]
177	37	10476	161000	80500	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,161000),(25643,8),(26272,1)]	[(25828,80500),(25643,4),(26272,1)]
178	37	10477	162000	81000	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,162000),(25643,8),(26272,1)]	[(25828,81000),(25643,4),(26272,1)]
179	37	10478	163000	81500	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,163000),(25643,8),(26272,1)]	[(25828,81500),(25643,4),(26272,1)]
180	37	10479	164000	82000	[(25643,8)]	[(25643,4)]	35809	[(750,0),(250,1)]	[(25828,164000),(25643,8),(35809,1)]	[(25828,82000),(25643,4),(35809,1)]
181	37	10480	165000	82500	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,165000),(25643,8),(26272,1)]	[(25828,82500),(25643,4),(26272,1)]
182	37	10481	166000	83000	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,166000),(25643,8),(26272,1)]	[(25828,83000),(25643,4),(26272,1)]
183	37	10482	167000	83500	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,167000),(25643,8),(26272,1)]	[(25828,83500),(25643,4),(26272,1)]
184	37	10483	168000	84000	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,168000),(25643,8),(26272,1)]	[(25828,84000),(25643,4),(26272,1)]
185	37	10484	169000	84500	[(25643,8)]	[(25643,4)]	35809	[(750,0),(250,1)]	[(25828,169000),(25643,8),(35809,1)]	[(25828,84500),(25643,4),(35809,1)]
186	37	10485	170000	85000	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,170000),(25643,8),(26272,1)]	[(25828,85000),(25643,4),(26272,1)]
187	37	10486	171000	85500	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,171000),(25643,9),(26272,1)]	[(25828,85500),(25643,5),(26272,1)]
188	37	10487	172000	86000	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,172000),(25643,9),(26272,1)]	[(25828,86000),(25643,5),(26272,1)]
189	37	10488	173000	86500	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,173000),(25643,9),(26272,1)]	[(25828,86500),(25643,5),(26272,1)]
190	37	10489	174000	87000	[(25643,9)]	[(25643,5)]	35809	[(750,0),(250,1)]	[(25828,174000),(25643,9),(35809,1)]	[(25828,87000),(25643,5),(35809,1)]
191	37	10490	175000	87500	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,175000),(25643,9),(26272,1)]	[(25828,87500),(25643,5),(26272,1)]
192	37	10491	176000	88000	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,176000),(25643,9),(26272,1)]	[(25828,88000),(25643,5),(26272,1)]
193	37	10492	177000	88500	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,177000),(25643,9),(26272,1)]	[(25828,88500),(25643,5),(26272,1)]
194	37	10493	178000	89000	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,178000),(25643,9),(26272,1)]	[(25828,89000),(25643,5),(26272,1)]
195	37	10494	179000	89500	[(25643,9)]	[(25643,5)]	35815	[(750,0),(250,1)]	[(25828,179000),(25643,9),(35815,1)]	[(25828,89500),(25643,5),(35815,1)]
196	37	10495	180000	90000	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,180000),(25643,9),(26272,1)]	[(25828,90000),(25643,5),(26272,1)]
197	37	10496	181000	90500	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,181000),(25643,9),(26272,1)]	[(25828,90500),(25643,5),(26272,1)]
198	37	10497	182000	91000	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,182000),(25643,9),(26272,1)]	[(25828,91000),(25643,5),(26272,1)]
199	37	10498	183000	91500	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,183000),(25643,9),(26272,1)]	[(25828,91500),(25643,5),(26272,1)]
200	37	10499	184000	92000	[(25643,9)]	[(25643,5)]	35815	[(750,0),(250,1)]	[(25828,184000),(25643,9),(35815,1)]	[(25828,92000),(25643,5),(35815,1)]
201	37	10500	155000	77500	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,155000),(25643,6),(26272,1)]	[(25828,77500),(25643,3),(26272,1)]
202	37	10501	156000	78000	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,156000),(25643,6),(26272,1)]	[(25828,78000),(25643,3),(26272,1)]
203	37	10502	157000	78500	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,157000),(25643,6),(26272,1)]	[(25828,78500),(25643,3),(26272,1)]
204	37	10503	158000	79000	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,158000),(25643,6),(26272,1)]	[(25828,79000),(25643,3),(26272,1)]
205	37	10504	159000	79500	[(25643,6)]	[(25643,3)]	35804	[(750,0),(250,1)]	[(25828,159000),(25643,6),(35804,1)]	[(25828,79500),(25643,3),(35804,1)]
206	37	10505	160000	80000	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,160000),(25643,6),(26272,1)]	[(25828,80000),(25643,3),(26272,1)]
207	37	10506	161000	80500	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,161000),(25643,7),(26272,1)]	[(25828,80500),(25643,4),(26272,1)]
208	37	10507	162000	81000	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,162000),(25643,7),(26272,1)]	[(25828,81000),(25643,4),(26272,1)]
209	37	10508	163000	81500	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,163000),(25643,7),(26272,1)]	[(25828,81500),(25643,4),(26272,1)]
210	37	10509	164000	82000	[(25643,7)]	[(25643,4)]	35804	[(750,0),(250,1)]	[(25828,164000),(25643,7),(35804,1)]	[(25828,82000),(25643,4),(35804,1)]
211	37	10510	165000	82500	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,165000),(25643,7),(26272,1)]	[(25828,82500),(25643,4),(26272,1)]
212	37	10511	166000	83000	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,166000),(25643,7),(26272,1)]	[(25828,83000),(25643,4),(26272,1)]
213	37	10512	167000	83500	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,167000),(25643,7),(26272,1)]	[(25828,83500),(25643,4),(26272,1)]
214	37	10513	168000	84000	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,168000),(25643,7),(26272,1)]	[(25828,84000),(25643,4),(26272,1)]
215	37	10514	169000	84500	[(25643,7)]	[(25643,4)]	35804	[(750,0),(250,1)]	[(25828,169000),(25643,7),(35804,1)]	[(25828,84500),(25643,4),(35804,1)]
216	37	10515	170000	85000	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,170000),(25643,7),(26272,1)]	[(25828,85000),(25643,4),(26272,1)]
217	37	10516	171000	85500	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,171000),(25643,7),(26272,1)]	[(25828,85500),(25643,4),(26272,1)]
218	37	10517	172000	86000	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,172000),(25643,7),(26272,1)]	[(25828,86000),(25643,4),(26272,1)]
219	37	10518	173000	86500	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,173000),(25643,7),(26272,1)]	[(25828,86500),(25643,4),(26272,1)]
220	37	10519	174000	87000	[(25643,7)]	[(25643,4)]	35804	[(750,0),(250,1)]	[(25828,174000),(25643,7),(35804,1)]	[(25828,87000),(25643,4),(35804,1)]
221	37	10520	175000	87500	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,175000),(25643,7),(26272,1)]	[(25828,87500),(25643,4),(26272,1)]
222	37	10521	176000	88000	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,176000),(25643,8),(26272,1)]	[(25828,88000),(25643,4),(26272,1)]
223	37	10522	177000	88500	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,177000),(25643,8),(26272,1)]	[(25828,88500),(25643,4),(26272,1)]
224	37	10523	178000	89000	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,178000),(25643,8),(26272,1)]	[(25828,89000),(25643,4),(26272,1)]
225	37	10524	179000	89500	[(25643,8)]	[(25643,4)]	35804	[(750,0),(250,1)]	[(25828,179000),(25643,8),(35804,1)]	[(25828,89500),(25643,4),(35804,1)]
226	37	10525	180000	90000	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,180000),(25643,8),(26272,1)]	[(25828,90000),(25643,4),(26272,1)]
227	37	10526	181000	90500	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,181000),(25643,8),(26272,1)]	[(25828,90500),(25643,4),(26272,1)]
228	37	10527	182000	91000	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,182000),(25643,8),(26272,1)]	[(25828,91000),(25643,4),(26272,1)]
229	37	10528	183000	91500	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,183000),(25643,8),(26272,1)]	[(25828,91500),(25643,4),(26272,1)]
230	37	10529	184000	92000	[(25643,8)]	[(25643,4)]	35810	[(750,0),(250,1)]	[(25828,184000),(25643,8),(35810,1)]	[(25828,92000),(25643,4),(35810,1)]
231	37	10530	185000	92500	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,185000),(25643,8),(26272,1)]	[(25828,92500),(25643,4),(26272,1)]
232	37	10531	186000	93000	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,186000),(25643,8),(26272,1)]	[(25828,93000),(25643,4),(26272,1)]
233	37	10532	187000	93500	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,187000),(25643,8),(26272,1)]	[(25828,93500),(25643,4),(26272,1)]
234	37	10533	188000	94000	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,188000),(25643,8),(26272,1)]	[(25828,94000),(25643,4),(26272,1)]
235	37	10534	189000	94500	[(25643,8)]	[(25643,4)]	35810	[(750,0),(250,1)]	[(25828,189000),(25643,8),(35810,1)]	[(25828,94500),(25643,4),(35810,1)]
236	37	10535	190000	95000	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,190000),(25643,8),(26272,1)]	[(25828,95000),(25643,4),(26272,1)]
237	37	10536	191000	95500	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,191000),(25643,9),(26272,1)]	[(25828,95500),(25643,5),(26272,1)]
238	37	10537	192000	96000	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,192000),(25643,9),(26272,1)]	[(25828,96000),(25643,5),(26272,1)]
239	37	10538	193000	96500	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,193000),(25643,9),(26272,1)]	[(25828,96500),(25643,5),(26272,1)]
240	37	10539	194000	97000	[(25643,9)]	[(25643,5)]	35810	[(750,0),(250,1)]	[(25828,194000),(25643,9),(35810,1)]	[(25828,97000),(25643,5),(35810,1)]
241	37	10540	195000	97500	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,195000),(25643,9),(26272,1)]	[(25828,97500),(25643,5),(26272,1)]
242	37	10541	196000	98000	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,196000),(25643,9),(26272,1)]	[(25828,98000),(25643,5),(26272,1)]
243	37	10542	197000	98500	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,197000),(25643,9),(26272,1)]	[(25828,98500),(25643,5),(26272,1)]
244	37	10543	198000	99000	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,198000),(25643,9),(26272,1)]	[(25828,99000),(25643,5),(26272,1)]
245	37	10544	199000	99500	[(25643,9)]	[(25643,5)]	35816	[(750,0),(250,1)]	[(25828,199000),(25643,9),(35816,1)]	[(25828,99500),(25643,5),(35816,1)]
246	37	10545	200000	100000	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,200000),(25643,9),(26272,1)]	[(25828,100000),(25643,5),(26272,1)]
247	37	10546	201000	100500	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,201000),(25643,9),(26272,1)]	[(25828,100500),(25643,5),(26272,1)]
248	37	10547	202000	101000	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,202000),(25643,9),(26272,1)]	[(25828,101000),(25643,5),(26272,1)]
249	37	10548	203000	101500	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,203000),(25643,9),(26272,1)]	[(25828,101500),(25643,5),(26272,1)]
250	37	10549	204000	102000	[(25643,9)]	[(25643,5)]	35816	[(750,0),(250,1)]	[(25828,204000),(25643,9),(35816,1)]	[(25828,102000),(25643,5),(35816,1)]
