Index	skillByslotDec	skillByCardDec
(912,9)	生命低于50%时，无视伤害加成14%两回合，战斗中生效一次#H生命+9000	
(912,10)	生命低于50%时，无视伤害加成17%两回合，战斗中生效一次#H生命+10500	
(912,11)	生命低于50%时，无视伤害加成20%两回合，战斗中生效一次#H生命+12600	
(912,12)	生命低于50%时，无视伤害加成23%两回合，战斗中生效一次#H生命+15000	
(912,13)	生命低于50%时，无视伤害加成26%两回合，战斗中生效一次#H生命+18000	
(912,14)	生命低于50%时，无视伤害加成30%两回合，战斗中生效一次#H生命+21600	
(912,15)	生命低于50%时，无视伤害加成35%两回合，战斗中生效一次#H生命+27000	
(913,1)	目标生命低于30%时，伤害提升20%#H物攻+1500 法攻+1500	
(913,2)	目标生命低于30%时，伤害提升24%#H物攻+1600 法攻+1600	
(913,3)	目标生命低于30%时，伤害提升29%#H物攻+1700 法攻+1700	
(913,4)	目标生命低于30%时，伤害提升34%#H物攻+2000 法攻+2000	
(913,5)	目标生命低于30%时，伤害提升40%#H物攻+2500 法攻+2500	
(913,6)	目标生命低于50%时，伤害提升20%#H物攻+2500 法攻+2500	
(913,7)	目标生命低于50%时，伤害提升24%#H物攻+2600 法攻+2600	
(913,8)	目标生命低于50%时，伤害提升29%#H物攻+2700 法攻+2700	
(913,9)	目标生命低于50%时，伤害提升34%#H物攻+3000 法攻+3000	
(913,10)	目标生命低于50%时，伤害提升40%#H物攻+3500 法攻+3500	
(913,11)	目标生命低于50%时，伤害提升46%#H物攻+4200 法攻+4200	
(913,12)	目标生命低于50%时，伤害提升53%#H物攻+5000 法攻+5000	
(913,13)	目标生命低于50%时，伤害提升60%#H物攻+6000 法攻+6000	
(913,14)	目标生命低于50%时，伤害提升67%#H物攻+7200 法攻+7200	
(913,15)	目标生命低于50%时，伤害提升75%#H物攻+9000 法攻+9000	
(914,1)	免破率提升7%#H物攻+1500 法攻+1500	
(914,2)	免破率提升8%#H物攻+1600 法攻+1600	
(914,3)	免破率提升9%#H物攻+1700 法攻+1700	
(914,4)	免破率提升10%#H物攻+2000 法攻+2000	
(914,5)	免破率提升12%#H物攻+2500 法攻+2500	
(914,6)	免破率提升10%#H物攻+2500 法攻+2500	
(914,7)	免破率提升11%#H物攻+2600 法攻+2600	
(914,8)	免破率提升12%#H物攻+2700 法攻+2700	
(914,9)	免破率提升13%#H物攻+3000 法攻+3000	
(914,10)	免破率提升15%#H物攻+3500 法攻+3500	
(914,11)	免破率提升17%#H物攻+4200 法攻+4200	
(914,12)	免破率提升19%#H物攻+5000 法攻+5000	
(914,13)	免破率提升22%#H物攻+6000 法攻+6000	
(914,14)	免破率提升26%#H物攻+7200 法攻+7200	
(914,15)	免破率提升30%#H物攻+9000 法攻+9000	
(915,1)	生命低于30%时，回血20%，战斗中生效一次	
(915,2)	生命低于30%时，回血24%，战斗中生效一次	
(915,3)	生命低于30%时，回血29%，战斗中生效一次	
(915,4)	生命低于30%时，回血34%，战斗中生效一次	
(915,5)	生命低于30%时，回血40%，战斗中生效一次	
(915,6)	生命低于30%时，回血30%，战斗中生效一次	
(915,7)	生命低于30%时，回血34%，战斗中生效一次	
(915,8)	生命低于30%时，回血39%，战斗中生效一次	
(915,9)	生命低于30%时，回血44%，战斗中生效一次	
(915,10)	生命低于30%时，回血50%，战斗中生效一次	
(915,11)	生命低于30%时，回血58%，战斗中生效一次	
(915,12)	生命低于30%时，回血66%，战斗中生效一次	
(915,13)	生命低于30%时，回血75%，战斗中生效一次	
(915,14)	生命低于30%时，回血85%，战斗中生效一次	
(915,15)	生命低于30%时，回血100%，战斗中生效一次	
(916,1)	战斗未结束时死亡，复活并回复20%生命值，一次战斗中只能生效一次#H生命+4500	
(916,2)	战斗未结束时死亡，复活并回复24%生命值，一次战斗中只能生效一次#H生命+4800	
(916,3)	战斗未结束时死亡，复活并回复29%生命值，一次战斗中只能生效一次#H生命+5100	
(916,4)	战斗未结束时死亡，复活并回复34%生命值，一次战斗中只能生效一次#H生命+6000	
(916,5)	战斗未结束时死亡，复活并回复40%生命值，一次战斗中只能生效一次#H生命+7500	
(916,6)	战斗未结束时死亡，复活并回复30%生命值，一次战斗中只能生效一次#H生命+7500	
(916,7)	战斗未结束时死亡，复活并回复34%生命值，一次战斗中只能生效一次#H生命+7800	
(916,8)	战斗未结束时死亡，复活并回复39%生命值，一次战斗中只能生效一次#H生命+8100	
(916,9)	战斗未结束时死亡，复活并回复44%生命值，一次战斗中只能生效一次#H生命+9000	
(916,10)	战斗未结束时死亡，复活并回复50%生命值，一次战斗中只能生效一次#H生命+10500	
(916,11)	战斗未结束时死亡，复活并回复58%生命值，一次战斗中只能生效一次#H生命+12600	
(916,12)	战斗未结束时死亡，复活并回复66%生命值，一次战斗中只能生效一次#H生命+15000	
(916,13)	战斗未结束时死亡，复活并回复75%生命值，一次战斗中只能生效一次#H生命+18000	
(916,14)	战斗未结束时死亡，复活并回复85%生命值，一次战斗中只能生效一次#H生命+21600	
(916,15)	战斗未结束时死亡，复活并回复100%生命值，一次战斗中只能生效一次#H生命+27000	
