rank	level	rewardItem
20	27	[(27481,2),(25681,60),(25661,30)]
1	28	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	28	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	28	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	28	[(27481,3),(25681,80),(25661,40)]
5	28	[(27481,3),(25681,80),(25661,40)]
6	28	[(27481,3),(25681,80),(25661,40)]
7	28	[(27481,3),(25681,80),(25661,40)]
8	28	[(27481,3),(25681,80),(25661,40)]
9	28	[(27481,3),(25681,80),(25661,40)]
10	28	[(27481,3),(25681,80),(25661,40)]
11	28	[(27481,2),(25681,60),(25661,30)]
12	28	[(27481,2),(25681,60),(25661,30)]
13	28	[(27481,2),(25681,60),(25661,30)]
14	28	[(27481,2),(25681,60),(25661,30)]
15	28	[(27481,2),(25681,60),(25661,30)]
16	28	[(27481,2),(25681,60),(25661,30)]
17	28	[(27481,2),(25681,60),(25661,30)]
18	28	[(27481,2),(25681,60),(25661,30)]
19	28	[(27481,2),(25681,60),(25661,30)]
20	28	[(27481,2),(25681,60),(25661,30)]
1	29	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	29	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	29	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	29	[(27481,3),(25681,80),(25661,40)]
5	29	[(27481,3),(25681,80),(25661,40)]
6	29	[(27481,3),(25681,80),(25661,40)]
7	29	[(27481,3),(25681,80),(25661,40)]
8	29	[(27481,3),(25681,80),(25661,40)]
9	29	[(27481,3),(25681,80),(25661,40)]
10	29	[(27481,3),(25681,80),(25661,40)]
11	29	[(27481,2),(25681,60),(25661,30)]
12	29	[(27481,2),(25681,60),(25661,30)]
13	29	[(27481,2),(25681,60),(25661,30)]
14	29	[(27481,2),(25681,60),(25661,30)]
15	29	[(27481,2),(25681,60),(25661,30)]
16	29	[(27481,2),(25681,60),(25661,30)]
17	29	[(27481,2),(25681,60),(25661,30)]
18	29	[(27481,2),(25681,60),(25661,30)]
19	29	[(27481,2),(25681,60),(25661,30)]
20	29	[(27481,2),(25681,60),(25661,30)]
1	30	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	30	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	30	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	30	[(27481,3),(25681,80),(25661,40)]
5	30	[(27481,3),(25681,80),(25661,40)]
6	30	[(27481,3),(25681,80),(25661,40)]
7	30	[(27481,3),(25681,80),(25661,40)]
8	30	[(27481,3),(25681,80),(25661,40)]
9	30	[(27481,3),(25681,80),(25661,40)]
10	30	[(27481,3),(25681,80),(25661,40)]
11	30	[(27481,2),(25681,60),(25661,30)]
12	30	[(27481,2),(25681,60),(25661,30)]
13	30	[(27481,2),(25681,60),(25661,30)]
14	30	[(27481,2),(25681,60),(25661,30)]
15	30	[(27481,2),(25681,60),(25661,30)]
16	30	[(27481,2),(25681,60),(25661,30)]
17	30	[(27481,2),(25681,60),(25661,30)]
18	30	[(27481,2),(25681,60),(25661,30)]
19	30	[(27481,2),(25681,60),(25661,30)]
20	30	[(27481,2),(25681,60),(25661,30)]
1	31	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	31	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	31	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	31	[(27481,3),(25681,80),(25661,40)]
5	31	[(27481,3),(25681,80),(25661,40)]
6	31	[(27481,3),(25681,80),(25661,40)]
7	31	[(27481,3),(25681,80),(25661,40)]
8	31	[(27481,3),(25681,80),(25661,40)]
9	31	[(27481,3),(25681,80),(25661,40)]
10	31	[(27481,3),(25681,80),(25661,40)]
11	31	[(27481,2),(25681,60),(25661,30)]
12	31	[(27481,2),(25681,60),(25661,30)]
13	31	[(27481,2),(25681,60),(25661,30)]
14	31	[(27481,2),(25681,60),(25661,30)]
15	31	[(27481,2),(25681,60),(25661,30)]
16	31	[(27481,2),(25681,60),(25661,30)]
17	31	[(27481,2),(25681,60),(25661,30)]
18	31	[(27481,2),(25681,60),(25661,30)]
19	31	[(27481,2),(25681,60),(25661,30)]
20	31	[(27481,2),(25681,60),(25661,30)]
1	32	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	32	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	32	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	32	[(27481,3),(25681,80),(25661,40)]
5	32	[(27481,3),(25681,80),(25661,40)]
6	32	[(27481,3),(25681,80),(25661,40)]
7	32	[(27481,3),(25681,80),(25661,40)]
8	32	[(27481,3),(25681,80),(25661,40)]
9	32	[(27481,3),(25681,80),(25661,40)]
10	32	[(27481,3),(25681,80),(25661,40)]
11	32	[(27481,2),(25681,60),(25661,30)]
12	32	[(27481,2),(25681,60),(25661,30)]
13	32	[(27481,2),(25681,60),(25661,30)]
14	32	[(27481,2),(25681,60),(25661,30)]
15	32	[(27481,2),(25681,60),(25661,30)]
16	32	[(27481,2),(25681,60),(25661,30)]
17	32	[(27481,2),(25681,60),(25661,30)]
18	32	[(27481,2),(25681,60),(25661,30)]
19	32	[(27481,2),(25681,60),(25661,30)]
20	32	[(27481,2),(25681,60),(25661,30)]
1	33	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	33	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	33	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	33	[(27481,3),(25681,80),(25661,40)]
5	33	[(27481,3),(25681,80),(25661,40)]
6	33	[(27481,3),(25681,80),(25661,40)]
7	33	[(27481,3),(25681,80),(25661,40)]
8	33	[(27481,3),(25681,80),(25661,40)]
9	33	[(27481,3),(25681,80),(25661,40)]
10	33	[(27481,3),(25681,80),(25661,40)]
11	33	[(27481,2),(25681,60),(25661,30)]
12	33	[(27481,2),(25681,60),(25661,30)]
13	33	[(27481,2),(25681,60),(25661,30)]
14	33	[(27481,2),(25681,60),(25661,30)]
15	33	[(27481,2),(25681,60),(25661,30)]
16	33	[(27481,2),(25681,60),(25661,30)]
17	33	[(27481,2),(25681,60),(25661,30)]
18	33	[(27481,2),(25681,60),(25661,30)]
19	33	[(27481,2),(25681,60),(25661,30)]
20	33	[(27481,2),(25681,60),(25661,30)]
1	34	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	34	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	34	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	34	[(27481,3),(25681,80),(25661,40)]
5	34	[(27481,3),(25681,80),(25661,40)]
6	34	[(27481,3),(25681,80),(25661,40)]
7	34	[(27481,3),(25681,80),(25661,40)]
8	34	[(27481,3),(25681,80),(25661,40)]
9	34	[(27481,3),(25681,80),(25661,40)]
10	34	[(27481,3),(25681,80),(25661,40)]
11	34	[(27481,2),(25681,60),(25661,30)]
12	34	[(27481,2),(25681,60),(25661,30)]
13	34	[(27481,2),(25681,60),(25661,30)]
14	34	[(27481,2),(25681,60),(25661,30)]
15	34	[(27481,2),(25681,60),(25661,30)]
16	34	[(27481,2),(25681,60),(25661,30)]
17	34	[(27481,2),(25681,60),(25661,30)]
18	34	[(27481,2),(25681,60),(25661,30)]
19	34	[(27481,2),(25681,60),(25661,30)]
20	34	[(27481,2),(25681,60),(25661,30)]
1	35	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	35	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	35	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	35	[(27481,3),(25681,80),(25661,40)]
5	35	[(27481,3),(25681,80),(25661,40)]
6	35	[(27481,3),(25681,80),(25661,40)]
7	35	[(27481,3),(25681,80),(25661,40)]
8	35	[(27481,3),(25681,80),(25661,40)]
9	35	[(27481,3),(25681,80),(25661,40)]
10	35	[(27481,3),(25681,80),(25661,40)]
11	35	[(27481,2),(25681,60),(25661,30)]
12	35	[(27481,2),(25681,60),(25661,30)]
13	35	[(27481,2),(25681,60),(25661,30)]
14	35	[(27481,2),(25681,60),(25661,30)]
15	35	[(27481,2),(25681,60),(25661,30)]
16	35	[(27481,2),(25681,60),(25661,30)]
17	35	[(27481,2),(25681,60),(25661,30)]
18	35	[(27481,2),(25681,60),(25661,30)]
19	35	[(27481,2),(25681,60),(25661,30)]
20	35	[(27481,2),(25681,60),(25661,30)]
1	36	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	36	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	36	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	36	[(27481,3),(25681,80),(25661,40)]
5	36	[(27481,3),(25681,80),(25661,40)]
6	36	[(27481,3),(25681,80),(25661,40)]
7	36	[(27481,3),(25681,80),(25661,40)]
8	36	[(27481,3),(25681,80),(25661,40)]
9	36	[(27481,3),(25681,80),(25661,40)]
10	36	[(27481,3),(25681,80),(25661,40)]
11	36	[(27481,2),(25681,60),(25661,30)]
12	36	[(27481,2),(25681,60),(25661,30)]
13	36	[(27481,2),(25681,60),(25661,30)]
14	36	[(27481,2),(25681,60),(25661,30)]
15	36	[(27481,2),(25681,60),(25661,30)]
16	36	[(27481,2),(25681,60),(25661,30)]
17	36	[(27481,2),(25681,60),(25661,30)]
18	36	[(27481,2),(25681,60),(25661,30)]
19	36	[(27481,2),(25681,60),(25661,30)]
20	36	[(27481,2),(25681,60),(25661,30)]
1	37	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	37	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	37	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	37	[(27481,3),(25681,80),(25661,40)]
5	37	[(27481,3),(25681,80),(25661,40)]
6	37	[(27481,3),(25681,80),(25661,40)]
7	37	[(27481,3),(25681,80),(25661,40)]
8	37	[(27481,3),(25681,80),(25661,40)]
9	37	[(27481,3),(25681,80),(25661,40)]
10	37	[(27481,3),(25681,80),(25661,40)]
11	37	[(27481,2),(25681,60),(25661,30)]
12	37	[(27481,2),(25681,60),(25661,30)]
13	37	[(27481,2),(25681,60),(25661,30)]
14	37	[(27481,2),(25681,60),(25661,30)]
15	37	[(27481,2),(25681,60),(25661,30)]
16	37	[(27481,2),(25681,60),(25661,30)]
17	37	[(27481,2),(25681,60),(25661,30)]
18	37	[(27481,2),(25681,60),(25661,30)]
19	37	[(27481,2),(25681,60),(25661,30)]
20	37	[(27481,2),(25681,60),(25661,30)]
1	38	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	38	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	38	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	38	[(27481,3),(25681,80),(25661,40)]
5	38	[(27481,3),(25681,80),(25661,40)]
6	38	[(27481,3),(25681,80),(25661,40)]
7	38	[(27481,3),(25681,80),(25661,40)]
8	38	[(27481,3),(25681,80),(25661,40)]
9	38	[(27481,3),(25681,80),(25661,40)]
10	38	[(27481,3),(25681,80),(25661,40)]
11	38	[(27481,2),(25681,60),(25661,30)]
12	38	[(27481,2),(25681,60),(25661,30)]
13	38	[(27481,2),(25681,60),(25661,30)]
14	38	[(27481,2),(25681,60),(25661,30)]
15	38	[(27481,2),(25681,60),(25661,30)]
16	38	[(27481,2),(25681,60),(25661,30)]
17	38	[(27481,2),(25681,60),(25661,30)]
18	38	[(27481,2),(25681,60),(25661,30)]
19	38	[(27481,2),(25681,60),(25661,30)]
20	38	[(27481,2),(25681,60),(25661,30)]
1	39	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	39	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	39	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	39	[(27481,3),(25681,80),(25661,40)]
5	39	[(27481,3),(25681,80),(25661,40)]
6	39	[(27481,3),(25681,80),(25661,40)]
7	39	[(27481,3),(25681,80),(25661,40)]
8	39	[(27481,3),(25681,80),(25661,40)]
9	39	[(27481,3),(25681,80),(25661,40)]
10	39	[(27481,3),(25681,80),(25661,40)]
11	39	[(27481,2),(25681,60),(25661,30)]
12	39	[(27481,2),(25681,60),(25661,30)]
13	39	[(27481,2),(25681,60),(25661,30)]
14	39	[(27481,2),(25681,60),(25661,30)]
15	39	[(27481,2),(25681,60),(25661,30)]
16	39	[(27481,2),(25681,60),(25661,30)]
17	39	[(27481,2),(25681,60),(25661,30)]
18	39	[(27481,2),(25681,60),(25661,30)]
19	39	[(27481,2),(25681,60),(25661,30)]
20	39	[(27481,2),(25681,60),(25661,30)]
1	40	[(27481,5),(27482,1),(25682,200),(25661,100)]
2	40	[(27481,4),(27482,1),(25682,150),(25661,75)]
3	40	[(27481,3),(27482,1),(25682,100),(25661,50)]
4	40	[(27481,3),(25682,80),(25661,40)]
5	40	[(27481,3),(25682,80),(25661,40)]
6	40	[(27481,3),(25682,80),(25661,40)]
7	40	[(27481,3),(25682,80),(25661,40)]
8	40	[(27481,3),(25682,80),(25661,40)]
9	40	[(27481,3),(25682,80),(25661,40)]
10	40	[(27481,3),(25682,80),(25661,40)]
11	40	[(27481,2),(25682,60),(25661,30)]
12	40	[(27481,2),(25682,60),(25661,30)]
13	40	[(27481,2),(25682,60),(25661,30)]
14	40	[(27481,2),(25682,60),(25661,30)]
15	40	[(27481,2),(25682,60),(25661,30)]
16	40	[(27481,2),(25682,60),(25661,30)]
17	40	[(27481,2),(25682,60),(25661,30)]
18	40	[(27481,2),(25682,60),(25661,30)]
19	40	[(27481,2),(25682,60),(25661,30)]
20	40	[(27481,2),(25682,60),(25661,30)]
1	41	[(27481,5),(27482,1),(25682,200),(25661,100)]
2	41	[(27481,4),(27482,1),(25682,150),(25661,75)]
3	41	[(27481,3),(27482,1),(25682,100),(25661,50)]
4	41	[(27481,3),(25682,80),(25661,40)]
5	41	[(27481,3),(25682,80),(25661,40)]
6	41	[(27481,3),(25682,80),(25661,40)]
7	41	[(27481,3),(25682,80),(25661,40)]
8	41	[(27481,3),(25682,80),(25661,40)]
9	41	[(27481,3),(25682,80),(25661,40)]
10	41	[(27481,3),(25682,80),(25661,40)]
11	41	[(27481,2),(25682,60),(25661,30)]
12	41	[(27481,2),(25682,60),(25661,30)]
13	41	[(27481,2),(25682,60),(25661,30)]
14	41	[(27481,2),(25682,60),(25661,30)]
15	41	[(27481,2),(25682,60),(25661,30)]
16	41	[(27481,2),(25682,60),(25661,30)]
17	41	[(27481,2),(25682,60),(25661,30)]
18	41	[(27481,2),(25682,60),(25661,30)]
19	41	[(27481,2),(25682,60),(25661,30)]
20	41	[(27481,2),(25682,60),(25661,30)]
1	42	[(27481,5),(27482,1),(25682,200),(25661,100)]
2	42	[(27481,4),(27482,1),(25682,150),(25661,75)]
3	42	[(27481,3),(27482,1),(25682,100),(25661,50)]
4	42	[(27481,3),(25682,80),(25661,40)]
5	42	[(27481,3),(25682,80),(25661,40)]
6	42	[(27481,3),(25682,80),(25661,40)]
7	42	[(27481,3),(25682,80),(25661,40)]
8	42	[(27481,3),(25682,80),(25661,40)]
9	42	[(27481,3),(25682,80),(25661,40)]
10	42	[(27481,3),(25682,80),(25661,40)]
11	42	[(27481,2),(25682,60),(25661,30)]
12	42	[(27481,2),(25682,60),(25661,30)]
13	42	[(27481,2),(25682,60),(25661,30)]
14	42	[(27481,2),(25682,60),(25661,30)]
15	42	[(27481,2),(25682,60),(25661,30)]
16	42	[(27481,2),(25682,60),(25661,30)]
17	42	[(27481,2),(25682,60),(25661,30)]
18	42	[(27481,2),(25682,60),(25661,30)]
19	42	[(27481,2),(25682,60),(25661,30)]
20	42	[(27481,2),(25682,60),(25661,30)]
1	43	[(27481,5),(27482,1),(25682,200),(25661,100)]
2	43	[(27481,4),(27482,1),(25682,150),(25661,75)]
3	43	[(27481,3),(27482,1),(25682,100),(25661,50)]
4	43	[(27481,3),(25682,80),(25661,40)]
5	43	[(27481,3),(25682,80),(25661,40)]
6	43	[(27481,3),(25682,80),(25661,40)]
7	43	[(27481,3),(25682,80),(25661,40)]
8	43	[(27481,3),(25682,80),(25661,40)]
9	43	[(27481,3),(25682,80),(25661,40)]
10	43	[(27481,3),(25682,80),(25661,40)]
11	43	[(27481,2),(25682,60),(25661,30)]
12	43	[(27481,2),(25682,60),(25661,30)]
13	43	[(27481,2),(25682,60),(25661,30)]
14	43	[(27481,2),(25682,60),(25661,30)]
15	43	[(27481,2),(25682,60),(25661,30)]
16	43	[(27481,2),(25682,60),(25661,30)]
17	43	[(27481,2),(25682,60),(25661,30)]
18	43	[(27481,2),(25682,60),(25661,30)]
19	43	[(27481,2),(25682,60),(25661,30)]
20	43	[(27481,2),(25682,60),(25661,30)]
1	44	[(27481,5),(27482,1),(25682,200),(25661,100)]
2	44	[(27481,4),(27482,1),(25682,150),(25661,75)]
3	44	[(27481,3),(27482,1),(25682,100),(25661,50)]
4	44	[(27481,3),(25682,80),(25661,40)]
5	44	[(27481,3),(25682,80),(25661,40)]
6	44	[(27481,3),(25682,80),(25661,40)]
7	44	[(27481,3),(25682,80),(25661,40)]
8	44	[(27481,3),(25682,80),(25661,40)]
9	44	[(27481,3),(25682,80),(25661,40)]
10	44	[(27481,3),(25682,80),(25661,40)]
11	44	[(27481,2),(25682,60),(25661,30)]
12	44	[(27481,2),(25682,60),(25661,30)]
13	44	[(27481,2),(25682,60),(25661,30)]
14	44	[(27481,2),(25682,60),(25661,30)]
15	44	[(27481,2),(25682,60),(25661,30)]
16	44	[(27481,2),(25682,60),(25661,30)]
17	44	[(27481,2),(25682,60),(25661,30)]
18	44	[(27481,2),(25682,60),(25661,30)]
19	44	[(27481,2),(25682,60),(25661,30)]
20	44	[(27481,2),(25682,60),(25661,30)]
1	45	[(27481,5),(27482,1),(25682,200),(25661,100)]
2	45	[(27481,4),(27482,1),(25682,150),(25661,75)]
3	45	[(27481,3),(27482,1),(25682,100),(25661,50)]
4	45	[(27481,3),(25682,80),(25661,40)]
5	45	[(27481,3),(25682,80),(25661,40)]
6	45	[(27481,3),(25682,80),(25661,40)]
7	45	[(27481,3),(25682,80),(25661,40)]
8	45	[(27481,3),(25682,80),(25661,40)]
9	45	[(27481,3),(25682,80),(25661,40)]
10	45	[(27481,3),(25682,80),(25661,40)]
11	45	[(27481,2),(25682,60),(25661,30)]
12	45	[(27481,2),(25682,60),(25661,30)]
13	45	[(27481,2),(25682,60),(25661,30)]
14	45	[(27481,2),(25682,60),(25661,30)]
15	45	[(27481,2),(25682,60),(25661,30)]
16	45	[(27481,2),(25682,60),(25661,30)]
17	45	[(27481,2),(25682,60),(25661,30)]
18	45	[(27481,2),(25682,60),(25661,30)]
19	45	[(27481,2),(25682,60),(25661,30)]
20	45	[(27481,2),(25682,60),(25661,30)]
1	46	[(27481,5),(27482,1),(25682,200),(25661,100)]
2	46	[(27481,4),(27482,1),(25682,150),(25661,75)]
3	46	[(27481,3),(27482,1),(25682,100),(25661,50)]
4	46	[(27481,3),(25682,80),(25661,40)]
5	46	[(27481,3),(25682,80),(25661,40)]
6	46	[(27481,3),(25682,80),(25661,40)]
7	46	[(27481,3),(25682,80),(25661,40)]
8	46	[(27481,3),(25682,80),(25661,40)]
9	46	[(27481,3),(25682,80),(25661,40)]
10	46	[(27481,3),(25682,80),(25661,40)]
11	46	[(27481,2),(25682,60),(25661,30)]
12	46	[(27481,2),(25682,60),(25661,30)]
13	46	[(27481,2),(25682,60),(25661,30)]
14	46	[(27481,2),(25682,60),(25661,30)]
15	46	[(27481,2),(25682,60),(25661,30)]
16	46	[(27481,2),(25682,60),(25661,30)]
17	46	[(27481,2),(25682,60),(25661,30)]
18	46	[(27481,2),(25682,60),(25661,30)]
19	46	[(27481,2),(25682,60),(25661,30)]
20	46	[(27481,2),(25682,60),(25661,30)]
1	47	[(27481,5),(27482,1),(25682,200),(25661,100)]
2	47	[(27481,4),(27482,1),(25682,150),(25661,75)]
3	47	[(27481,3),(27482,1),(25682,100),(25661,50)]
4	47	[(27481,3),(25682,80),(25661,40)]
5	47	[(27481,3),(25682,80),(25661,40)]
6	47	[(27481,3),(25682,80),(25661,40)]
7	47	[(27481,3),(25682,80),(25661,40)]
8	47	[(27481,3),(25682,80),(25661,40)]
9	47	[(27481,3),(25682,80),(25661,40)]
10	47	[(27481,3),(25682,80),(25661,40)]
11	47	[(27481,2),(25682,60),(25661,30)]
12	47	[(27481,2),(25682,60),(25661,30)]
13	47	[(27481,2),(25682,60),(25661,30)]
14	47	[(27481,2),(25682,60),(25661,30)]
15	47	[(27481,2),(25682,60),(25661,30)]
16	47	[(27481,2),(25682,60),(25661,30)]
17	47	[(27481,2),(25682,60),(25661,30)]
18	47	[(27481,2),(25682,60),(25661,30)]
19	47	[(27481,2),(25682,60),(25661,30)]
20	47	[(27481,2),(25682,60),(25661,30)]
1	48	[(27481,5),(27482,1),(25682,200),(25661,100)]
2	48	[(27481,4),(27482,1),(25682,150),(25661,75)]
3	48	[(27481,3),(27482,1),(25682,100),(25661,50)]
4	48	[(27481,3),(25682,80),(25661,40)]
5	48	[(27481,3),(25682,80),(25661,40)]
6	48	[(27481,3),(25682,80),(25661,40)]
7	48	[(27481,3),(25682,80),(25661,40)]
8	48	[(27481,3),(25682,80),(25661,40)]
9	48	[(27481,3),(25682,80),(25661,40)]
10	48	[(27481,3),(25682,80),(25661,40)]
11	48	[(27481,2),(25682,60),(25661,30)]
12	48	[(27481,2),(25682,60),(25661,30)]
13	48	[(27481,2),(25682,60),(25661,30)]
14	48	[(27481,2),(25682,60),(25661,30)]
15	48	[(27481,2),(25682,60),(25661,30)]
16	48	[(27481,2),(25682,60),(25661,30)]
17	48	[(27481,2),(25682,60),(25661,30)]
18	48	[(27481,2),(25682,60),(25661,30)]
19	48	[(27481,2),(25682,60),(25661,30)]
20	48	[(27481,2),(25682,60),(25661,30)]
1	49	[(27481,5),(27482,1),(25682,200),(25661,100)]
2	49	[(27481,4),(27482,1),(25682,150),(25661,75)]
3	49	[(27481,3),(27482,1),(25682,100),(25661,50)]
4	49	[(27481,3),(25682,80),(25661,40)]
5	49	[(27481,3),(25682,80),(25661,40)]
6	49	[(27481,3),(25682,80),(25661,40)]
7	49	[(27481,3),(25682,80),(25661,40)]
8	49	[(27481,3),(25682,80),(25661,40)]
9	49	[(27481,3),(25682,80),(25661,40)]
10	49	[(27481,3),(25682,80),(25661,40)]
11	49	[(27481,2),(25682,60),(25661,30)]
12	49	[(27481,2),(25682,60),(25661,30)]
13	49	[(27481,2),(25682,60),(25661,30)]
14	49	[(27481,2),(25682,60),(25661,30)]
15	49	[(27481,2),(25682,60),(25661,30)]
16	49	[(27481,2),(25682,60),(25661,30)]
17	49	[(27481,2),(25682,60),(25661,30)]
18	49	[(27481,2),(25682,60),(25661,30)]
19	49	[(27481,2),(25682,60),(25661,30)]
20	49	[(27481,2),(25682,60),(25661,30)]
1	50	[(27481,5),(27482,1),(25682,200),(25661,100)]
2	50	[(27481,4),(27482,1),(25682,150),(25661,75)]
3	50	[(27481,3),(27482,1),(25682,100),(25661,50)]
4	50	[(27481,3),(25682,80),(25661,40)]
5	50	[(27481,3),(25682,80),(25661,40)]
6	50	[(27481,3),(25682,80),(25661,40)]
7	50	[(27481,3),(25682,80),(25661,40)]
8	50	[(27481,3),(25682,80),(25661,40)]
9	50	[(27481,3),(25682,80),(25661,40)]
10	50	[(27481,3),(25682,80),(25661,40)]
11	50	[(27481,2),(25682,60),(25661,30)]
12	50	[(27481,2),(25682,60),(25661,30)]
13	50	[(27481,2),(25682,60),(25661,30)]
14	50	[(27481,2),(25682,60),(25661,30)]
15	50	[(27481,2),(25682,60),(25661,30)]
16	50	[(27481,2),(25682,60),(25661,30)]
17	50	[(27481,2),(25682,60),(25661,30)]
18	50	[(27481,2),(25682,60),(25661,30)]
19	50	[(27481,2),(25682,60),(25661,30)]
20	50	[(27481,2),(25682,60),(25661,30)]
1	51	[(27481,5),(27482,1),(25682,200),(25661,100)]
2	51	[(27481,4),(27482,1),(25682,150),(25661,75)]
3	51	[(27481,3),(27482,1),(25682,100),(25661,50)]
4	51	[(27481,3),(25682,80),(25661,40)]
5	51	[(27481,3),(25682,80),(25661,40)]
6	51	[(27481,3),(25682,80),(25661,40)]
7	51	[(27481,3),(25682,80),(25661,40)]
8	51	[(27481,3),(25682,80),(25661,40)]
9	51	[(27481,3),(25682,80),(25661,40)]
10	51	[(27481,3),(25682,80),(25661,40)]
11	51	[(27481,2),(25682,60),(25661,30)]
12	51	[(27481,2),(25682,60),(25661,30)]
13	51	[(27481,2),(25682,60),(25661,30)]
14	51	[(27481,2),(25682,60),(25661,30)]
15	51	[(27481,2),(25682,60),(25661,30)]
16	51	[(27481,2),(25682,60),(25661,30)]
17	51	[(27481,2),(25682,60),(25661,30)]
18	51	[(27481,2),(25682,60),(25661,30)]
19	51	[(27481,2),(25682,60),(25661,30)]
20	51	[(27481,2),(25682,60),(25661,30)]
1	52	[(27481,5),(27482,1),(25682,200),(25661,100)]
2	52	[(27481,4),(27482,1),(25682,150),(25661,75)]
3	52	[(27481,3),(27482,1),(25682,100),(25661,50)]
4	52	[(27481,3),(25682,80),(25661,40)]
5	52	[(27481,3),(25682,80),(25661,40)]
6	52	[(27481,3),(25682,80),(25661,40)]
7	52	[(27481,3),(25682,80),(25661,40)]
8	52	[(27481,3),(25682,80),(25661,40)]
9	52	[(27481,3),(25682,80),(25661,40)]
10	52	[(27481,3),(25682,80),(25661,40)]
11	52	[(27481,2),(25682,60),(25661,30)]
12	52	[(27481,2),(25682,60),(25661,30)]
13	52	[(27481,2),(25682,60),(25661,30)]
14	52	[(27481,2),(25682,60),(25661,30)]
15	52	[(27481,2),(25682,60),(25661,30)]
16	52	[(27481,2),(25682,60),(25661,30)]
17	52	[(27481,2),(25682,60),(25661,30)]
18	52	[(27481,2),(25682,60),(25661,30)]
19	52	[(27481,2),(25682,60),(25661,30)]
20	52	[(27481,2),(25682,60),(25661,30)]
1	53	[(27481,5),(27482,1),(25682,200),(25661,100)]
2	53	[(27481,4),(27482,1),(25682,150),(25661,75)]
3	53	[(27481,3),(27482,1),(25682,100),(25661,50)]
4	53	[(27481,3),(25682,80),(25661,40)]
5	53	[(27481,3),(25682,80),(25661,40)]
6	53	[(27481,3),(25682,80),(25661,40)]
7	53	[(27481,3),(25682,80),(25661,40)]
8	53	[(27481,3),(25682,80),(25661,40)]
9	53	[(27481,3),(25682,80),(25661,40)]
10	53	[(27481,3),(25682,80),(25661,40)]
11	53	[(27481,2),(25682,60),(25661,30)]
12	53	[(27481,2),(25682,60),(25661,30)]
13	53	[(27481,2),(25682,60),(25661,30)]
14	53	[(27481,2),(25682,60),(25661,30)]
15	53	[(27481,2),(25682,60),(25661,30)]
16	53	[(27481,2),(25682,60),(25661,30)]
17	53	[(27481,2),(25682,60),(25661,30)]
18	53	[(27481,2),(25682,60),(25661,30)]
19	53	[(27481,2),(25682,60),(25661,30)]
20	53	[(27481,2),(25682,60),(25661,30)]
1	54	[(27481,5),(27482,1),(25682,200),(25661,100)]
2	54	[(27481,4),(27482,1),(25682,150),(25661,75)]
3	54	[(27481,3),(27482,1),(25682,100),(25661,50)]
4	54	[(27481,3),(25682,80),(25661,40)]
5	54	[(27481,3),(25682,80),(25661,40)]
6	54	[(27481,3),(25682,80),(25661,40)]
7	54	[(27481,3),(25682,80),(25661,40)]
8	54	[(27481,3),(25682,80),(25661,40)]
9	54	[(27481,3),(25682,80),(25661,40)]
10	54	[(27481,3),(25682,80),(25661,40)]
11	54	[(27481,2),(25682,60),(25661,30)]
12	54	[(27481,2),(25682,60),(25661,30)]
13	54	[(27481,2),(25682,60),(25661,30)]
14	54	[(27481,2),(25682,60),(25661,30)]
15	54	[(27481,2),(25682,60),(25661,30)]
16	54	[(27481,2),(25682,60),(25661,30)]
17	54	[(27481,2),(25682,60),(25661,30)]
18	54	[(27481,2),(25682,60),(25661,30)]
19	54	[(27481,2),(25682,60),(25661,30)]
