module_variable_name	source_text	target_text	need_translate	
Common.Other.GlobalPrompt.GroupBuyParty_Tips_Head	购买成功，获得：#H	Successfully bought! You received: #H	0	
Common.Other.GlobalPrompt.GroupBuyParty_Tips_LastFiveMinute_Limit	本轮团购已结束	This round of Group Sales is over.	0	
Common.Other.GlobalPrompt.GuBaoTanMi_MSg_Special	【古堡探秘】玩家#C(#00FF00)%s#n集齐3把%s，获得#Z(%s,%s)	【Explore Castle】 the player #C(#00FF00)%s#n collected 3 %s and received #Z(%s,%s).	0	
Common.Other.GlobalPrompt.GuBaoTanMi_Msg_Precious	【古堡探秘】玩家#C(#00FF00)%s#n在探索中获得#Z(%s,%s)，运气真是好到没朋友！	【Explore Castle】 the player #C(#00FF00)%s#n received #Z(%s,%s). How lucky!	0	
Common.Other.GlobalPrompt.GuBaoTanMi_Tips_Head	恭喜获得:	Congratulations on receiving:	0	
Common.Other.GlobalPrompt.HERO_IS_FULL	英雄已满，无法领取	Max amount of Heroes reached! You cannot claim!	0	
Common.Other.GlobalPrompt.HS_1	左神卫	Left	0	
Common.Other.GlobalPrompt.HS_2	右神卫	Right	0	
Common.Other.GlobalPrompt.HS_3	神卫	Guardian	0	
Common.Other.GlobalPrompt.HShoppingMailContent_1	由于您的背包已满，您在元旦跨年购物节中购买的物品通过邮件发放。	no need to translate	0	
Common.Other.GlobalPrompt.HShoppingMailContent_2	由于您的背包已满，您在元旦跨年购物节中领取的积分奖励礼包通过邮件发放。	no need to translate	0	
Common.Other.GlobalPrompt.HShoppingMailSender_1	系统	System	0	
Common.Other.GlobalPrompt.HShoppingMailSender_2	系统	System	0	
Common.Other.GlobalPrompt.HShoppingMailTitle_1	元旦跨年购物节	no need to translate	0	
Common.Other.GlobalPrompt.HShoppingMailTitle_2	元旦跨年购物节	no need to translate	0	
Common.Other.GlobalPrompt.HT_1	少将	Brigadier General	0	
Common.Other.GlobalPrompt.HT_2	中将	Major General	0	
Common.Other.GlobalPrompt.HT_3	上将	Lieutenant General	0	
Common.Other.GlobalPrompt.HT_4	大将	General	0	
Common.Other.GlobalPrompt.HT_5	元帅	Army General	0	
Common.Other.GlobalPrompt.HWishMailContent	由于您的背包已满，您在元旦金币祈福礼许愿获得的物品通过邮件发放。	no need to translate	0	
Common.Other.GlobalPrompt.HWishMailSender	系统	System	0	
Common.Other.GlobalPrompt.HWishMailTitle	元旦金币祈福礼	no need to translate	0	
Common.Other.GlobalPrompt.HallowCardOverTime	变身卡已过期	Invalid Transformation Card!	0	
Common.Other.GlobalPrompt.HallowCollect	#C(#E87D22)【万圣节】#n#C(#00EE00)%s#n在变身卡收集活动中成功达到收集条件，获得:	#C(#E87D22)【Valentine's Day】In the Transformation Event, #n#C(#00EE00)%s#n received:	0	
Common.Other.GlobalPrompt.HallowCollect2	获得#Z(%s,%s)，真是太霸气了！	has received #Z(%s,%s). Wow!	0	
Common.Other.GlobalPrompt.HallowDesc	亲爱的玩家，因%s在宴会中使用了万紫千红烟花，你额外获得#Z(%s,%s)，现邮件发放给你，请查收。	You received #Z(%s,%s) extra because %s used colorful fireworks in the banquet. The Rewards will be sent to your mail.	0	
Common.Other.GlobalPrompt.HallowFire	#C(#E87D22)【万圣节】#n#C(#00EE00)%s#n在万圣节宴会活动中放烟花成功获得#Z(%s,%s)，真是太霸气了！	#C(#E87D22)【Valentine's Day】#n#C(#00EE00)%s#n has received #Z(%s,%s) by setting off fireworks in the Valentine's Banquet. Beautiful!	0	
Common.Other.GlobalPrompt.HallowFire2	#C(#E87D22)【万圣节】#n#C(#00EE00)%s#n在万圣节宴会活动中放烟花成功获得#t(#K(sTT,%s,%s))#H，真是太霸气了！	#C(#E87D22)【Valentine's Day】#n#C(#00EE00)%s#n has received #t(#K(sTT,%s,%s))#H by setting off fireworks in the Valentine's Banquet. Beautiful!	0	
Common.Other.GlobalPrompt.HallowFireGlobal	#C(#E87D22)【万圣节】#n#C(#00EE00)%s#n在万圣节宴会活动中使用了万紫千红烟花，宴会中的玩家都获得了#Z(%s,%s)奖励，快来膜拜吧！	#C(#E87D22)【Valentine's Day】#n#C(#00EE00)%s#n has set off the Color Blaze fireworks in the Valentine's Banquet and all the players in Banquet have received #Z(%s,%s). Amazing!	0	
Common.Other.GlobalPrompt.HallowKillMsg	成功打鬼%s次，获得:	You've picked roses %s times and received:	0	
Common.Other.GlobalPrompt.HallowMailTitle	宴会烟花额外奖励	Extra rewards for using fireworks	0	
Common.Other.GlobalPrompt.HallowNotChange	在婚礼场景中不能变身	Can't transform during a Wedding	0	
Common.Other.GlobalPrompt.HallowTaskMsg	当前形象不符合宴会任务要求变身形象，无法领取奖励。	Your current Image is not the required one for the Banquet Quest, you can't receive the rewards.	0	
Common.Other.GlobalPrompt.HalloweenKillMsg	#C(#E87D22)【万圣节】#n#C(#00EE00)%s#n在万圣节打鬼活动中成功获得 #Z(%s,%s)，真是太霸气了！	#C(#E87D22)【Valentine's Day】#n#C(#00EE00)%s#n received #Z(%s,%s) in the Picking Roses event. So cool!	0	
Common.Other.GlobalPrompt.HalloweenKillMsg2	%s在万圣节打鬼活动中成功获得 #t(#K(sTT,%s,%s))，真是太霸气了！	%s received #t(#K(sTT,%s,%s)) in the Picking Roses event. So cool!	0	
Common.Other.GlobalPrompt.HalloweenLightMsg	你成功消耗%s神石，释放了%s次烟花，获得:	You consumed %s Balens to set off fireworks %s times and received:	0	
Common.Other.GlobalPrompt.HalloweenNA_CONTENT	内容	Thanks for taking part in our event! Here are your rewards!	0	
Common.Other.GlobalPrompt.HalloweenNA_SENDER	发邮人	Sender	0	
Common.Other.GlobalPrompt.HalloweenNA_TITLE	题目	Title	0	
Common.Other.GlobalPrompt.Hallows_InheritanceSuccessfully	继承成功	Inherited	0	
Common.Other.GlobalPrompt.Hallows_OneKeyShenzaoOkay	神造成功，经验值加+%s	Enchanted successfully. You received +%s EXP.	0	
Common.Other.GlobalPrompt.Hallows_ShenzaoOkay	神造成功，经验值加1	Enchanted successfully. You received 1 EXP.	0	
Common.Other.GlobalPrompt.HaoqiLocal_Content	恭喜！您在#C(#E87D22)【豪气冲天】#n活动中本服排名第%s，达到了排名奖励标准，获得了丰厚奖励！	Congratulations! In #C(#E87D22)【Recharge Boom】#n event, you ranked No.%s in your server and received great rewards!	0	
Common.Other.GlobalPrompt.HaoqiLocal_Sender	系统	System	0	
Common.Other.GlobalPrompt.HaoqiLocal_Title	【豪气冲天】本服排名奖励	【Recharge Boom】This server's Ranking rewards	0	
Common.Other.GlobalPrompt.HaoqiReward_Content	由于您的背包已满, 系统已将【豪气冲天】充值奖励暂时保存于邮件附件中。请尽快整理您的背包，预留足够的背包格子，并且在7天内提取附件中的物品。	Your Bag is full. The sytem has sent your 【Recharge Boom】 rewards to your mail. Please sort out your Bag and claim the rewards as soon as possible.	0	
Common.Other.GlobalPrompt.HaoqiReward_Sender	系统	System	0	
Common.Other.GlobalPrompt.HaoqiReward_Title	【豪气冲天】充值奖励	【Recharge Boom】Rewards	0	
Common.Other.GlobalPrompt.Haoqi_Content	恭喜！您在#C(#E87D22)【豪气冲天】#n活动中跨服排名第%s，达到了排名奖励标准，获得了丰厚奖励！	Congratulations! In #C(#E87D22)【Recharge Boom】#n event, you ranked No.%s in cross-server rankings and received great rewards!	0	
Common.Other.GlobalPrompt.Haoqi_Sender	系统	System	0	
Common.Other.GlobalPrompt.Haoqi_Title	【豪气冲天】跨服排名奖励	【Recharge Boom】Cross-server Ranking rewards	0	
Common.Other.GlobalPrompt.HeavenUpRMB_MSG	#C(#EE7600)【神石转转乐】#n#C(#00EE00)%s#n拿出#C(#00EE00)%s#n神石接受神灵的恩泽，圣光一闪，掉落#C(#00EE00)%s#n神石。真是福星高照，好运连连啊！	#C(#EE7600)【Balen Rush】#n#C(#00EE00)%s#n used #C(#00EE00)%s#n Balens and got #C(#00EE00)%s#n Balens unexpectedly. That was lucky!	0	
Common.Other.GlobalPrompt.HeavenUpRMB_MSG2	#C(#EE7600)【神石转转乐】#n#C(#00EE00)%s#n拿出#C(#00EE00)%s#n神石接受神灵的恩泽，圣光一闪，掉落#C(#00EE00)%s#n神石。还未来得及回神，只见神灵现形小手一抖，又有#C(#00EE00)%s#n神石掉落手中，幸福来得真是太突然！	#C(#EE7600)【Balen Rush】#n#C(#00EE00)%s#n used #C(#00EE00)%s#n Balens and received #C(#00EE00)%s#n Balens unexpectedly. That was so lucky! But then another #C(#00EE00)%s#n Balens appeared in his bag. Come on!	0	
Common.Other.GlobalPrompt.HefuBossActiveSeverAward	并且为全服激活了合服BOSS奖励。#C(#00FF00)#U#A(#K(OPEN_KAIFU_BOSS_PANEL))前往领取#n#n	and activated Server Merger Boss Rewards for the whole server. #C(#00FF00)#U#A(#K(OPEN_KAIFU_BOSS_PANEL)) Go claim them #n#n	0	
Common.Other.GlobalPrompt.HefuBossServerTips1	#C(#FFFF00)%s#n领取了	#C(#FFFF00)%s#n has claimed	0	
Common.Other.GlobalPrompt.HefuBossServerTips2	奖励，感谢	rewards. He wants to thank	0	
Common.Other.GlobalPrompt.HefuBossServerTips3	击败了合服BOSS中的#C(#FF6600)%s#n。	has beaten one of the server merger BOSS - #C(#FF6600)%s#n.	0	
Common.Other.GlobalPrompt.HefuBossSingleAwardTips	，独自获得了奖励	, and received rewards.	0	
Common.Other.GlobalPrompt.HefuBossSingleTips	独自一人成功击败了合服BOSS中的#C(#FF6600)%s#n	has beaten one of the server merger BOSS - #C(#FF6600)%s#n alone.	0	
Common.Other.GlobalPrompt.HefuBossTeamAwardTips	，分别获得了奖励	, and received rewards.	0	
Common.Other.GlobalPrompt.HefuBossTeamTips	齐心协力共同成功击败了合服BOSS中的#C(#FF6600)%s#n	joined efforts and beat one of the server merger BOSS - #C(#FF6600)%s#n	0	
Common.Other.GlobalPrompt.HefuBossWorshipTip	你膜拜了大神	You've sent your admiration.	0	
Common.Other.GlobalPrompt.HeroAltar_AddHero_Tips_1	#C(#ffffff)#U#A(#K(playerMenu,%s,%s,%s,TYPE8,%s,0,%s,%s))#C(#0099cc)%s#n#n#n在#C(#0099cc)[%s]#n幸运召唤到[#C(#FF33CC)%s#n]前来效力, 这是要称霸全服的节奏啊。	#C(#ffffff)#U#A(#K(playerMenu,%s,%s,%s,TYPE8,%s,0,%s,%s))#C(#0099cc)%s#n#n#n in #C(#0099cc)[%s]#n summoned [#C(#FF33CC)%s#n] to fight side by side. That’s a great team!	0	
Common.Other.GlobalPrompt.HeroAltar_AddHero_Tips_2	#C(#ffffff)#U#A(#K(playerMenu,%s,%s,%s,TYPE8,%s,0,%s,%s))#C(#0099cc)%s#n#n#n在[#C(#0099cc)%s#n]幸运召唤到[#C(#FF33CC)%s#n]和[#C(#FF33CC)%s#n]前来效力, 这是要称霸全服的节奏啊。	#C(#ffffff)#U#A(#K(playerMenu,%s,%s,%s,TYPE8,%s,0,%s,%s))#C(#0099cc)%s#n#n#n in #C(#0099cc)[%s]#n summoned [#C(#FF33CC)%s#n] and [#C(#FF33CC)%s#n] to fight side by side. That’s a great team!	0	
Common.Other.GlobalPrompt.HeroAltar_Change	兑换成功	Exchanged successfully!	0	
Common.Other.GlobalPrompt.HeroAwaken_Msg_Succeed	#C(#fefb00)%s#n#C(#66FF00)不畏艰辛，克服重重阻碍，终于将英雄#C(#FF0000)%s#n成功觉醒为#C(#FF0000)%s#n，这是要逆天的节奏啊！	#C(#fefb00)%s#n#C(#66FF00)has finally awakened a Hero #C(#FF0000)%s#n to #C(#FF0000)%s#n. That’s amazing!	0	
Common.Other.GlobalPrompt.HeroDataExcept	英雄数据异常	Heroes Data Error	0	
Common.Other.GlobalPrompt.HeroFire_Tips	解雇成功：#H#Z(%s,%s)	Fired: #H#Z(%s,%s)	0	
Common.Other.GlobalPrompt.HeroGradeTips_1	#C(#fefb00)%s#n#C(#66FF00)历尽艰难险阻, 终于将紫色英雄#C(#FF33CC)%s#n进化为成为橙色英雄#C(#FF6600)%s#n, 这是要称霸全服的节奏啊#n	#C(#fefb00)%s#n#C(#66FF00) finally upgraded the Purple Hero #C(#FF33CC)%s#n to Orange #C(#FF6600)%s#n. Superb!#n	0	
Common.Other.GlobalPrompt.HeroGradeTips_2	#C(#fefb00)%s#n#C(#66FF00)历尽艰难险阻, 终于将橙色英雄#C(#FF6600)%s#n进化为成为红色英雄#C(#FF0000)%s#n, 这是要称霸全服的节奏啊#n	#C(#fefb00)%s#n#C(#66FF00) finally upgraded the Orange Hero #C(#FF6600)%s#n to Red #C(#FF0000)%s#n.Congratulations!#n	0	
Common.Other.GlobalPrompt.HeroIsFull_Tips	英雄位置已满，请先解雇多余的英雄	You have no vacancies for new heroes. Please fire useless heroes first.	0	
Common.Other.GlobalPrompt.HeroShengdian_Fast	#C(#00EE00)%s#n仅用#C(#00EE00)%s#n回合便通关了英雄圣殿的#C(#ffff37)%s[%s]#n！还有更快的吗？	#C(#00EE00)%s#n only needed #C(#00EE00)%s#n rounds to clear #C(#ffff37)%s[%s]#n in Hero Temple! Incredible!	0	
Common.Other.GlobalPrompt.HeroShengdian_First	#C(#00EE00)%s#n率先通关了英雄圣殿的#C(#ffff37)%s[%s]#n！所谓兵贵神速啊！	#C(#00EE00)%s#n was the first one to clear #C(#ffff37)%s[%s]#n in Hero Temple! That was fast!	0	
Common.Other.GlobalPrompt.HeroShengdian_LevelLimit	等级不足，该副本尚未开启	You don’t have enough level to access this Dungeon.	0	
Common.Other.GlobalPrompt.HeroShengdian_Mail_Content	你的背包空间不足，已将本次英雄圣殿获得的奖励通过邮件发放。请您及时提取。	Your Bag is full. The Hero Temple rewards have been sent to your email.	0	
Common.Other.GlobalPrompt.HeroShengdian_Mail_Sender	系统	System	0	
Common.Other.GlobalPrompt.HeroShengdian_Mail_Title	背包空间不足	Your Bag is full!	0	
Common.Other.GlobalPrompt.HeroTemple_Fast	#C(#00EE00)%s#n仅用#C(#00EE00)%s#n回合便通关了英灵神殿的#C(#ffff37)%s[%s]#n！还有更快的吗？	#C(#00EE00)%s#nIt only took you #C(#00EE00)%s#n rounds to pass the Hall of Heroes's #C(#ffff37)%s[%s]#n! You are fast!	0	
Common.Other.GlobalPrompt.HeroTemple_First	#C(#00EE00)%s#n率先通关了英灵神殿的#C(#ffff37)%s[%s]#n！所谓兵贵神速啊！	#C(#00EE00)%s#n passed the #C(#ffff37)%s[%s]#n of the Hall of Heroes! That’s fast!	0	
Common.Other.GlobalPrompt.HeroTemple_LevelLimit	等级不足，该副本尚未开启	You don’t have enough level to access this Dungeon.	0	
Common.Other.GlobalPrompt.HeroTemple_Mail_Content	你的背包空间不足，已将本次英灵神殿获得的奖励通过邮件发放。请您及时提取。	Your Bag is full. The Hall of Heroes rewards have been sent to your mail.	0	
Common.Other.GlobalPrompt.HeroTemple_Mail_Sender	系统	System	0	
Common.Other.GlobalPrompt.HeroTemple_Mail_Title	背包空间不足	Your Bag is full!	0	
Common.Other.GlobalPrompt.HeroUpStar_1	#C(#fefb00)%s#n#C(#66FF00)历尽艰难险阻, 终于将3星英雄#C(#FF6600)%s#n进化为成为4星, 这是要称霸全服的节奏啊#n	#C(#fefb00)%s#n#C(#66FF00) finally upgraded his hero #C(#FF6600)%s#n from 3 to 4 Stars. That’s amazing!	0	
Common.Other.GlobalPrompt.HeroUpStar_2	#C(#fefb00)%s#n#C(#66FF00)历尽艰难险阻, 终于将4星英雄#C(#FF0000)%s#n进化为成为5星, 这是要称霸全服的节奏啊#n	#C(#fefb00)%s#n#C(#66FF00) finally upgraded his hero #C(#FF0000)%s#n from 4 to 5 Stars. Amazing!#n	0	
Common.Other.GlobalPrompt.HeroUpStar_3	#C(#fefb00)%s#n#C(#66FF00)历尽艰难险阻, 终于将5星英雄#C(#FF0000)%s#n进化为成为6星, 这是要称霸全服的节奏啊#n	#C(#fefb00)%s#n#C(#66FF00) finally upgraded his hero #C(#FF6600)%s#n from 5 to 6 Stars. That’s great!#n	0	
Common.Other.GlobalPrompt.HeroUpStar_4	#C(#fefb00)%s#n#C(#66FF00)历尽艰难险阻, 终于将6星英雄#C(#FF0000)%s#n进化为成为7星, 这是要称霸全服的节奏啊#n	#C(#fefb00)%s#n#C(#66FF00) finally upgraded his hero #C(#FF6600)%s#n from 6 to 7 Stars. We may have a new champion.#n	0	
Common.Other.GlobalPrompt.HeroUpStar_5	#C(#fefb00)%s#n#C(#66FF00)历尽艰难险阻, 终于将7星英雄#C(#FF0000)%s#n进化为成为8星, 这是要称霸全服的节奏啊#n	#C(#fefb00)%s#n#C(#66FF00) finally upgraded his 7 Star Hero#C(#FF0000)%s#n to 8 Stars. Will he be the final winner of this server?#n	0	
Common.Other.GlobalPrompt.HeroZhaoMuSuccess	招募成功	Recruited successfully!	0	
Common.Other.GlobalPrompt.HolidayLotteryReward_Msg_Precious	#C(#E87D22)【元旦大狂欢】#n%s在#C(#00ff00)充值开宝箱#n活动中获得了#Z(%s,%s)，真是令人羡慕！#C(#00ff00)#U#A(#K(OPEN_YUANDAN_PANEL,2))前往抽奖！#n#n#n	#C(#E87D22)【New Year Festival】#n%s has received #Z(%s,%s) in the #C(#00ff00) Recharge to get Gem Chest #n event. #C(#00ff00)#U#A(#K(OPEN_YUANDAN_PANEL,2))I want to join. #n#n#n	0	
Common.Other.GlobalPrompt.HolidayLotteryReward_Tips_Head	恭喜你成功获得：#H	Congratulations! You received: #H	0	
Common.Other.GlobalPrompt.HolidayOnlineReward_Tips_Head	领取成功，获得：#H	Claimed! You received: #H	0	
Common.Other.GlobalPrompt.HolidayOnlineReward_Tips_Money	金币 +%s#H	Gold +%s#H	0	
Common.Other.GlobalPrompt.HolidayOnlineReward_Tips_prayTimes	祈福次数 +%s#H	Pray +%s#H	0	
Common.Other.GlobalPrompt.HolidayRechargeReward_Tips_Head	领取成功，获得：#H	Claimed! You received: #H	0	
Common.Other.GlobalPrompt.HolidayRechargeReward_Tips_LotteryTimes	抽奖次数 +%s#H	Golden Wheel Spins +%s#H	0	
Common.Other.GlobalPrompt.HolidayShoppingTips	#C(#E87D22)【元旦大狂欢】#n在全服玩家的努力下，跨年购物节活动#C(#00ff00)%s#n分的积分奖励已被开启。#C(#00ff00)#U#A(#K(OPEN_YUANDAN_PANEL,1))前往领取#n#n#n	#C(#E87D22)【New Year Festival】#n Thank you everyone! The Countdown for the Shopping Festival #C(#00ff00)%s#n starts!	0	
Common.Other.GlobalPrompt.HolidayWishTips	祈福成功，获得#Z(%s,%s)	Successfully prayed! You received #Z(%s,%s).	0	
Common.Other.GlobalPrompt.HoneymoonBegin	蜜月开启成功，使用#C(#00FF00)甜言蜜语#n享受快乐的蜜月之旅吧	You've unlocked the Honeymoon. Use #C(#00FF00) Sweet Words #n and enjoy your happy Honeymoon.	0	
Common.Other.GlobalPrompt.HoneymoonBegin_1	#C(#E87D22)【环游蜜月】#C(#00FF00)%s#n#C(#FFFFFF)和#C(#00FF00)%s#n两人相知相爱，共结连理，两人骑着飞马环游圣辉城，留下甜蜜的爱情足迹！让我们为他们的爱情欢呼吧！#n	#C(#E87D22)【Honeymoon Trip】#C(#00FF00)%s#n#C(#FFFFFF) and #C(#00FF00)%s#n have married. They are riding a Pegasus around. Let's cheer for their love! #n	0	
Common.Other.GlobalPrompt.HoneymoonBegin_2	#C(#E87D22)【两人蜜月】#C(#00FF00)%s#n#C(#FFFFFF)和你开始静静的享受两人蜜月时光，快找他聊聊吧！珍惜这一刻，珍惜这么温馨与幸福的每一秒#n	#C(#E87D22)【Private Honeymoon】#C(#00FF00)%s#n#C(#FFFFFF) is on his honeymoon with you. Go talk with them! Cherish these unforgettable moments with your spouse.#n	0	
Common.Other.GlobalPrompt.HoneymoonFinish_1	#C(#E87D22)【环游蜜月】#C(#FFFFFF)不知不觉，#C(#00FF00)%s#n#C(#FFFFFF)和#C(#00FF00)%s#n的环游蜜月时光已经结束，大家为他们祝福吧，这是一对天下最幸福的一对，他们的每一分每一秒都将成为最美好的回忆#n	#C(#E87D22)【Honeymoon Trip】#C(#FFFFFF)Time flies, and #C(#00FF00)%s#n#C(#FFFFFF) and #C(#00FF00)%s#n's Public Honeymoon has ended. Let's wish them a happy marriage! Remember, ‘till death do you part! #n	0	
Common.Other.GlobalPrompt.HoneymoonFinish_2	#C(#E87D22)【两人蜜月】#C(#FFFFFF)不知不觉，#C(#00FF00)%s#n#C(#FFFFFF)和你的两人蜜月时光已经结束，这每一分每一秒都将成为最美好的回忆#n	#C(#E87D22)【Private Honeymoon】#C(#FFFFFF)Time flies and your Honeymoon with #C(#00FF00)%s#n#C(#FFFFFF) has ended. I hope you enjoyed it.#n	0	
Common.Other.GlobalPrompt.HoneymoonMailContent	由于你们相亲相爱，共同度过了一段甜蜜的蜜月时光，我代表爱情天使，给你们送上蜜月祝福：#Z(%s,%s), 亲密值：%s	I bring honeymoon wishes to you on behalf of the love angel: #Z(%s,%s). Intimacy Value: %s	0	
Common.Other.GlobalPrompt.HoneymoonMailSender	系统	System	0	
Common.Other.GlobalPrompt.HoneymoonMailTitle	蜜月奖励	Honeymoon rewards	0	
Common.Other.GlobalPrompt.HoneymoonSay_1	#C(#E87D22)【两人蜜月】#C(#00FF00)%s#n#C(#FFFFFF)悄悄跟#C(#00FF00)%s#n说：#C(#00FF00)%s#n	#C(#E87D22)【Private Honeymoon】#C(#00FF00)%s#n#C(#FFFFFF) says to #C(#00FF00)%s#n: #C(#00FF00)%s#n	0	
Common.Other.GlobalPrompt.HoneymoonSay_2	#C(#E87D22)【环游蜜月】#C(#00FF00)%s#n#C(#FFFFFF)对#C(#00FF00)%s#n情意绵绵的说：#C(#00FF00)%s#n	#C(#E87D22)【Public Honeymoon】#C(#00FF00)%s#n#C(#FFFFFF) says to #C(#00FF00)%s#n: #C(#00FF00)%s#n	0	
Common.Other.GlobalPrompt.HunluanSpace_Begin	#C(#EE7600)【混乱时空】#n混乱时空界门已经开启，英雄们纷纷涌入混乱时空中！	【Space-time Chaos】The Space-time Chaos has been unlocked. All Heroes want to get in!	0	
Common.Other.GlobalPrompt.HunluanSpace_CD	冷却中，无法进行操作！	You are in Cooldown	0	
Common.Other.GlobalPrompt.HunluanSpace_DemonBoss_1	#C(#EE7600)【混乱时空】#n幻境中层见迭出，公会的BOSS幻影出在第#C(#ffff37)%s#n层！	#C(#EE7600)[Space-time Chaos]#n The Boss has appeared! He is in Floor #C(#ffff37)%s#n!	0	
Common.Other.GlobalPrompt.HunluanSpace_DemonBoss_2	#C(#EE7600)【混乱时空】#n公会成员英勇无敌，击败了BOSS幻影，一大批混乱大军正在袭来。	#C(#EE7600)[Space-time Chaos]#n This Guild has defeated the Boss. The Chaos Force will appear soon!	0	
Common.Other.GlobalPrompt.HunluanSpace_DemonBoss_3	#C(#EE7600)【混乱时空】#n公会成员战力无双，击败了时空中的所有大军！	#C(#EE7600)[Space-time]#n This Guild defeated all Chaos Forces in the Space-time Chaos!	0	
Common.Other.GlobalPrompt.HunluanSpace_DevilBoss	#C(#EE7600)【混乱时空】#n公会成员在时空中迷失方向的瞬间，#C(#ffff37)%s#n向他们袭来，全公会团结共同抗敌！	#C(#EE7600)【Space-time Chaos】#n This Guild was lost in Space when they were attacked by #C(#ffff37)%s#n. The fight goes on!	0	
Common.Other.GlobalPrompt.HunluanSpace_DevilBoss_1	活动开启前五分钟可挑战时空守护者	You can challenge the Space-time Guardian 5 minutes before the event.	0	
Common.Other.GlobalPrompt.HunluanSpace_End	#C(#EE7600)【混乱时空】#n今日混乱时空活动已结束，请及时领取奖励	【Chaos Space】Today's Space-time Chaos is closed. Please claim the Rewards.	0	
Common.Other.GlobalPrompt.HunluanSpace_First	#C(#EE7600)【混乱时空】#n公会大神#C(#ffff37)%s#n真是神勇非凡，首次到达第#C(#ffff37)%s#n层！	#C(#EE7600)【Chaos Space-time】#n The great #C(#ffff37)%s#n has been the first one to reach Stage #C(#ffff37)%s#n!	0	
Common.Other.GlobalPrompt.HunluanSpace_HalfHourReady	#C(#EE7600)【混乱时空】#n混乱时空界门即将在#C(#ffff37)30#n分钟后开启，请大家做好准备！	【Chaos Space】Space-time Chaos will begin in 30 minutes. Be ready!	0	
Common.Other.GlobalPrompt.HunluanSpace_NoDamage	#C(#ffff37)%s#n神武非凡，给予了怪物最后一击，此次战斗您将不会增加伤害值。	#C(#ffff37)%s#n has killed the monster. You cannot deal damage any more.	0	
Common.Other.GlobalPrompt.HunluanSpace_PRT	#C(#EE7600)【混乱时空】#n个人伤害排行	#C(#EE7600)【Space-time Chaos】#n Personal Damage Rankings	0	
Common.Other.GlobalPrompt.HunluanSpace_RT_1	，第一名：#C(#ffff37)%s#n	, No.1 #C(#ffff37)%s#n	0	
Common.Other.GlobalPrompt.HunluanSpace_RT_2	，第二名：#C(#ffff37)%s#n	, No.2 #C(#ffff37)%s#n	0	
Common.Other.GlobalPrompt.HunluanSpace_RT_3	，第三名：#C(#ffff37)%s#n	, No.3 #C(#ffff37)%s#n	0	
Common.Other.GlobalPrompt.HunluanSpace_RT_4	，第四名：#C(#ffff37)%s#n	, No.4 #C(#ffff37)%s#n	0	
Common.Other.GlobalPrompt.HunluanSpace_RT_5	，第五名：#C(#ffff37)%s#n	, No.5 #C(#ffff37)%s#n	0	
Common.Other.GlobalPrompt.HunluanSpace_TenMinuteReady	#C(#EE7600)【混乱时空】#n混乱时空界门即将在#C(#ffff37)10#n分钟后开启，请大家做好准备！	【Chaos Space】Space-time Chaos will begin in 10 minutes. Be ready!	0	
Common.Other.GlobalPrompt.HunluanSpace_URT	#C(#EE7600)【混乱时空】#n公会伤害排行	#C(#EE7600)【Chaos Space-time】#n Guild Damage Ranking	0	
Common.Other.GlobalPrompt.HunluanSpace_UnionLimit	今日您的公会未达到参与活动条件	Your Guild is not qualified to take part in today's events.	0	
Common.Other.GlobalPrompt.HuoYueDaLi_Tips_Move	前进成功，您共前进了%s格	You’ve advanced %s grid(s).	0	
Common.Other.GlobalPrompt.HuoYueDaLi_Tips_Steps	前进步数 +%s#H	Step +%s#H.	0	
Common.Other.GlobalPrompt.ItemSell_TIPS_3	出售成功 ：#H#Z(%s,%s,0)#H金币+%s	Sold: #H#Z(%s,%s,0)#H Gold+%s	0	
Common.Other.GlobalPrompt.ItemSell_TIPS_4	出售成功 ：#H#Z(%s,%s,0)#H获得：#Z(%s,%s)	Sold: #H#Z(%s,%s,0)#H Received: #Z(%s,%s)	0	
Common.Other.GlobalPrompt.ItemSell_TIPS_5	出售成功 ：#H#Z(%s,%s,0)#H获得：#H	Sold #H#Z(%s,%s,0)#H Received:	0	
Common.Other.GlobalPrompt.ItemSell_TIPS_7	金币+ %s	Gold + %s	0	
Common.Other.GlobalPrompt.Item_Exchang_Tips	兑换成功#H	Successfully Exchanged!	0	
Common.Other.GlobalPrompt.Item_Use_Tips	使用成功 #H 获得了：#H	Opened #H Received: #H	0	
Common.Other.GlobalPrompt.Item_Use_Tips_1	使用成功 #H 获得了：#H金币 +%s	Opened #H Received: #H Gold +%s	0	
Common.Other.GlobalPrompt.Item_Use_Tips_2	使用成功 #H 获得了：#H魔晶 +%s	Opened #H Received: #H Bound Balens +%s	0	
Common.Other.GlobalPrompt.Item_Use_Tips_3	使用成功 #H 获得了：#H神石 +%s	Opened #H Received: #H Balens +%s	0	
Common.Other.GlobalPrompt.Item_Use_Tips_4	使用成功 #H 获得了：#H体力 +%s	Opened #H Receive: #H Stamina +%s	0	
Common.Other.GlobalPrompt.Item_Use_Tips_5	使用成功 #H 获得了：#H命力 +%s	Opened #H Received: #H Astral Points +%s	0	
Common.Other.GlobalPrompt.Item_Use_Tips_6	使用成功 #H 获得了：#H#Z(%s,%s)	Opened #H Received: #H#Z(%s,%s)	0	
