level	exchangeId	score	reputation	item
119	11	54	0	[25685, 20]
119	12	60	500	[]
120	1	2	200	[]
120	2	6	300	[]
120	3	10	0	[25686, 20]
120	4	16	500	[]
120	5	22	0	[25686, 20]
120	6	28	500	[]
120	7	30	0	[25686, 20]
120	8	36	500	[]
120	9	42	0	[25686, 20]
120	10	48	500	[]
120	11	54	0	[25686, 20]
120	12	60	500	[]
121	1	2	200	[]
121	2	6	300	[]
121	3	10	0	[25686, 20]
121	4	16	500	[]
121	5	22	0	[25686, 20]
121	6	28	500	[]
121	7	30	0	[25686, 20]
121	8	36	500	[]
121	9	42	0	[25686, 20]
121	10	48	500	[]
121	11	54	0	[25686, 20]
121	12	60	500	[]
122	1	2	200	[]
122	2	6	300	[]
122	3	10	0	[25686, 20]
122	4	16	500	[]
122	5	22	0	[25686, 20]
122	6	28	500	[]
122	7	30	0	[25686, 20]
122	8	36	500	[]
122	9	42	0	[25686, 20]
122	10	48	500	[]
122	11	54	0	[25686, 20]
122	12	60	500	[]
123	1	2	200	[]
123	2	6	300	[]
123	3	10	0	[25686, 20]
123	4	16	500	[]
123	5	22	0	[25686, 20]
123	6	28	500	[]
123	7	30	0	[25686, 20]
123	8	36	500	[]
123	9	42	0	[25686, 20]
123	10	48	500	[]
123	11	54	0	[25686, 20]
123	12	60	500	[]
124	1	2	200	[]
124	2	6	300	[]
124	3	10	0	[25686, 20]
124	4	16	500	[]
124	5	22	0	[25686, 20]
124	6	28	500	[]
124	7	30	0	[25686, 20]
124	8	36	500	[]
124	9	42	0	[25686, 20]
124	10	48	500	[]
124	11	54	0	[25686, 20]
124	12	60	500	[]
125	1	2	200	[]
125	2	6	300	[]
125	3	10	0	[25686, 20]
125	4	16	500	[]
125	5	22	0	[25686, 20]
125	6	28	500	[]
125	7	30	0	[25686, 20]
125	8	36	500	[]
125	9	42	0	[25686, 20]
125	10	48	500	[]
125	11	54	0	[25686, 20]
125	12	60	500	[]
126	1	2	200	[]
126	2	6	300	[]
126	3	10	0	[25686, 20]
126	4	16	500	[]
126	5	22	0	[25686, 20]
126	6	28	500	[]
126	7	30	0	[25686, 20]
126	8	36	500	[]
126	9	42	0	[25686, 20]
126	10	48	500	[]
126	11	54	0	[25686, 20]
126	12	60	500	[]
127	1	2	200	[]
127	2	6	300	[]
127	3	10	0	[25686, 20]
127	4	16	500	[]
127	5	22	0	[25686, 20]
127	6	28	500	[]
127	7	30	0	[25686, 20]
127	8	36	500	[]
127	9	42	0	[25686, 20]
127	10	48	500	[]
127	11	54	0	[25686, 20]
127	12	60	500	[]
128	1	2	200	[]
128	2	6	300	[]
128	3	10	0	[25686, 20]
128	4	16	500	[]
128	5	22	0	[25686, 20]
128	6	28	500	[]
128	7	30	0	[25686, 20]
128	8	36	500	[]
128	9	42	0	[25686, 20]
128	10	48	500	[]
128	11	54	0	[25686, 20]
128	12	60	500	[]
129	1	2	200	[]
129	2	6	300	[]
129	3	10	0	[25686, 20]
129	4	16	500	[]
129	5	22	0	[25686, 20]
129	6	28	500	[]
129	7	30	0	[25686, 20]
129	8	36	500	[]
129	9	42	0	[25686, 20]
129	10	48	500	[]
129	11	54	0	[25686, 20]
129	12	60	500	[]
130	1	2	200	[]
130	2	6	300	[]
130	3	10	0	[25686, 20]
130	4	16	500	[]
130	5	22	0	[25686, 20]
130	6	28	500	[]
130	7	30	0	[25686, 20]
130	8	36	500	[]
130	9	42	0	[25686, 20]
130	10	48	500	[]
130	11	54	0	[25686, 20]
130	12	60	500	[]
131	1	2	200	[]
131	2	6	300	[]
131	3	10	0	[25686, 20]
131	4	16	500	[]
131	5	22	0	[25686, 20]
131	6	28	500	[]
131	7	30	0	[25686, 20]
131	8	36	500	[]
131	9	42	0	[25686, 20]
131	10	48	500	[]
131	11	54	0	[25686, 20]
131	12	60	500	[]
132	1	2	200	[]
132	2	6	300	[]
132	3	10	0	[25686, 20]
132	4	16	500	[]
132	5	22	0	[25686, 20]
132	6	28	500	[]
132	7	30	0	[25686, 20]
132	8	36	500	[]
132	9	42	0	[25686, 20]
132	10	48	500	[]
132	11	54	0	[25686, 20]
132	12	60	500	[]
133	1	2	200	[]
133	2	6	300	[]
133	3	10	0	[25686, 20]
133	4	16	500	[]
133	5	22	0	[25686, 20]
133	6	28	500	[]
133	7	30	0	[25686, 20]
133	8	36	500	[]
133	9	42	0	[25686, 20]
133	10	48	500	[]
133	11	54	0	[25686, 20]
133	12	60	500	[]
134	1	2	200	[]
134	2	6	300	[]
134	3	10	0	[25686, 20]
134	4	16	500	[]
134	5	22	0	[25686, 20]
134	6	28	500	[]
134	7	30	0	[25686, 20]
134	8	36	500	[]
134	9	42	0	[25686, 20]
134	10	48	500	[]
134	11	54	0	[25686, 20]
134	12	60	500	[]
135	1	2	200	[]
135	2	6	300	[]
135	3	10	0	[25686, 20]
135	4	16	500	[]
135	5	22	0	[25686, 20]
135	6	28	500	[]
135	7	30	0	[25686, 20]
135	8	36	500	[]
135	9	42	0	[25686, 20]
135	10	48	500	[]
135	11	54	0	[25686, 20]
135	12	60	500	[]
136	1	2	200	[]
136	2	6	300	[]
136	3	10	0	[25686, 20]
136	4	16	500	[]
136	5	22	0	[25686, 20]
136	6	28	500	[]
136	7	30	0	[25686, 20]
136	8	36	500	[]
136	9	42	0	[25686, 20]
136	10	48	500	[]
136	11	54	0	[25686, 20]
136	12	60	500	[]
137	1	2	200	[]
137	2	6	300	[]
137	3	10	0	[25686, 20]
137	4	16	500	[]
137	5	22	0	[25686, 20]
137	6	28	500	[]
137	7	30	0	[25686, 20]
137	8	36	500	[]
137	9	42	0	[25686, 20]
137	10	48	500	[]
137	11	54	0	[25686, 20]
137	12	60	500	[]
138	1	2	200	[]
138	2	6	300	[]
138	3	10	0	[25686, 20]
138	4	16	500	[]
138	5	22	0	[25686, 20]
138	6	28	500	[]
138	7	30	0	[25686, 20]
138	8	36	500	[]
138	9	42	0	[25686, 20]
138	10	48	500	[]
138	11	54	0	[25686, 20]
138	12	60	500	[]
139	1	2	200	[]
139	2	6	300	[]
139	3	10	0	[25686, 20]
139	4	16	500	[]
139	5	22	0	[25686, 20]
139	6	28	500	[]
139	7	30	0	[25686, 20]
139	8	36	500	[]
139	9	42	0	[25686, 20]
139	10	48	500	[]
139	11	54	0	[25686, 20]
139	12	60	500	[]
140	1	2	200	[]
140	2	6	300	[]
140	3	10	0	[26607, 20]
140	4	16	500	[]
140	5	22	0	[26607, 20]
140	6	28	500	[]
140	7	30	0	[26607, 20]
140	8	36	500	[]
140	9	42	0	[26607, 20]
140	10	48	500	[]
140	11	54	0	[26607, 20]
140	12	60	500	[]
141	1	2	200	[]
141	2	6	300	[]
141	3	10	0	[26607, 20]
141	4	16	500	[]
141	5	22	0	[26607, 20]
141	6	28	500	[]
141	7	30	0	[26607, 20]
141	8	36	500	[]
141	9	42	0	[26607, 20]
141	10	48	500	[]
141	11	54	0	[26607, 20]
141	12	60	500	[]
142	1	2	200	[]
142	2	6	300	[]
142	3	10	0	[26607, 20]
142	4	16	500	[]
142	5	22	0	[26607, 20]
142	6	28	500	[]
142	7	30	0	[26607, 20]
142	8	36	500	[]
142	9	42	0	[26607, 20]
142	10	48	500	[]
142	11	54	0	[26607, 20]
142	12	60	500	[]
143	1	2	200	[]
143	2	6	300	[]
143	3	10	0	[26607, 20]
143	4	16	500	[]
143	5	22	0	[26607, 20]
143	6	28	500	[]
143	7	30	0	[26607, 20]
143	8	36	500	[]
143	9	42	0	[26607, 20]
143	10	48	500	[]
143	11	54	0	[26607, 20]
143	12	60	500	[]
144	1	2	200	[]
144	2	6	300	[]
144	3	10	0	[26607, 20]
144	4	16	500	[]
144	5	22	0	[26607, 20]
144	6	28	500	[]
144	7	30	0	[26607, 20]
144	8	36	500	[]
144	9	42	0	[26607, 20]
144	10	48	500	[]
144	11	54	0	[26607, 20]
144	12	60	500	[]
145	1	2	200	[]
145	2	6	300	[]
145	3	10	0	[26607, 20]
145	4	16	500	[]
145	5	22	0	[26607, 20]
145	6	28	500	[]
145	7	30	0	[26607, 20]
145	8	36	500	[]
145	9	42	0	[26607, 20]
145	10	48	500	[]
145	11	54	0	[26607, 20]
145	12	60	500	[]
146	1	2	200	[]
146	2	6	300	[]
146	3	10	0	[26607, 20]
146	4	16	500	[]
146	5	22	0	[26607, 20]
146	6	28	500	[]
146	7	30	0	[26607, 20]
146	8	36	500	[]
146	9	42	0	[26607, 20]
146	10	48	500	[]
146	11	54	0	[26607, 20]
146	12	60	500	[]
147	1	2	200	[]
147	2	6	300	[]
147	3	10	0	[26607, 20]
147	4	16	500	[]
147	5	22	0	[26607, 20]
147	6	28	500	[]
147	7	30	0	[26607, 20]
147	8	36	500	[]
147	9	42	0	[26607, 20]
147	10	48	500	[]
147	11	54	0	[26607, 20]
147	12	60	500	[]
148	1	2	200	[]
148	2	6	300	[]
148	3	10	0	[26607, 20]
148	4	16	500	[]
148	5	22	0	[26607, 20]
148	6	28	500	[]
148	7	30	0	[26607, 20]
148	8	36	500	[]
148	9	42	0	[26607, 20]
148	10	48	500	[]
148	11	54	0	[26607, 20]
148	12	60	500	[]
149	1	2	200	[]
149	2	6	300	[]
149	3	10	0	[26607, 20]
149	4	16	500	[]
149	5	22	0	[26607, 20]
149	6	28	500	[]
149	7	30	0	[26607, 20]
149	8	36	500	[]
149	9	42	0	[26607, 20]
149	10	48	500	[]
149	11	54	0	[26607, 20]
149	12	60	500	[]
150	1	2	200	[]
150	2	6	300	[]
150	3	10	0	[26607, 20]
150	4	16	500	[]
150	5	22	0	[26607, 20]
150	6	28	500	[]
150	7	30	0	[26607, 20]
150	8	36	500	[]
150	9	42	0	[26607, 20]
150	10	48	500	[]
150	11	54	0	[26607, 20]
150	12	60	500	[]
151	1	2	200	[]
151	2	6	300	[]
151	3	10	0	[26607, 20]
151	4	16	500	[]
151	5	22	0	[26607, 20]
151	6	28	500	[]
151	7	30	0	[26607, 20]
151	8	36	500	[]
151	9	42	0	[26607, 20]
151	10	48	500	[]
151	11	54	0	[26607, 20]
151	12	60	500	[]
152	1	2	200	[]
152	2	6	300	[]
152	3	10	0	[26607, 20]
152	4	16	500	[]
152	5	22	0	[26607, 20]
152	6	28	500	[]
152	7	30	0	[26607, 20]
152	8	36	500	[]
152	9	42	0	[26607, 20]
152	10	48	500	[]
152	11	54	0	[26607, 20]
152	12	60	500	[]
153	1	2	200	[]
153	2	6	300	[]
153	3	10	0	[26607, 20]
153	4	16	500	[]
153	5	22	0	[26607, 20]
153	6	28	500	[]
153	7	30	0	[26607, 20]
153	8	36	500	[]
153	9	42	0	[26607, 20]
153	10	48	500	[]
153	11	54	0	[26607, 20]
153	12	60	500	[]
154	1	2	200	[]
154	2	6	300	[]
154	3	10	0	[26607, 20]
154	4	16	500	[]
154	5	22	0	[26607, 20]
154	6	28	500	[]
154	7	30	0	[26607, 20]
154	8	36	500	[]
154	9	42	0	[26607, 20]
154	10	48	500	[]
154	11	54	0	[26607, 20]
154	12	60	500	[]
155	1	2	200	[]
155	2	6	300	[]
155	3	10	0	[26607, 20]
155	4	16	500	[]
155	5	22	0	[26607, 20]
155	6	28	500	[]
155	7	30	0	[26607, 20]
155	8	36	500	[]
155	9	42	0	[26607, 20]
155	10	48	500	[]
155	11	54	0	[26607, 20]
155	12	60	500	[]
156	1	2	200	[]
156	2	6	300	[]
156	3	10	0	[26607, 20]
156	4	16	500	[]
156	5	22	0	[26607, 20]
156	6	28	500	[]
156	7	30	0	[26607, 20]
156	8	36	500	[]
156	9	42	0	[26607, 20]
156	10	48	500	[]
156	11	54	0	[26607, 20]
156	12	60	500	[]
157	1	2	200	[]
157	2	6	300	[]
157	3	10	0	[26607, 20]
157	4	16	500	[]
157	5	22	0	[26607, 20]
157	6	28	500	[]
157	7	30	0	[26607, 20]
157	8	36	500	[]
157	9	42	0	[26607, 20]
157	10	48	500	[]
157	11	54	0	[26607, 20]
157	12	60	500	[]
158	1	2	200	[]
158	2	6	300	[]
158	3	10	0	[26607, 20]
158	4	16	500	[]
158	5	22	0	[26607, 20]
158	6	28	500	[]
158	7	30	0	[26607, 20]
158	8	36	500	[]
158	9	42	0	[26607, 20]
158	10	48	500	[]
158	11	54	0	[26607, 20]
158	12	60	500	[]
159	1	2	200	[]
159	2	6	300	[]
159	3	10	0	[26607, 20]
159	4	16	500	[]
159	5	22	0	[26607, 20]
159	6	28	500	[]
159	7	30	0	[26607, 20]
159	8	36	500	[]
159	9	42	0	[26607, 20]
159	10	48	500	[]
159	11	54	0	[26607, 20]
159	12	60	500	[]
160	1	2	200	[]
160	2	6	300	[]
160	3	10	0	[27066, 20]
160	4	16	500	[]
160	5	22	0	[27066, 20]
160	6	28	500	[]
160	7	30	0	[27066, 20]
160	8	36	500	[]
160	9	42	0	[27066, 20]
160	10	48	500	[]
160	11	54	0	[27066, 20]
160	12	60	500	[]
161	1	2	200	[]
161	2	6	300	[]
161	3	10	0	[27066, 20]
161	4	16	500	[]
161	5	22	0	[27066, 20]
161	6	28	500	[]
161	7	30	0	[27066, 20]
161	8	36	500	[]
161	9	42	0	[27066, 20]
161	10	48	500	[]
161	11	54	0	[27066, 20]
161	12	60	500	[]
162	1	2	200	[]
162	2	6	300	[]
162	3	10	0	[27066, 20]
162	4	16	500	[]
162	5	22	0	[27066, 20]
162	6	28	500	[]
162	7	30	0	[27066, 20]
162	8	36	500	[]
162	9	42	0	[27066, 20]
162	10	48	500	[]
162	11	54	0	[27066, 20]
162	12	60	500	[]
163	1	2	200	[]
163	2	6	300	[]
163	3	10	0	[27066, 20]
163	4	16	500	[]
163	5	22	0	[27066, 20]
163	6	28	500	[]
163	7	30	0	[27066, 20]
163	8	36	500	[]
163	9	42	0	[27066, 20]
163	10	48	500	[]
163	11	54	0	[27066, 20]
163	12	60	500	[]
164	1	2	200	[]
164	2	6	300	[]
164	3	10	0	[27066, 20]
164	4	16	500	[]
164	5	22	0	[27066, 20]
164	6	28	500	[]
164	7	30	0	[27066, 20]
164	8	36	500	[]
164	9	42	0	[27066, 20]
164	10	48	500	[]
164	11	54	0	[27066, 20]
164	12	60	500	[]
165	1	2	200	[]
165	2	6	300	[]
165	3	10	0	[27066, 20]
165	4	16	500	[]
165	5	22	0	[27066, 20]
165	6	28	500	[]
165	7	30	0	[27066, 20]
165	8	36	500	[]
165	9	42	0	[27066, 20]
165	10	48	500	[]
165	11	54	0	[27066, 20]
165	12	60	500	[]
166	1	2	200	[]
166	2	6	300	[]
166	3	10	0	[27066, 20]
166	4	16	500	[]
166	5	22	0	[27066, 20]
166	6	28	500	[]
166	7	30	0	[27066, 20]
166	8	36	500	[]
166	9	42	0	[27066, 20]
166	10	48	500	[]
166	11	54	0	[27066, 20]
166	12	60	500	[]
167	1	2	200	[]
167	2	6	300	[]
167	3	10	0	[27066, 20]
167	4	16	500	[]
167	5	22	0	[27066, 20]
167	6	28	500	[]
167	7	30	0	[27066, 20]
167	8	36	500	[]
167	9	42	0	[27066, 20]
167	10	48	500	[]
167	11	54	0	[27066, 20]
167	12	60	500	[]
168	1	2	200	[]
168	2	6	300	[]
168	3	10	0	[27066, 20]
168	4	16	500	[]
168	5	22	0	[27066, 20]
168	6	28	500	[]
168	7	30	0	[27066, 20]
168	8	36	500	[]
168	9	42	0	[27066, 20]
168	10	48	500	[]
168	11	54	0	[27066, 20]
168	12	60	500	[]
169	1	2	200	[]
169	2	6	300	[]
169	3	10	0	[27066, 20]
169	4	16	500	[]
169	5	22	0	[27066, 20]
169	6	28	500	[]
169	7	30	0	[27066, 20]
169	8	36	500	[]
169	9	42	0	[27066, 20]
169	10	48	500	[]
169	11	54	0	[27066, 20]
169	12	60	500	[]
170	1	2	200	[]
170	2	6	300	[]
170	3	10	0	[27066, 20]
170	4	16	500	[]
170	5	22	0	[27066, 20]
170	6	28	500	[]
170	7	30	0	[27066, 20]
170	8	36	500	[]
170	9	42	0	[27066, 20]
170	10	48	500	[]
170	11	54	0	[27066, 20]
170	12	60	500	[]
171	1	2	200	[]
171	2	6	300	[]
171	3	10	0	[27066, 20]
171	4	16	500	[]
171	5	22	0	[27066, 20]
171	6	28	500	[]
171	7	30	0	[27066, 20]
171	8	36	500	[]
171	9	42	0	[27066, 20]
171	10	48	500	[]
171	11	54	0	[27066, 20]
171	12	60	500	[]
172	1	2	200	[]
172	2	6	300	[]
172	3	10	0	[27066, 20]
172	4	16	500	[]
172	5	22	0	[27066, 20]
172	6	28	500	[]
172	7	30	0	[27066, 20]
172	8	36	500	[]
172	9	42	0	[27066, 20]
172	10	48	500	[]
172	11	54	0	[27066, 20]
172	12	60	500	[]
173	1	2	200	[]
173	2	6	300	[]
173	3	10	0	[27066, 20]
173	4	16	500	[]
173	5	22	0	[27066, 20]
173	6	28	500	[]
173	7	30	0	[27066, 20]
173	8	36	500	[]
173	9	42	0	[27066, 20]
173	10	48	500	[]
173	11	54	0	[27066, 20]
173	12	60	500	[]
174	1	2	200	[]
174	2	6	300	[]
174	3	10	0	[27066, 20]
174	4	16	500	[]
174	5	22	0	[27066, 20]
174	6	28	500	[]
174	7	30	0	[27066, 20]
174	8	36	500	[]
174	9	42	0	[27066, 20]
174	10	48	500	[]
174	11	54	0	[27066, 20]
174	12	60	500	[]
175	1	2	200	[]
175	2	6	300	[]
175	3	10	0	[27066, 20]
175	4	16	500	[]
175	5	22	0	[27066, 20]
175	6	28	500	[]
175	7	30	0	[27066, 20]
175	8	36	500	[]
175	9	42	0	[27066, 20]
175	10	48	500	[]
175	11	54	0	[27066, 20]
175	12	60	500	[]
176	1	2	200	[]
176	2	6	300	[]
176	3	10	0	[27066, 20]
176	4	16	500	[]
176	5	22	0	[27066, 20]
176	6	28	500	[]
176	7	30	0	[27066, 20]
176	8	36	500	[]
176	9	42	0	[27066, 20]
176	10	48	500	[]
176	11	54	0	[27066, 20]
176	12	60	500	[]
177	1	2	200	[]
177	2	6	300	[]
177	3	10	0	[27066, 20]
177	4	16	500	[]
177	5	22	0	[27066, 20]
177	6	28	500	[]
177	7	30	0	[27066, 20]
177	8	36	500	[]
177	9	42	0	[27066, 20]
177	10	48	500	[]
177	11	54	0	[27066, 20]
177	12	60	500	[]
178	1	2	200	[]
178	2	6	300	[]
178	3	10	0	[27066, 20]
178	4	16	500	[]
178	5	22	0	[27066, 20]
178	6	28	500	[]
178	7	30	0	[27066, 20]
178	8	36	500	[]
178	9	42	0	[27066, 20]
178	10	48	500	[]
178	11	54	0	[27066, 20]
178	12	60	500	[]
179	1	2	200	[]
179	2	6	300	[]
179	3	10	0	[27066, 20]
179	4	16	500	[]
179	5	22	0	[27066, 20]
179	6	28	500	[]
179	7	30	0	[27066, 20]
179	8	36	500	[]
179	9	42	0	[27066, 20]
179	10	48	500	[]
179	11	54	0	[27066, 20]
179	12	60	500	[]
