world_level	silver_rate	gold_rate	silver_reward_preview	gold_reward_preview
59	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
60	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
61	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
62	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
63	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
64	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
65	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
66	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
67	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
68	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
69	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
70	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
71	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
72	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
73	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
74	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
75	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
76	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
77	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
78	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
79	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
80	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
81	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
82	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
83	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
84	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
85	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
86	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
87	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
88	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
89	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
90	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
91	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
92	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
93	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
94	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
95	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
96	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
97	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
98	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
99	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
100	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
101	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
102	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
103	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
104	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
105	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
106	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
107	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
108	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
109	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
110	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
111	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
