messageId	desc	EnglishTranslate1
gej2015005	购买数量不能为0，请重新输入	Purchase amount can’t be 0.
gej2015006	今日充值200神石	Recharge 200 Balens today
gej2015007	#U#C(#00FF00)#A(#K(dlg,lll))已激活的兑换码#n#n#n	#U#C(#00FF00)#A(#K(dlg,lll)) has activated the Exchange Code #n#n#n
gej2015008	累计消耗充值神石：{0}	Total Recharge Balens consumed: {0}
gej2015009	未激活的兑换码：{0}	Exchange Code (not activated): {0}
gej2015010	#C(#ffffff){1}的#C(#00FF00){0}#n获得了#C({2}){3}{4}#n	#C(#ffffff){1}’s #C(#00FF00){0}#n received #C({2}){3}{4}#n
gej2015011	购买数量必须是3的整倍数,请重新输入购买数量	The purchase amount must be a multiple of 3. Enter another amount.
gej2015012	距离开奖时间:{0}	The winner(s) will be announced in: {0}
gej21	培养次数:	Times Tailored:
gej23	普通培养:{0} 神石培养:{1}	Times Tailored:{0} Times Tailored with Balens:{1}
gej24	抓捕次数:	Times Captured:
gej25	参与次数:	Challenge Attempt(s):
gej26	消耗神石:	Balen Consumption:
gej27	附灵等级:	Upgrade Level:
gej28	转盘次数:	Spins:
gej29	强化次数:	Times Enchanted:
gej30	互动次数:	Interactions:
gej31	达到次数:	Times Cleared:
gej33	达到数量:	Achieved:
gej33	占卜次数:	Astro times:
gej34	达标数量:	Achieved:
gej35	达标数量:	Achieved:
gej36	培养次数:	Times Tailored:
gej37	已经合成:	Times Synthesized:
gej38	达标数量:	Achieved:
gej39	达标数量:	Achieved:
gej40	达标数量:	Achieved:
ghfb1	第{0}关	Lvl {0}
ghfb10	【{0}】邀请你加入TA的队伍#H所在场景：{1}	【{0}】invited you to their team. #HYour Location: {1}
ghfb11	队伍已满，无法加入	Team is full, can't join.
ghfb12	队伍已开始战斗	The team is in battle.
ghfb13	队伍不存在。	The team doesn’t exist.
ghfb14	加入队伍成功。	Successfully joined the team.
ghfb15	退出队伍成功	You left the team.
ghfb16	已发出申请队长	Application for team leader sent.
ghfb17	已有替换队长的请求。	There is a request to change the leader.
ghfb18	【{0}】申请成为队长	【{0}】applied to be the team leader.
ghfb19	转让成功。	Successfully designated as leader.
ghfb2	全部通关	All levels are cleared.
ghfb20	必须组队才能挑战副本BOSS。	Team up to challenge the Boss.
ghfb21	该副本BOSS尚未解锁，请先占领前一个副本BOSS关卡。	The Boss hasn't been unlocked. You must defeat the previous Boss first.
ghfb22	只有队长才能开始挑战	Only the team leader can decide when to attack.
ghfb23	加入公会后可进入该玩法	You can unlock the event if you join the Guild.
ghfb24	1、战斗胜利则消耗1次行动力并且增加对应的副本BOSS关卡占领进度1点。#H2、当行动力为0时，战斗胜利不增加副本关卡占领进度，也无法获得奖励。#H3、提升贵族等级可额外购买更多的行动力。	1. Winning the battle will consume 1 attempt and add 1 point to the conquering progress of the corresponding Dungeon Boss Round. #H2. When there are no attempts left, winning the battle will add no points and you won't receive rewards. #H3. You can buy more attempts by upgrading your VIP level.
ghfb25	1、 不消耗行动力#H勾选后，即使战斗胜利也不会扣除玩家的行动力，同时也无法获得奖励和增加BOSS的占领度。#H战斗失败也不扣除行动力。该设置仅对自己生效。#H2、 行动力为0时自动购买#H默认勾选此项，勾选后当行动力为0时自动提示玩家购买。#H若玩家没有剩余的购买次数则不再提示。	1. Do not consume attempts. #H If you mark it, your attempts will not be deducted when winning the battle, but you can't receive the rewards nor add points to the conquering progress. #H Your attempts will not be deducted when losing the battle. #H2. Buy attempts automatically when you have none left. #H Mark by default. If you mark it, the system will remind you to buy attempts when you have none left. #H If you have no remaining buying chances, you will not be asked.
ghfb26	点击向队长发出申请队长请求，若队长60秒内没有选择同意或者拒绝则自动同意。	Click to send a team leader application to the team leader. If they don’t answer, it will be regarded as accepted.
ghfb27	该关卡占领度:{0}/{1}(占领度满额外解除障碍)	Conquering progress: {0}/{1} (Unlock next level when the conquering progress is full)
ghfb3	您当前的行动力为{0}#H是否使用{1}神石或魔晶购买1次行动力？	Your current number of attempts is {0}#H. Spend {1} Balens or Bound Balens to buy 1 attempt?
ghfb4	购买次数不足	Not enough purchase attempts!
ghfb5	今日已没有剩余的购买次数了。	No more purchase attempts today!
ghfb6	悬浮信息	Pop up message
ghfb7	仅允许与同公会的成员组队。	You can only team up with your teammates.
ghfb8	你的队伍已解散。	Your team has been disbanded.
ghfb9	发出邀请成功。	Invitation sent!
ghfbjyg	当前已经没有挑战精英怪的次数了，每天14:00重置次数。	You have no more attempts to challenge elite monsters. Attempts are reset at 14:00 every day.
gjpingtai	[(25829,30),(25600,1),(25637,1)]	[(25829,30),(25600,1),(25637,1)]
GMBtnTip	#C(#ffffff)GM#n	#C(#ffffff)GM#n
gmshop1	积分不足	Not enough Points
gmshop2	1.感谢您对我们游戏做出的贡献#H2.您可以使用gm积分兑换以下道具#H3.我们会不断更新可以兑换的道具	no need to translate
godessCard01	#C(#FFFFFF)1、活动期间玩家可以消费一定神石点击翻牌按钮进行翻牌#H2、玩家翻牌可以获得翻牌奖励#H3、玩家翻开对应一行或一列的所有卡牌将激活对应一行或一列的宝箱，点击打开将获得宝箱奖励#H4、玩家翻开的女神卡牌中若能组合成对应的女神卡牌组合将获得对应的女神组合奖励#H5、玩家可以通过点击女神组合按钮查看女神卡牌组合和奖励#H6、玩家每轮有20次翻牌次数，每日可重置40轮，重置轮数每日00：00分更新#H7、每轮20次翻牌次数消耗完后，会激活终极翻牌，玩家点击终极翻牌可以消耗神石额外翻一次牌	#C(#FFFFFF)1. During the event, you can consume a specific amount of Balens to draw cards clicking the Draw button. #H2. Draw cards to receive rewards! #H3. Draw each row of cards to activate the corresponding Gem Chests. Then click on the chest to open it. #H4. If you obtain enough Goddess Cards, you will receive the corresponding reward. #H5. Players can check the Combination Goddess and Combination Goddess Reward by clicking the Goddess Match button. #H6. Players can draw 20 times each round and 40 rounds will be reset every day at 00:00. #H7. Players can use balens to have one more change to turn over cards if they used Balens to consume all 20 draws. 
godessCard02	#C(#FFFFFF)消耗{0}神石翻牌一次	#C(#FFFFFF)Consume {0} Balens to draw cards once.
godessCard03	#C(#FFFFFF)是否消耗{0}神石翻牌1次	#C(#FFFFFF)Are you sure you want to consume {0} Balens to draw cards once?
godessCard04	#C(#FFFFFF)消耗{0}神石翻牌五次	#C(#FFFFFF)Consume {0} Balen(s) to draw cards 5 times.
godessCard05	#C(#FFFFFF)是否消耗{0}神石翻牌5次	#C(#FFFFFF)Are you sure you want to consume {0} Balen(s) to draw cards 5 times?
godessCard06	#C(#FFFFFF)已领取	#C(#FFFFFF)Claimed
godessCard07	#C(#FFFFFF)恭喜获得#C(#FFFF00){0}#C(#FFFFFF)+ #C(#FFFF00){1}#C(#FFFFFF)+#C(#FFFF00){2}#H#C(#FFFFFF)女神组合奖励：#H{3}	#C(#FFFFFF)Congratulations! You received #C(#FFFF00){0}#C(#FFFFFF)+ #C(#FFFF00){1}#C(#FFFFFF)+#C(#FFFF00){2}#H#C(#FFFFFF) Goddess Match Reward: #H{3}
godessCard08	#C(#FFFFFF)恭喜获得#C(#FFFF00){0}#C(#FFFFFF)+ #C(#FFFF00){1}#C(#FFFFFF)+#C(#FFFF00){2}#H#C(#FFFFFF)女神组合奖励:#H#C({3}){4}#C(#FFFFFF)+{5} 	#C(#FFFFFF)Congratulations! You received #C(#FFFF00){0}#C(#FFFFFF)+ #C(#FFFF00){1}#C(#FFFFFF)+#C(#FFFF00){2}#H#C(#FFFFFF) Goddess Match Reward: #H#C({3}){4}#C(#FFFFFF)+{5} 
godessCard09	#C(#FFFFFF)跳入下一轮将重置所有卡牌与宝箱，是否继续？	#C(#FFFFFF)All cards and Gem Chests will be reset if you skip to the next round. Continue?
godessCard10	#C(#FFFFFF)消耗{0}神石进行终极翻牌	#C(#FFFFFF)Consume {0} Balens to draw the last cards.
godessCard11	#C(#FFFFFF)是否消耗{0}神石进行1次终极翻牌	#C(#FFFFFF)Are you sure you want to consume {0} Balens to draw the last cards?
godessCard12	#C({0}){1}#C(#FFFFFF)+{2}	#C({0}){1}#C(#FFFFFF)+{2}
godessCard13	本轮剩余翻牌次数不足一次，请点击下一轮	No attempts left to draw cards this round, you must wait until the next one.
godessCard14	本轮所有卡牌已翻开	All cards have been drawn this round.
godessCard15	神石不足	Insufficient Balens.
godessCard16	恭喜获得：#H{0}+{1}	Congratulations! You received: #H{0}+{1}
godessCard17	本轮剩余翻牌次数不足五次	Less than 5 attempts left to draw cards during this round.
godessCard18	本轮剩余未翻开卡牌不足五张	You have less than 5 cards to draw this round.
godessCard19	该宝箱尚未被激活	This Gem Chest hasn’t been activated.
godessCard20	本日可重置轮数已用完	Today you have used all your attempts.
godessCard21	本轮还没有翻牌，无需进行下一轮	You haven’t drawn any card. There is no need to go to the next round.
godessCard22	本轮还有宝箱奖励尚未领取，请先领取宝箱	You have to check some Gem Chests first.
godessCard99	本轮剩余翻牌次数：{0}	Remaining Card Draws: {0}
godwarchest001	剩余购买时间：	Remaining purchase time:
godwarchest002	剩余有效期：	Remaining effective date:
godwarchest003	需当日充值{0}神石	{0} Recharge Balens are required.
godwarchest004	当日已充值{0}神石	You've recharged {0} Balens today.
godwarchest005	当日充值神石不足	Today you haven’t got enough Recharge Balens.
godwarchest006	是否花费#C(#FF0000){0}充值神石#n购买宝箱，每位玩家只能购买一个宝箱	Are you sure you want to spend #C(#FF0000){0} Recharge Balen(s) #n to buy Gem Chests? Each player can buy only one Gem Chest.
gold1	是否花费#C(#FFFF00){0}#n神石或者魔晶开启炼金炉10次？	Are you sure you want to spend #C(#FFFF00){0}#n Balens or Bound Balens to practice Alchemy 10 times?
gold10	炼金次数不足10次，是否花费{0}神石或魔晶开启炼金炉{1}次？	You have less than 10 Alchemy attempts. Do you want to spend {0} Balens or Bound Balens to buy {1} attempt(s)?
gold11	提示：满4人协助可完美收获{0}金币，提前收获则金币收益减半	Note: If four players are assisting you, you can receive {0} Gold. If not, you receive only half of that amount.
gold12	不能协助自己	You can't assist yourself in Alchemy.
gold13	提升贵族等级可增加炼金次数	Increase VIP level to receive more Alchemy attempts.
gold2	本次需要花费<font color='#FFFF00'>{0}</font>神石或者魔晶开启炼金炉	It will cost you <font color='#FFFF00'>{0}</font> Balens or Bound Balens to practice Alchemy.
gold3	召唤好友助你炼金最多可获得<font color='#FFFF00'>{0}</font>金币	Invite friends to assist you practicing Alchemy to receive a maximum of <font color='#FFFF00'>{0}</font> Gold.
gold4	是否花费#C(#FFFF00){0}#n神石或者魔晶开启炼金炉？	Are you sure you want to spend #C(#FFFF00){0}#n Balens or Bound Balens to practice Alchemy?
gold5	是否提前收获并且获得一半的收益？	Are you sure you want to finish practicing Alchemy earlier and receive half of the rewards?
gold6	今日炼金次数已用尽，你还可以协助其他玩家炼金	You have no more Alchemy attempts today, but you can assist others.
gold7	今日炼金次数已用尽。	You have no more Alchemy attempts today.
gold8	招募炼金术士	Ask for help
gold9	冷却时间：{0}	CD: {0}
GongGaoTip	#C(#ffffff)公告#n	#C(#ffffff)Announcement#n
gonghui	公会:	Guild:
gongji	攻击	Attack
goumai	购买	Buy
groupChatWarn	#C(#ff0000)您还没有队伍，无法使用队伍频道	#C(#ff0000)You haven't joined a Team. Can't chat in Team Channel.
groupWarn	#C(#ff0000)您当前没有队伍#n	#C(#ff0000)You haven't joined a Team yet. #n
guitian	跪舔	Flatter
guoshiLB	礼包已过时	The pack has expired.
gz1	<font color='#FFFF00'>商城出售贵族礼包</font>	<font color='#FFFF00'>VIP Packs available in the VIP section of the Shop.</font>
gz10	<font color='#FFFF00'>每日购买副本次数</font>	<font color='#FFFF00'>Daily Dungeon attempts</font>
gz11	<font color='#FFFF00'>每日幸运转盘次数</font>	<font color='#FFFF00'>Daily Wheel of Fortune spins</font>
gz12	<font color='#FFFF00'>开放坐骑高级培养</font>	<font color='#FFFF00'>Advanced Training available in Mount Training.</font>
gz13	<font color='#FFFF00'>一键10次炼金</font>	<font color='#FFFF00'>”Pratice 10 Times” available in Alchemy</font>
gz14	<font color='#FFFF00'>英雄祭坛普通召唤8折</font>	<font color='#FFFF00'>20% discount for summoning in Normal Altar.</font>
gz15	<font color='#FFFF00'>英雄祭坛高级召唤8折</font>	<font color='#FFFF00'>20% discount for summoning in Advanced Altar.</font>
gz16	<font color='#FFFF00'>宝石一键合成</font>	<font color='#FFFF00'>”Synthesize All” available in Gem panel.</font>
gz17	<font color='#FFFF00'>开放高级占卜</font>	<font color='#FFFF00'>”Advanced Astro” available.</font>
gz18	<font color='#FFFF00'>背包格数</font>	<font color='#FFFF00'>Additional Cells in your Bag.</font>
gz19	<font color='#FFFF00'>英灵神殿购买次数</font>	<font color=’#FFFF00’>Buy extra Hall of Heroes challenge attemps. </font>
gz2	<font color='#FFFF00'>每日购买体力次数</font>	<font color='#FFFF00'>Daily Stamina Purchase</font>
gz20	<font color='#FFFF00'>英灵神殿可扫荡</font>	<font color='#FFFF00'>Blitz available in Hall of Heroes.</font>
gz21	<font color='#FFFF00'>购买情缘副本次数</font>	<font color='#FFFF00'>Purchase Couplet Dungeon attempts.</font>
gz22	<font color='#FFFF00'>购买公会副本行动力</font>	<font color='#FFFF00'>Purchase Guild Dungeon attempts.</font>
gz23	<font color='#FFFF00'>心魔炼狱购买复活次数</font>	<font color='#FFFF00'>Purchase Hero Trial revivals.</font>
gz24	<font color='#FFFF00'>金币副本直接获得收益</font>	<font color='#FFFF00'>Directly receive Golden Dungeon rewards.</font>
gz25	<font color='#FFFF00'>魔域探秘可抓战俘数量</font>	<font color=’#FFFF00’>You can capture prisoners in Mystery Journey.</font>
gz3	<font color='#FFFF00'>装备强化免CD</font>	<font color=’#FFFF00’>Cancel equipment Enchantment CD.</font>
gz4	<font color='#FFFF00'>副本扫荡免CD</font>	<font color=’#FFFF00’>Cancel Dungeon Blitz CD.</font>
gz5	<font color='#FFFF00'>每日炼金次数</font>	<font color=’#FFFF00’>Extra daily Alchemy</font>
gz6	<font color='#FFFF00'>炼金完美收获</font>	<font color='#FFFF00'>”Advanced Alchemy” available.</font>
gz7	<font color='#FFFF00'>日常任务立即完成</font>	<font color='#FFFF00'>”Complete Now” function is now available in Daily Quests.</font>
gz8	<font color='#FFFF00'>日常任务免费完成</font>	<font color='#FFFF00'>”Complete Now for Free” function is now available in Daily Quests.</font>
gz9	<font color='#FFFF00'>商城宝石8折优惠</font>	<font color='#FFFF00'>20% discount for buying Gems in the Shop.</font>
hallows001	圣器附魔石：{0}个	Enhancing Crystal(s): {0}
hallows002	附魔等级：{0}	Enhancement level: {0}
hallows003	当前附魔加成{0}%	Current Enhancement Boost: {0}%
hallows004	已达顶级	Max. level reached.
hallows005	没有足够的圣器附魔石，无法附魔	You cannot enhance because you don't have enough Enhancing Crystals.
hallows006	请先选择要附魔的圣器	Please select the Holy Weapon you want to enhance.
hallows007	{0}个	{0}
hallows008	未放置圣器部件	You haven’t selected a Holy Weapon.
hallows009	请选择被继承的圣器部件！	Choose the Holy Weapon that you want to inherite.
hallows010	请选择继承的圣器部件！	Select the target Holy Weapon.
hallows011	请先选择被继承的圣器部件	First you must choose the Holy Weapon you want to inherite.
hallows012	已放置圣器部件	Successful!
hallows013	没有足够的神石，无法洗练。	You can't refine because you don't have enough Balens.
hallows014	没有足够的洗练石，无法洗练。	You can't refine because you don't have enough Refinement Crystals.
hallows015	新属性中有高级属性，确定要继续洗练吗？	The new stats are pretty good. Are you sure you want to continue refining?
hallows016	原属性中有高级属性，确定要保留新属性吗？	The old stats are better. Do you want to swap back to them?
hallows017	等级不足	Insufficient level.
hallows018	没有足够的神石，无法锁定	You can't lock because you don't have enough Balens.
hallows019	没有足够的洗练锁，无法锁定	You can't lock because you don't have enough Refinement Locks.
hallows020	{0}个洗练石	{0} Refinement Crystal
hallows021	{0}个洗练石，{1}个圣器附魔石	{0} Refinement Crystal, {1} Enhancing Crystal.
hallows022	下级附魔加成{0}%	{0}% enhancement boost for next level.
hallows023	洗练锁不足	Not enough Refinement Locks!
hallows024	无法继承，请先卸除低品质圣器上的雕纹	Cannot inherit. Please remove the Glyphs from the low-quality Holy Weapon.
hallows025	无法出售，请先卸除圣器上的雕纹	Cannot be sold. Please remove the Glyphs from the Holy Weapon.
hallowsTips	圣器	Holy Weapon
hang001	城主轮值	Guild Battle
hang002	荣耀之战	War of Glory
hang003	魔兽入侵	Invaders!
hang004	混乱时空	Space-time Chaos
hang005	{0}活动已开启，是否自动传送到该场景	The {0} event is unlocked. Do you want to join?
hang006	同意({0})	Yes ({0})
hang007	购买至尊周卡特权后，可使用该功能！	You can use this function only if you have the Supreme One Week Covenant!
hang008	该自动特权已开启，若需要手动操作，可先关闭自动特权	The Auto VIP is active. If you want to choose manually you should turn it off.
haoyouTips	好友（O）	Friends (O)
hdsmbx001	当前宝箱未领取奖励	You haven’t claimed the Chest rewards yet.
herojuexing01	觉醒玩法在主角160级开启	Awakening will be unlocked at Lvl 160.
herojuexing02	该英雄未满足觉醒条件。	This Hero cannot use Awakening.
herojuexing03	该英雄暂未开放觉醒。	Awakening is not available for this Hero.
herojuexing04	该英雄未满足觉醒条件。	This Hero cannot use Awakening.
herojuexing05	需要主角达到{0}级	Your Character needs Lvl {0}.
herojuexing06	需要英雄达到{0}级	Hero Lvl {0} is required.
herojuexing07	需要英雄达到{0}星	{0} Star Hero is required.
herojuexing08	#U#C(#FF0000)#A(#K(dlg,YXSHENGJI))[需要主角达到{0}级]#n#n#n	#U#C(#FF0000)#A(#K(dlg,YXSHENGJI))[Character Lvl {0} is required#n#n#n
herojuexing09	#U#C(#00FF00)#A(#K(dlg,YXSHENGJI))[需要主角达到{0}级]#n#n#n	#U#C(#00FF00)#A(#K(dlg,YXSHENGJI))[Character Lvl {0} is required]#n#n#n
herojuexing10	英雄觉醒道具不足！	Insufficient Hero Awakening items.
herojuexing11	#U#C(#00FF00)#A(#K(dlg,OPEN_YXSD))[前往获取]#n#n#n	#U#C(#00FF00)#A(#K(dlg,OPEN_YXSD))[Claim]#n#n#n
herostore001	使用1个之后可激活加成属性：	Use 1 item of this kind to boost the stat by:
herostore002	当前档次可使用：	Current level can use:
herostore003	进化到<font color='#FFFF37'>{2}星</font><font color='{0}'>{1}</font>可使用：	Upgrade to <font color='#FFFF37’>{2} Stars</font><font color=’{0}’>{1}</font> to use:
herostore004	{0}当前使用个数：{1}/{2}	Used {0}: {1}/{2}
herostore005	当前拥有道具数量：{0}	Current item amount: {0}
herostore006	总属性额外加成：	Total extra stat boost:
herostore007	{0}	{0}
herostore008	已到达上限	Limit reached!
herostore009	进化到{0}可使用：	Upgrade to {0} to use:
herostore010	英雄淬炼石不足！	Not enough Hero Advance Stones!
herostore011	当前选择使用个数为0，无法使用！	You have no available items. Cannot use!
herothitem	2.56763E+74	2.57E+74
herothitem01	28225,28226,28227,28228,28229,28230,28231,28232	no need to translate
hhlz001	可抽奖次数：{0}次	no need to translate
hhlz002	拥有蓝钻水晶：{0}个	no need to translate
hhlz003	开通或续费豪华蓝钻可获得抽奖机会，抽奖可获得蓝钻水晶	no need to translate
hhlz004	消耗12个蓝钻水晶兑换天马流星，是否确认兑换？	no need to translate
hhlz005	蓝钻水晶不足，进行抽奖可额外获得蓝钻水晶	no need to translate
hhlz006	消耗20个蓝钻水晶兑换圣光之舞，是否确认兑换？	no need to translate
hhlz007	不在活动时间内	The event is over.
hhlz008	等级不足	Insufficient level.
hj100	每次消耗神石：{0}	Consumes {0} Balens
hj101	今天剩余次数：{0}	Today's remaining attempts: {0}
hj102	活动已经结束	The event is over.
hj103	您正在切高级火鸡，可不能三心二意哟	no need to translate
hj104	没有次数了	No attempts left.
hj105	神石不足	Insufficient Balens.
hj106	已在线{0}分钟	You've stayed online {0} minutes.
hj107	倒计时：{0}	Countdown: {0}
hjbx1	1、活动期间，每日充值达到一定额度可在精彩活动中领取相应数量的黄金宝箱钥匙。#H2、使用黄金宝箱钥匙可开启黄金宝箱，获得珍稀道具。#H3、黄金宝箱和需要消耗的黄金钥匙数量都会在每日00:00重置。#H4、开完每日的25个黄金宝箱必得至尊奖励中的超珍稀道具。#H5、没使用的黄金宝箱钥匙可用于下次活动开启时使用。	1. During the event, recharge a specific amount to obtain the corresponding amount of Gold Chest Keys in Special Activities. #H2. Gold Chest Keys could be used to open Gold Chests and obtain rare items. #H3. The amount of Gold Chests and keys will be reset at midnight every day. #H4. After opening 25 Gold Chest, you will be rewarded with a very rare item. #H5. The unused Gold Chest Keys is availble in the next event.
hjbx2	本次猜物需消耗{0}个	{0} is needed in this Guessing.
hjbx3	{0}个	{0}
hjbx4	本次猜箱消耗{0}把黄金宝箱钥匙，是否开启。	You need {0} Gold Chest Keys.
hjbx5	黄金宝箱钥匙不足	Not enough Gold Chest Keys.
hjbx6	活动已结束，请等待下次开启	The event is over, you must wait until the next one.
hlsktips01	您还不在公会中，无法参与该活动	You can't take part in the event until you join a Guild.
hlsktips02	冷却中，无法进行操作！	It's on CD, you can't attack now!
hlsktips03	全公会成员伤害加成20%	The damage dealt by all members of the Guild increases by 20%.
hlsktips04	击败第九层的时空守护者即可为全公会成员激活Buff	Defeat the Space-time Guardian on the 9th floor to activate a buff for all the Guild members.
hlsktips05	第{0}层出现了“{1}”	{1} appears on Floor {0}.
hlsktips06	活动暂时还未开启！	The event hasn't started yet!
hlsktips07	5分钟后混乱大军袭来	Chaos Force will arrive in 5 mins.
hlsktips08	1、等级达到32级且加入公会，活动开始前公会排名前100的公会，可参与混乱时空玩法。#H2、每天准点开启对应的混乱时空玩法。#H3、混乱时空中有9层，每一层中有三个传送门。#H4、每层的传送门都会将你传送到不同的地方：#H a.传送到下一层#H b.传送到上一层#H c.传送到下两层#H5、混乱时空中不同的玩法会在不同的层中出现不同的事件。	1. You can enter the Space-time Chaos once you reach Lvl 32 and join a Guild that ranks among the top 100. #H2. Space-time Chaos opens every day. #H3. There are 9 floors in Space-time Chaos and 3 Portals on each floor. #H4. These Portals can take you to different places: #H a. to the next floor #H b. to the upper floor #H c. to the next 2 floors #H5. In each Space-time Chaos floor you’ll find different events.
hlsktips09	1、等级达到32级且加入公会的玩家，可参与混乱时空玩法。#H2、混乱时空中有9层，每一层中有三个传送门。#H3、玩法开启后，玩家可使用5分钟时间寻找底层的“时空守护者”。#H4、击杀混乱时空中第九层的“时空守护者”，可为全帮派成员激活20%的伤害加成buff。#H5、玩法开启后的5分钟后，混乱大军将随机出现在时空中的任意一层。	1. You can play Space-time Chaos once you reach Lvl 32 and join a Guild. #H2. There are 9 floors in Space-time Chaos and 3 Portals on each floor. #H3. You can spend 5 mins. finding the Space-time Guardian on the ground floor. #H4. If you defeat the 9th floor Space-time Guardian all Guild members will receive a 20% Buff. #H5. 5 mins. after you enter the game, Chaos Force will appear randomly on any floor.
hlsktips10	1、等级达到32级且加入公会的玩家，可参与混乱时空玩法。#H2、混乱时空中每一层中有三个传送门。#H3、玩法开启后，首层将出现混乱大军。#H4、5分钟内击败当前层数的怪物幻影，即可在当前时空中刷出新的怪物，击杀怪物可获得更多积分。#H5、5分钟内未击败当前层数的怪物，系统将清空当前层数的怪物在下一层刷新事件。	1. You can play Space-time Chaos once you reach Lvl 32 and join a Guild. #H2. There are 3 Portals on every floor. #H3. On the first floor you may encounter Chaos Force. #H4. Monsters in the Space-time can be refreshed when you defeat the Monster Phantoms of the current floor in 5 min. You can receive more Points defeating Monsters. #H5. If you are not able to defeat the Monsters of the floor in 5 min., the system will clear the Monsters and refresh the next floor event.
hlsktips11	混乱时空积分+{0}	Space-time Chaos Points +{0}
hlsktips12	#H6、玩家需要前往事件发生的层，击败出现的混乱怪物或者怪物幻影，积累公会积分。#H7、活动结束后玩家将根据积分和排名情况获得对应的奖励。#H8、若玩家个人或公会伤害数值为0，是没有伤害排名奖励的。#H9、可在玩法场景中查看对应的详细说明。	#H6. Enter the event floor to defeat Monsters and gather Guild Points. #H7. You will receive the corresponding rewards according to your Points and ranking. #H8. You won’t receive any Ranking rewards if you don’t deal Personal damage or Guild damage. #H9. You can check the details in the event.
hlsktips13	#H6、玩家需前往事件发生的层，击败出现的妖怪或者boss，积累公会积分。#H7、活动结束后玩家将根据积分和排名情况获得对应的奖励。#H8、若玩家个人或公会伤害数值为0，是没有伤害排名奖励的。	#H6. Enter the event floor to defeat Monsters and gather Guild Points. #H7. You will receive the corresponding rewards according to your Points and ranking. #H8. You won’t receive any Ranking rewards if you don’t deal Personal damage or Guild damage.
hlsktips14	#H6、玩家需前往事件发生的层，击败出现的妖怪或者boss，积累公会积分。#H7、活动结束后玩家将根据积分和排名情况获得对应的奖励。#H8、若玩家个人或公会伤害数值为0，是没有伤害排名奖励的。	#H6. Enter the event floor to defeat Monsters and gather Guild Points. #H7. You will receive the corresponding rewards according to your Points and ranking. #H8. You won’t receive any Ranking rewards if you don’t deal Personal damage or Guild damage.
hlsktips15	{0}号传送门	Portal {0}
hlsktips16	公会未有人进入	No players have joined the Guild.
holiday01	只可使用充值神石购买	You can only buy with Recharge Balens.
holiday02	可使用充值神石或奖励神石购买	Buy with Recharge or Reward Balens.
holiday03	距离跨年后自动换礼剩余：{0}	Auto Rewards Exchange after New Year Countdown remaining time: {0}
holiday04	剩余购买数量:{0}	Purchases left: {0}
holiday05	达到{0}分可领取	Reach {0} points to receive
holiday06	已领取	Claimed
holiday07	在线{0}分钟	Stay online for {0} minutes.
holiday08	贵族{0}可额外获得	VIP players {0} can get extra
holiday09	今日已在线：{0}分钟	Online: {0} Minutes
holiday10	累计充值{0}神石获得{1}次抽奖次数	Recharge a total of {0} Balens to get {1} Golden Wheel attempts.
holiday11	当前剩余开启宝箱次数：{0}	Chances to open Gem Chest: {0}
holiday12	剩余时间：{0}	Remaining time: {0}
holiday13	充值开宝箱活动说明：#H1.每日累计购买一定数量神石可领取开启宝箱次数。#H2.未领取的奖励次数将在次日清除。	Gem Chest information: #H1. You have to recharge a specific amount of Balens to open Gem Chests. #H2. The unclaimed rewards will be cleared next day.
holiday14	今日剩余祈福次数：{0}	Prayers left: {0}
holiday15	祈福需要消耗{0}金币及1次祈福次数	Praying consumes Pray × 1 and {0} Gold.
holiday16	是否消耗{0}金币进行祈福？	Do you want to consume {0} Gold to Pray?
holiday17	金币祈福礼活动说明：#H1.每日系统将免费赠送2次祈福次数#H2.完成每日必做最高奖励可获得3次祈福次数#H3.每日在线领取迎新送好礼奖励可获得祈福次数#H4.每次祈福需要消耗1次祈福次数及金币，祈福次数将在次日重置。	Gold Prayer Pack information: #H1. You’ll automatically obtain Pray ×2 every day for free. #H2. Finish Devotion tasks to get Pray ×3. #H3. Claim Welcome Gift online to get Pray. #H4. Praying needs you to consume Pray ×1 and Gold. Praying resets every day.
holiday19	#C(#1A96D6)#C(#00FF00){0}#n抽中了#C(#00FF00){1}#n+#C(#00FF00){2}#n,真是新年新气象。	#C(#1A96D6)#C(#00FF00){0}#n received #C(#00FF00){1}#n+#C(#00FF00){2}#n. What a lucky dog!
holiday20	没有次数	You must Pray first.
holiday21	前往	Go
holiday22	祈福次数+3	Pray ×3
holiday23	没有购买数量	No purchase amount
hqzq001	1.玩家每日充值100神石可以获得奖励#H2.可领取的奖励与活动期间累计完成首充的天数有关，无需连续充值	1. Players can get rewards if they recharge 100 Balens in a day. #H2. Available rewards are related to the amount of daily first recharge times. It doesn’t matter whether you recharge consecutively or not.
hqzq002	活动期间完成首充{0}天：	Finish First Recharge for {0} day(s) During the Event.
