heroNumber	name	career	grade	star	heroType	colorCode	returnItems	needLevel	needReputation	needMoney	needItems	recuritRes	coolCD	color	floorShadow	gradeOrder	nextGradeHeroNumber	maxLevel	upgradeNeedLv	upgradeNeedItem	upgradeNeedHeroNumber	NpcType	canFollow	temple_level	CompareHero	bigIcon	smallIcon	normal_skill	learn_activeSkill	learn_passiveSkill	learned_skill	nolearned_skill	lightskill	attack_Plus	attack_Coe	maxhp_Plus	maxhp_Coe	speedGrow	attackPassive	hpPassive	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce	heroDesc	heroTalk	upgradeNeedRoleLv	canAwaken	needHeroActID	awakenRoleLevel	awakenHeroLevel	awakenHeroStar	awakenNeedItem	awakenHeroSkill	awakenHeroNumber	orAwaken	CuiLianShiCnt	zhuanshengLevel	canZhuanSheng	zhuanshengNeedLevel	zhuanshengHeroNumber	zhuanshengNeedRoleZSLv	zhuanshengNeedItem	zhuanshengNeedRes	zhuanshengNeedMoney	maxhp_z	attackspeed_z	anger_z	attack_p_z	defense_p_z	attack_m_z	defense_m_z	crit_z	critpress_z	antibroken_z	notbroken_z	parry_z	puncture_z	damageupgrade_z	damagereduce_z
45	血族剑姬	2	17	3	9	5	25986,3	60	0	0			0	橙色	icoBg5	5	0	90	90	[(25678,0)]	0	9045	0	0	0	5001	5001	("HeroNormalSkill",(257,2))	(207,2)	[(502,1), (504, 1)]	(257,2):(207,2):(502,2):(504,1)			115500	10	52500	30	慢	1000	0	1500000	30200	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	血之秘剑，横扫千军		0	0	0	0	0	0					60	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	战争之王	1	19	4	10	1		80	300000	1000000			172800	白色	0	1	47	80	70	[(25679,1)]	0	9046	0	10	47	5002	5002	("HeroNormalSkill",(263,1))	(9999,1)	[]	(263,1)	(213,1):(501,2):(506,1)	(213,1)	43200	10	72000	30	慢	0	0	1500000	29900	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	战场之魂，顶天立地		0	0	0	0	0	0					66	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	战争之王	1	20	4	10	2		80	0	0			0	绿色	icoBg1	2	48	90	80	[(25679,5)]	0	9047	0	0	48	5002	5002	("HeroNormalSkill",(263,1))	(213,1)	[]	(263,1):(213,1)	(501,2):(506,1)	(501,2)	44000	10	74000	30	慢	0	0	1500000	29900	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	战场之魂，顶天立地		0	0	0	0	0	0					72	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	战争之王	1	21	4	10	3		80	0	0			0	蓝色	icoBg2	3	49	100	90	[(25679,25)]	0	9048	0	0	49	5002	5002	("HeroNormalSkill",(263,1))	(213,1)	[(501,1)]	(263,1):(213,1):(501,2)	(506,1)	(263,2):(213,2)	46200	10	77000	30	慢	0	5000	1500000	29900	0	500000	0	500000	0	5000000	0	0	0	20000000	0	0	0	战场之魂，顶天立地		0	0	0	0	0	0					78	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	战争之王	1	22	4	10	4	25987,1	80	0	0			0	紫色	icoBg3	4	50	110	110	[(25679,50)]	49	9049	0	0	50	5002	5002	("HeroNormalSkill",(263,2))	(213,2)	[(501,1)]	(263,2):(213,2):(501,2)	(506,1)	(506,1)	48000	10	80000	30	慢	0	5000	1500000	29900	0	500000	0	500000	0	5000000	0	0	0	20000000	0	0	0	战场之魂，顶天立地		0	0	0	0	0	0					84	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	战争之王	1	23	4	10	5	25987,3	80	0	0			0	橙色	icoBg5	5	82	110	110	[(25679,50),(25713,50)]	49	9050	0	0	82	5002	5002	("HeroNormalSkill",(263,2))	(213,2)	[(501,1), (506, 1)]	(263,2):(213,2):(501,2):(506,1)	(506,2)	(506,2)	66000	10	110000	30	慢	0	5000	1500000	29900	0	500000	0	500000	0	5000000	0	0	0	20000000	0	0	0	战场之魂，顶天立地		0	0	0	0	0	0					90	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	幻术妖姬	3	19	4	11	1		80	400000	1000000			172800	白色	0	1	52	80	70	[(25679,1)]	0	9051	0	11	52	5007	5007	("HeroNormalSkill",(264,1))	(9999,1)	[]	(264,1)	(214,1):(503,2):(505,1)	(214,1)	61200	10	54000	30	慢	0	0	1500000	30300	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	高强幻术，治愈全军		0	0	0	0	0	0					66	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	幻术妖姬	3	20	4	11	2		80	0	0			0	绿色	icoBg1	2	53	90	80	[(25679,5)]	0	9052	0	0	53	5007	5007	("HeroNormalSkill",(264,1))	(214,1)	[]	(264,1):(214,1)	(503,2):(505,1)	(503,2)	62900	10	55500	30	慢	0	0	1500000	30300	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	高强幻术，治愈全军		0	0	0	0	0	0					72	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	幻术妖姬	3	21	4	11	3		80	0	0			0	蓝色	icoBg2	3	54	100	90	[(25679,25)]	0	9053	0	0	54	5007	5007	("HeroNormalSkill",(264,1))	(214,1)	[(503,1)]	(264,1):(214,1):(503,2)	(505,1)	(264,2):(214,2)	65450	10	57750	30	慢	2000	0	1500000	30300	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	高强幻术，治愈全军		0	0	0	0	0	0					78	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	幻术妖姬	3	22	4	11	4	25987,1	80	0	0			0	紫色	icoBg3	4	55	110	110	[(25679,50)]	54	9054	0	0	55	5007	5007	("HeroNormalSkill",(264,2))	(214,2)	[(503,1)]	(264,2):(214,2):(503,2)	(505,1)	(505,1)	68000	10	60000	30	慢	2000	0	1500000	30300	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	高强幻术，治愈全军		0	0	0	0	0	0					84	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	幻术妖姬	3	23	4	11	5	25987,3	80	0	0			0	橙色	icoBg5	5	83	110	110	[(25679,50),(25714,50)]	54	9055	0	0	83	5007	5007	("HeroNormalSkill",(264,2))	(214,2)	[(503,1), (505, 1)]	(264,2):(214,2):(503,2):(505,1)	(505,2)	(505,2)	93500	10	82500	30	慢	2000	0	1500000	30300	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	高强幻术，治愈全军		0	0	0	0	0	0					90	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	众神之王	2	19	4	12	1		80	0	0			0	白色	0	1	57	80	70	[(25679,1)]	0	9056	0	0	57	5008	5008	("HeroNormalSkill",(261,1))	(9999,1)	[]	(261,1)	(211,1):(502,2):(504,1)	(211,1)	79200	10	36000	30	中等	0	0	1500000	50100	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	天地之力，神通广大		0	0	0	0	0	0					66	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	众神之王	2	20	4	12	2		80	0	0			0	绿色	icoBg1	2	58	90	80	[(25679,5)]	0	9057	0	0	58	5008	5008	("HeroNormalSkill",(261,1))	(211,1)	[]	(261,1):(211,1)	(502,2):(504,1)	(502,2)	81400	10	37000	30	中等	0	0	1500000	50100	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	天地之力，神通广大		0	0	0	0	0	0					72	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	众神之王	2	21	4	12	3		80	0	0			0	蓝色	icoBg2	3	59	100	90	[(25679,25)]	0	9058	0	0	59	5008	5008	("HeroNormalSkill",(261,1))	(211,1)	[(502,1)]	(261,1):(211,1):(502,2)	(504,1)	(261,2):(211,2)	84700	10	38500	30	中等	0	0	1500000	50100	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	天地之力，神通广大		0	0	0	0	0	0					78	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	众神之王	2	22	4	12	4	25987,1	80	600000	0	26124,50	small26124	0	紫色	icoBg3	4	60	110	110	[(25679,50)]	59	9059	0	12	60	5008	5008	("HeroNormalSkill",(261,2))	(211,2)	[(502,1)]	(261,2):(211,2):(502,2)	(504,1)	(504,1)	88000	10	40000	30	中等	0	0	1500000	50100	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	天地之力，神通广大		0	0	0	0	0	0					84	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	众神之王	2	23	4	12	5	25987,3	80	0	0			0	橙色	icoBg5	5	84	110	110	[(25679,50),(25715,50)]	59	9060	0	0	84	5008	5008	("HeroNormalSkill",(261,2))	(211,2)	[(502,1), (504, 1)]	(261,2):(211,2):(502,2):(504,1)	(504,2)	(504,2)	121000	10	55000	30	中等	1000	0	1500000	50100	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	天地之力，神通广大		0	0	0	0	0	0					90	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	大法师	2	19	4	13	1		80	0	0			0	白色	0	1	62	80	70	[(25679,1)]	0	9061	0	0	62	5003	5003	("HeroNormalSkill",(262,1))	(9999,1)	[]	(262,1)	(212,1):(502,2):(504,1)	(212,1)	79200	10	36000	30	中等	0	0	1500000	49800	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	稀世法师，一手遮天		0	0	0	0	0	0					66	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	大法师	2	20	4	13	2		80	0	0			0	绿色	icoBg1	2	63	90	80	[(25679,5)]	0	9062	0	0	63	5003	5003	("HeroNormalSkill",(262,1))	(212,1)	[]	(262,1):(212,1)	(502,2):(504,1)	(502,2)	81400	10	37000	30	中等	0	0	1500000	49800	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	稀世法师，一手遮天		0	0	0	0	0	0					72	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	大法师	2	21	4	13	3		80	0	0			0	蓝色	icoBg2	3	64	100	90	[(25679,25)]	0	9063	0	0	64	5003	5003	("HeroNormalSkill",(262,1))	(212,1)	[(502,1)]	(262,1):(212,1):(502,2)	(504,1)	(262,2):(212,2)	84700	10	38500	30	中等	0	0	1500000	49800	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	稀世法师，一手遮天		0	0	0	0	0	0					78	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	大法师	2	22	4	13	4	25987,1	80	800000	0	26125,50	small26125	0	紫色	icoBg3	4	65	110	110	[(25679,50)]	64	9064	0	13	65	5003	5003	("HeroNormalSkill",(262,2))	(212,2)	[(502,1)]	(262,2):(212,2):(502,2)	(504,1)	(504,1)	88000	10	40000	30	中等	0	0	1500000	49800	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	稀世法师，一手遮天		0	0	0	0	0	0					84	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	大法师	2	23	4	13	5	25987,3	80	0	0			0	橙色	icoBg5	5	85	110	110	[(25679,50),(25716,50)]	64	9065	0	0	85	5003	5003	("HeroNormalSkill",(262,2))	(212,2)	[(502,1), (504, 1)]	(262,2):(212,2):(502,2):(504,1)	(504,2)	(504,2)	121000	10	55000	30	中等	1000	0	1500000	49800	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	稀世法师，一手遮天		0	0	0	0	0	0					90	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	地狱斧王	1	25	5	14	1		100	1000000	1000000			172800	白色	0	1	67	100	90	[(25680,1)]	0	9066	0	17	67	5009	5009	("HeroNormalSkill",(266,1))	(9999,1)	[]	(266,1)	(216,1):(501,2):(506,1)	(216,1)	67200	10	82000	30	快	0	0	1500000	70300	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	炼狱领主，鬼哭狼嚎		0	0	0	0	0	0					104	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	地狱斧王	1	26	5	14	2		100	0	0			0	绿色	icoBg1	2	68	110	100	[(25680,5)]	0	9067	0	0	68	5009	5009	("HeroNormalSkill",(266,1))	(216,1)	[]	(266,1):(216,1)	(501,2):(506,1)	(501,2)	68400	10	84000	30	快	0	0	1500000	70300	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	炼狱领主，鬼哭狼嚎		0	0	0	0	0	0					112	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	地狱斧王	1	27	5	14	3		100	0	0			0	蓝色	icoBg2	3	69	120	110	[(25680,25)]	0	9068	0	0	69	5009	5009	("HeroNormalSkill",(266,1))	(216,1)	[(501,1)]	(266,1):(216,1):(501,2)	(506,1)	(266,2):(216,2)	70200	10	87000	30	快	0	5000	1500000	70300	0	500000	0	500000	0	5000000	0	0	0	20000000	0	0	0	炼狱领主，鬼哭狼嚎		0	0	0	0	0	0					120	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	地狱斧王	1	28	5	14	4	25988,1	100	0	0			0	紫色	icoBg3	4	70	130	130	[(25680,50)]	69	9069	0	0	70	5009	5009	("HeroNormalSkill",(266,2))	(216,2)	[(501,1)]	(266,2):(216,2):(501,2)	(506,1)	(506,1)	72000	10	90000	30	快	0	5000	1500000	70300	0	500000	0	500000	0	5000000	0	0	0	20000000	0	0	0	炼狱领主，鬼哭狼嚎		0	0	0	0	0	0					128	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	地狱斧王	1	29	5	14	5	25988,3	100	0	0			0	橙色	icoBg5	5	86	130	130	[(25680,50),(25717,50)]	69	9070	0	0	86	5009	5009	("HeroNormalSkill",(266,2))	(216,2)	[(501,1), (506, 1)]	(266,2):(216,2):(501,2):(506,1)	(506,2)	(506,2)	75000	10	125000	30	快	0	5000	1500000	70300	0	500000	0	500000	0	5000000	0	0	0	20000000	0	0	0	炼狱领主，鬼哭狼嚎		0	0	0	0	0	0					136	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	寒冰女巫	3	25	5	15	1		100	1300000	1000000			172800	白色	0	1	72	100	90	[(25680,1)]	0	9071	0	18	72	5010	5010	("HeroNormalSkill",(267,1))	(9999,1)	[]	(267,1)	(217,1):(503,2):(505,1)	(217,1)	69700	10	61500	30	快	0	0	1500000	71000	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	冰山美人，倾国倾城		0	1	4	160	190	8	[(28226,100)]	(401,2)	308		104	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	寒冰女巫	3	26	5	15	2		100	0	0			0	绿色	icoBg1	2	73	110	100	[(25680,5)]	0	9072	0	0	73	5010	5010	("HeroNormalSkill",(267,1))	(217,1)	[]	(267,1):(217,1)	(503,2):(505,1)	(503,2)	71400	10	63000	30	快	0	0	1500000	71000	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	冰山美人，倾国倾城		0	1	4	160	190	8	[(28226,100)]	(401,2)	308		112	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	寒冰女巫	3	27	5	15	3		100	0	0			0	蓝色	icoBg2	3	74	120	110	[(25680,25)]	0	9073	0	0	74	5010	5010	("HeroNormalSkill",(267,1))	(217,1)	[(503,1)]	(267,1):(217,1):(503,2)	(505,1)	(267,2):(217,2)	73950	10	65250	30	快	2000	0	1500000	71000	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	冰山美人，倾国倾城		0	1	4	160	190	8	[(28226,100)]	(401,2)	308		120	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	寒冰女巫	3	28	5	15	4	25988,1	100	0	0			0	紫色	icoBg3	4	75	130	130	[(25680,50)]	74	9074	0	0	75	5010	5010	("HeroNormalSkill",(267,2))	(217,2)	[(503,1)]	(267,2):(217,2):(503,2)	(505,1)	(505,1)	76500	10	67500	30	快	2000	0	1500000	71000	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	冰山美人，倾国倾城		0	1	4	160	190	8	[(28226,100)]	(401,2)	308		128	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	寒冰女巫	3	29	5	15	5	25988,3	100	0	0			0	橙色	icoBg5	5	87	130	130	[(25680,50),(25718,50)]	74	9075	0	0	87	5010	5010	("HeroNormalSkill",(267,2))	(217,2)	[(503,1), (505, 1)]	(267,2):(217,2):(503,2):(505,1)	(505,2)	(505,2)	106250	10	93750	30	快	2000	0	1500000	71000	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	冰山美人，倾国倾城		0	1	4	160	190	8	[(28226,100)]	(401,2)	308		136	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	烈焰女神	2	25	5	16	1		100	0	0			0	白色	0	1	77	100	90	[(25680,1)]	0	9076	0	0	77	5011	5011	("HeroNormalSkill",(265,1))	(9999,1)	[]	(265,1)	(215,1):(502,2):(504,1)	(215,1)	90200	10	41000	30	快	0	0	1500000	70200	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	圣勇战士，浴火重生		0	1	2	160	190	8	[(28225,100)]	(400,2)	303		104	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	烈焰女神	2	26	5	16	2		100	0	0			0	绿色	icoBg1	2	78	110	100	[(25680,5)]	0	9077	0	0	78	5011	5011	("HeroNormalSkill",(265,1))	(215,1)	[]	(265,1):(215,1)	(502,2):(504,1)	(502,2)	92400	10	42000	30	快	0	0	1500000	70200	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	圣勇战士，浴火重生		0	1	2	160	190	8	[(28225,100)]	(400,2)	303		112	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	烈焰女神	2	27	5	16	3		100	0	0			0	蓝色	icoBg2	3	79	120	110	[(25680,25)]	0	9078	0	0	79	5011	5011	("HeroNormalSkill",(265,1))	(215,1)	[(502,1)]	(265,1):(215,1):(502,2)	(504,1)	(265,2):(215,2)	95700	10	43500	30	快	0	0	1500000	70200	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	圣勇战士，浴火重生		0	1	2	160	190	8	[(28225,100)]	(400,2)	303		120	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	烈焰女神	2	28	5	16	4	25988,1	100	1600000	0	26126,50	small26126	0	紫色	icoBg3	4	80	130	130	[(25680,50)]	79	9079	0	19	80	5011	5011	("HeroNormalSkill",(265,2))	(215,2)	[(502,1)]	(265,2):(215,2):(502,2)	(504,1)	(504,1)	99000	10	45000	30	快	0	0	1500000	70200	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	圣勇战士，浴火重生		0	1	2	160	190	8	[(28225,100)]	(400,2)	303		128	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	烈焰女神	2	29	5	16	5	25988,3	100	0	0			0	橙色	icoBg5	5	88	130	130	[(25680,50),(25719,50)]	79	9080	0	0	88	5011	5011	("HeroNormalSkill",(265,2))	(215,2)	[(502,1), (504, 1)]	(265,2):(215,2):(502,2):(504,1)	(504,2)	(504,2)	137500	10	62500	30	快	1000	0	1500000	70200	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	圣勇战士，浴火重生		0	1	2	160	190	8	[(28225,100)]	(400,2)	303		136	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	神·天空射手	2	6	1	3	6	25984,1	26	0	0			0	红色	icoBg6	6	0	50	50	[(25676,0)]	0	9081	0	0	0	4018	4018	("HeroNormalSkill",(251,2))	(201,2)	[(502,1), (507, 1)]	(251,2):(201,2):(502,2):(504,2)			65000	10	30000	30	中等	1500	0	1500000	50000	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	天空之子，一箭三雕		0	0	0	0	0	0					18	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	神·战争之王	1	24	4	10	6	25987,5	80	0	0			0	红色	icoBg6	6	0	110	110	[(25676,0)]	0	9082	0	0	0	5002	5002	("HeroNormalSkill",(263,2))	(213,2)	[(501,1), (506, 2)]	(263,2):(213,2):(501,2):(506,2)			72000	10	120000	30	慢	0	5000	1500000	29900	0	500000	0	500000	0	5000000	0	0	0	20000000	0	0	0	战场之魂，顶天立地		0	0	0	0	0	0					96	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	神·幻术妖姬	3	24	4	11	6	25987,5	80	0	0			0	红色	icoBg6	6	0	110	110	[(25676,0)]	0	9083	0	0	0	5007	5007	("HeroNormalSkill",(264,2))	(214,2)	[(503,1), (505, 2)]	(264,2):(214,2):(503,2):(505,2)			102000	10	90000	30	慢	2000	0	1500000	30300	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	高强幻术，治愈全军		0	0	0	0	0	0					96	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	神·众神之王	2	24	4	12	6	25987,5	80	0	0			0	红色	icoBg6	6	0	110	110	[(25676,0)]	0	9084	0	0	0	5008	5008	("HeroNormalSkill",(261,2))	(211,2)	[(502,1), (507, 1)]	(261,2):(211,2):(502,2):(504,2)			132000	10	60000	30	中等	1500	0	1500000	50100	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	天地之力，神通广大		0	0	0	0	0	0					96	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	神·大法师	2	24	4	13	6	25987,5	80	0	0			0	红色	icoBg6	6	0	110	110	[(25676,0)]	0	9085	0	0	0	5003	5003	("HeroNormalSkill",(262,2))	(212,2)	[(502,1), (507, 1)]	(262,2):(212,2):(502,2):(504,2)			132000	10	60000	30	中等	1500	0	1500000	49800	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	稀世法师，一手遮天		0	0	0	0	0	0					96	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	神·地狱斧王	1	30	5	14	6	25988,5	100	0	0			0	红色	icoBg6	6	0	130	130	[(25676,0)]	0	9086	0	0	0	5009	5009	("HeroNormalSkill",(266,2))	(216,2)	[(501,1), (506, 2)]	(266,2):(216,2):(501,2):(506,2)			81000	10	135000	30	快	0	5000	1500000	70300	0	500000	0	500000	0	5000000	0	0	0	20000000	0	0	0	炼狱领主，鬼哭狼嚎		0	0	0	0	0	0					144	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	神·寒冰女巫	3	30	5	15	6	25988,5	100	0	0			0	红色	icoBg6	6	305	130	130	[(28218,50)]	0	9087	0	0	305	5010	5010	("HeroNormalSkill",(267,2))	(217,2)	[(503,1), (505, 2)]	(267,2):(217,2):(503,2):(505,2)			114750	10	101250	30	快	2000	0	1500000	70400	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	冰山美人，倾国倾城		160	1	4	160	190	8	[(28226,100)]	(401,2)	308		144	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	神·烈焰女神	2	30	5	16	6	25988,5	100	0	0			0	红色	icoBg6	6	300	130	130	[(28217,50)]	0	9088	0	0	300	5011	5011	("HeroNormalSkill",(265,2))	(215,2)	[(502,1), (507, 1)]	(265,2):(215,2):(502,2):(504,2)			148500	10	67500	30	快	1500	0	1500000	70200	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	圣勇战士，浴火重生		160	1	2	160	190	8	[(28225,100)]	(400,2)	303		144	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	太阳神	2	13	3	17	1		1	0	0			0	白色	0	1	90	60	1	[(25678,1)]	0	9089	0	0	90	4028	4028	("HeroNormalSkill",(258,1))	(9999,1)	[]	(258,1)	(208,1):(502,2):(504,1)	(208,1)	60000	10	30000	30	慢	0	0	1500000	35000	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	炙热之神，一箭穿心		0	0	0	0	0	0					36	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	太阳神	2	14	3	17	2		1	0	0			0	绿色	icoBg1	2	91	70	1	[(25678,5)]	0	9090	0	0	91	4028	4028	("HeroNormalSkill",(258,1))	(208,1)	[]	(258,1):(208,1)	(502,2):(504,1)	(502,2)	66000	10	33000	30	慢	0	0	1500000	35000	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	炙热之神，一箭穿心		0	0	0	0	0	0					42	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	太阳神	2	15	3	17	3		1	0	0			0	蓝色	icoBg2	3	92	80	1	[(25678,25)]	0	9091	0	0	92	4028	4028	("HeroNormalSkill",(258,1))	(208,1)	[(502,1)]	(258,1):(208,1):(502,2)	(504,1)	(258,2):(208,2)	72000	10	36000	30	慢	0	0	1500000	35000	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	炙热之神，一箭穿心		0	0	0	0	0	0					48	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	太阳神	2	16	3	17	4	25986,1	1	0	0			0	紫色	icoBg3	4	93	90	90	[(25678,50)]	92	9092	0	0	93	4028	4028	("HeroNormalSkill",(258,2))	(208,2)	[(502,1)]	(258,2):(208,2):(502,2)	(504,1)	(504,1)	80000	10	40000	30	慢	0	0	1500000	35000	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	炙热之神，一箭穿心		0	0	0	0	0	0					54	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	太阳神	2	17	3	17	5	25986,3	1	0	0			0	橙色	icoBg5	5	94	90	90	[(26122,50)]	0	9093	0	0	94	4028	4028	("HeroNormalSkill",(258,2))	(208,2)	[(502,1), (504, 1)]	(258,2):(208,2):(502,2):(504,1)			120000	10	60000	30	慢	1000	0	1500000	35000	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	炙热之神，一箭穿心		0	0	0	0	0	0					60	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	太阳神	2	23	4	17	5	25987,3	1	0	0			0	橙色	icoBg5	5	95	110	110	[(26121,50)]	92	9094	0	0	95	4028	4028	("HeroNormalSkill",(258,2))	(208,2)	[(502,1), (504, 1)]	(258,2):(208,2):(502,2):(504,1)			126500	10	63250	30	慢	1000	0	1500000	35000	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	炙热之神，一箭穿心		0	0	0	0	0	0					90	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	太阳神	2	24	4	17	6	25987,5	1	0	0			0	红色	icoBg6	6	96	110	110	[(26123,50)]	0	9095	0	0	96	4028	4028	("HeroNormalSkill",(258,2))	(208,2)	[(502,1), (507, 1)]	(258,2):(208,2):(502,2):(504,2)			137500	10	68750	30	慢	1500	0	1500000	35000	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	炙热之神，一箭穿心		0	0	0	0	0	0					96	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	太阳神	2	30	5	17	6	25988,5	1	0	0			0	红色	icoBg6	6	0	130	130	[(25678,0)]	0	9096	0	0	0	4028	4028	("HeroNormalSkill",(258,2))	(208,2)	[(502,1), (507, 1)]	(258,2):(208,2):(502,2):(504,2)			152500	10	76250	30	慢	1500	0	1500000	35000	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	炙热之神，一箭穿心		0	0	0	0	0	0					144	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
