coding	name	wingCoding	wingId	needlevel	grade	posType	nameColor	suitId	canSell	salePrice	Idepro	FaileIdepro	needItem	idegorgeous	gorgeous	Basept1	Basepv1	Basept2	Basepv2	Starpt1	Starpv1	Starpt2	Starpv2	Uppt1	Uppv1	Uppt2	Uppv2	Jdpt1	Jdpv1	Jdpt2	Jdpv2	Jdpt3	Jdpv3	needLog	kinds	propsType	icon	sortLevel	miaoshu	doubleclick	jiaMi
37036	花开富贵		0	45	1	2	[蓝色,紫色,黄色,橙色,红色]	8	1	500	4500	500	[26676,1]	20	8	1	3000	0	0	1	[0,150,330,540,780,1050,1350,1680,2040,2430,2850,3300,3780,4290,4830,5400,6000,6630,7290,7980]	0	0	1	[0,150,300,450,600]	0	0	1	[1452,2916,4404,5862,7296]	11	[100,220,350,500,700]	0	0	1	12	14	chunjieyifu	735	<font color="#E6DFBB">春节套装-衣服部件,图鉴中选择并保存获得春节衣服形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37037	金玉满堂		0	45	1	3	[蓝色,紫色,黄色,橙色,红色]	8	1	500	4500	500	[26676,1]	20	8	8	1000	13	1000	8	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	13	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	8	[0,30,60,90,120]	13	[0,30,60,90,120]	8	[400,800,1200,1600,2000]	13	[400,800,1200,1600,2000]	0	0	1	12	14	chunjietoufa	736	<font color="#E6DFBB">春节套装-帽子部件,图鉴中选择并保存获得春节帽子形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37038	红红火火	27867	13	45	1	4	[蓝色,紫色,黄色,橙色,红色]	8	1	500	4500	500	[26676,1]	20	5	9	500	12	500	9	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	12	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	9	[0,30,60,90,120]	12	[0,30,60,90,120]	9	[400,800,1200,1600,2000]	12	[400,800,1200,1600,2000]	0	0	1	12	14	chunjiechibang	737	<font color="#E6DFBB">春节套装-羽翼部件,图鉴中选择并保存获得春节羽翼形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37039	黑龙之刃		0	45	1	1	[蓝色,紫色,黄色,橙色,红色]	9	1	500	4500	500	[26676,1]	20	8	4	1000	6	1000	4	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	6	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	4	[0,50,100,150,200]	6	[0,50,100,150,200]	4	[484,972,1468,1954,2432]	6	[484,972,1468,1954,2432]	10	[100,220,350,500,700]	1	12	14	heilongzhiren	738	<font color="#E6DFBB">黑龙套装-武器部件,图鉴中选择并保存获得黑龙武器形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37040	黑龙之影		0	45	1	2	[蓝色,紫色,黄色,橙色,红色]	9	1	500	4500	500	[26676,1]	20	8	1	3000	0	0	1	[0,150,330,540,780,1050,1350,1680,2040,2430,2850,3300,3780,4290,4830,5400,6000,6630,7290,7980]	0	0	1	[0,150,300,450,600]	0	0	1	[1452,2916,4404,5862,7296]	11	[100,220,350,500,700]	0	0	1	12	14	heilongzhiying	739	<font color="#E6DFBB">黑龙套装-衣服部件,图鉴中选择并保存获得黑龙衣服形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37041	黑龙之心		0	45	1	3	[蓝色,紫色,黄色,橙色,红色]	9	1	500	4500	500	[26676,1]	20	8	8	1000	13	1000	8	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	13	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	8	[0,30,60,90,120]	13	[0,30,60,90,120]	8	[400,800,1200,1600,2000]	13	[400,800,1200,1600,2000]	0	0	1	12	14	heilongzhixin	740	<font color="#E6DFBB">黑龙套装-帽子部件,图鉴中选择并保存获得黑龙帽子形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37042	黑龙之翼	28270	14	45	1	4	[蓝色,紫色,黄色,橙色,红色]	9	1	500	4500	500	[26676,1]	20	8	9	1000	12	1000	9	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	12	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	9	[0,30,60,90,120]	12	[0,30,60,90,120]	9	[400,800,1200,1600,2000]	12	[400,800,1200,1600,2000]	0	0	1	12	14	heilongzhiyi	741	<font color="#E6DFBB">黑龙套装-羽翼部件,图鉴中选择并保存获得黑龙羽翼形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37043	怒火战刃		0	45	1	1	[蓝色,紫色,黄色,橙色,红色]	10	1	500	4500	500	[26676,1]	20	8	4	1000	6	1000	4	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	6	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	4	[0,50,100,150,200]	6	[0,50,100,150,200]	4	[484,972,1468,1954,2432]	6	[484,972,1468,1954,2432]	10	[100,220,350,500,700]	1	12	14	nuhuozhanren	742	<font color="#E6DFBB">怒火精灵套装-武器部件,图鉴中选择并保存获得怒火战刃形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37044	怒火胸甲		0	45	1	2	[蓝色,紫色,黄色,橙色,红色]	10	1	500	4500	500	[26676,1]	20	8	1	3000	0	0	1	[0,150,330,540,780,1050,1350,1680,2040,2430,2850,3300,3780,4290,4830,5400,6000,6630,7290,7980]	0	0	1	[0,150,300,450,600]	0	0	1	[1452,2916,4404,5862,7296]	11	[100,220,350,500,700]	0	0	1	12	14	nuhuoxiongjia	743	<font color="#E6DFBB">怒火精灵套装-衣服部件,图鉴中选择并保存获得怒火胸甲形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37045	怒火头饰		0	45	1	3	[蓝色,紫色,黄色,橙色,红色]	10	1	500	4500	500	[26676,1]	20	8	8	1100	13	900	8	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	13	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	8	[0,30,60,90,120]	13	[0,30,60,90,120]	8	[400,800,1200,1600,2000]	13	[400,800,1200,1600,2000]	0	0	1	12	14	nuhuotoushi	744	<font color="#E6DFBB">怒火精灵套装-帽子部件,图鉴中选择并保存获得怒火头饰形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37046	怒火羽翼	28669	15	45	1	4	[蓝色,紫色,黄色,橙色,红色]	10	1	500	4500	500	[26676,1]	20	5	9	800	12	1200	9	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	12	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	9	[0,30,60,90,120]	12	[0,30,60,90,120]	9	[400,800,1200,1600,2000]	12	[400,800,1200,1600,2000]	0	0	1	12	14	nuhuoyuyi	745	<font color="#E6DFBB">怒火精灵套装-羽翼部件,图鉴中选择并保存获得怒火羽翼形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37047	黄金利刃		0	45	1	1	[蓝色,紫色,黄色,橙色,红色]	11	1	500	4500	500	[26676,1]	20	8	4	1000	6	1000	4	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	6	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	4	[0,50,100,150,200]	6	[0,50,100,150,200]	4	[484,972,1468,1954,2432]	6	[484,972,1468,1954,2432]	10	[100,220,350,500,700]	1	12	14	huangjinliren	746	<font color="#E6DFBB">黄金铠甲套装-武器部件,图鉴中选择并保存获得黄金利刃武器形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37048	黄金铠甲		0	45	1	2	[蓝色,紫色,黄色,橙色,红色]	11	1	500	4500	500	[26676,1]	20	8	1	3000	0	0	1	[0,150,330,540,780,1050,1350,1680,2040,2430,2850,3300,3780,4290,4830,5400,6000,6630,7290,7980]	0	0	1	[0,150,300,450,600]	0	0	1	[1452,2916,4404,5862,7296]	11	[100,220,350,500,700]	0	0	1	12	14	huangjinkaijia	747	<font color="#E6DFBB">黄金铠甲套装-衣服部件,图鉴中选择并保存获得黄金铠甲形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37049	黄金头盔		0	45	1	3	[蓝色,紫色,黄色,橙色,红色]	11	1	500	4500	500	[26676,1]	20	5	8	900	13	1100	8	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	13	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	8	[0,30,60,90,120]	13	[0,30,60,90,120]	8	[400,800,1200,1600,2000]	13	[400,800,1200,1600,2000]	0	0	1	12	14	huangjintoukui	748	<font color="#E6DFBB">黄金铠甲套装-帽子部件,图鉴中选择并保存获得黄金头盔形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37050	黄金之翼	28670	16	45	1	4	[蓝色,紫色,黄色,橙色,红色]	11	1	500	4500	500	[26676,1]	20	8	9	1200	12	800	9	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	12	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	9	[0,30,60,90,120]	12	[0,30,60,90,120]	9	[400,800,1200,1600,2000]	12	[400,800,1200,1600,2000]	0	0	1	12	14	huangjinzhiyi	749	<font color="#E6DFBB">黄金铠甲套装-羽翼部件,图鉴中选择并保存获得黄金之翼形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37051	七夕之灵		0	45	1	1	[蓝色,紫色,黄色,橙色,红色]	12	1	500	4500	500	[26676,1]	20	8	4	1000	6	1000	4	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	6	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	4	[0,50,100,150,200]	6	[0,50,100,150,200]	4	[484,972,1468,1954,2432]	6	[484,972,1468,1954,2432]	10	[100,220,350,500,700]	1	12	14	qixiwuqi	734	<font color="#E6DFBB">七夕套装-武器部件,图鉴中选择并保存获得七夕武器形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37052	七夕之恋		0	45	1	2	[蓝色,紫色,黄色,橙色,红色]	12	1	500	4500	500	[26676,1]	20	8	1	3000	0	0	1	[0,150,330,540,780,1050,1350,1680,2040,2430,2850,3300,3780,4290,4830,5400,6000,6630,7290,7980]	0	0	1	[0,150,300,450,600]	0	0	1	[1452,2916,4404,5862,7296]	11	[100,220,350,500,700]	0	0	1	12	14	qixiyifu	735	<font color="#E6DFBB">七夕套装-衣服部件,图鉴中选择并保存获得七夕衣服形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37053	七夕之夜		0	45	1	3	[蓝色,紫色,黄色,橙色,红色]	12	1	500	4500	500	[26676,1]	20	8	8	1000	13	1000	8	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	13	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	8	[0,30,60,90,120]	13	[0,30,60,90,120]	8	[400,800,1200,1600,2000]	13	[400,800,1200,1600,2000]	0	0	1	12	14	qixitoufa	736	<font color="#E6DFBB">七夕套装-帽子部件,图鉴中选择并保存获得七夕帽子形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37054	七夕之梦	28668	17	45	1	4	[蓝色,紫色,黄色,橙色,红色]	12	1	500	4500	500	[26676,1]	20	5	9	1000	12	1000	9	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	12	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	9	[0,30,60,90,120]	12	[0,30,60,90,120]	9	[400,800,1200,1600,2000]	12	[400,800,1200,1600,2000]	0	0	1	12	14	qixichibang	737	<font color="#E6DFBB">七夕套装-羽翼部件,图鉴中选择并保存获得七夕羽翼形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37055	圣光制裁		0	45	1	1	[蓝色,紫色,黄色,橙色,红色]	13	1	500	4500	500	[28699,1]	20	8	4	1000	6	1000	4	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	6	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	4	[0,50,100,150,200]	6	[0,50,100,150,200]	4	[484,972,1468,1954,2432]	6	[484,972,1468,1954,2432]	10	[100,220,350,500,700]	1	12	14	shengguangzhicai	734	<font color="#E6DFBB">圣光套装-武器部件,图鉴中选择并保存获得圣光武器形象；所有时装的基础属性（主角）可以叠加生效。<br>圣光套装只能通过消耗华丽时装之魄来鉴定和进阶，只能通过消耗华丽时装精华来升星。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37056	圣光审判		0	45	1	2	[蓝色,紫色,黄色,橙色,红色]	13	1	500	4500	500	[28699,1]	20	8	1	3000	0	0	1	[0,150,330,540,780,1050,1350,1680,2040,2430,2850,3300,3780,4290,4830,5400,6000,6630,7290,7980]	0	0	1	[0,150,300,450,600]	0	0	1	[1452,2916,4404,5862,7296]	11	[100,220,350,500,700]	0	0	1	12	14	shengguangshenpan	735	<font color="#E6DFBB">圣光套装-衣服部件,图鉴中选择并保存获得圣光衣服形象；所有时装的基础属性（主角）可以叠加生效。<br>圣光套装只能通过消耗华丽时装之魄来鉴定和进阶，只能通过消耗华丽时装精华来升星。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37057	圣光祈祷		0	45	1	3	[蓝色,紫色,黄色,橙色,红色]	13	1	500	4500	500	[28699,1]	20	8	8	1000	13	1000	8	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	13	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	8	[0,30,60,90,120]	13	[0,30,60,90,120]	8	[400,800,1200,1600,2000]	13	[400,800,1200,1600,2000]	0	0	1	12	14	shengguangqidao	736	<font color="#E6DFBB">圣光套装-帽子部件,图鉴中选择并保存获得圣光帽子形象；所有时装的基础属性（主角）可以叠加生效。<br>圣光套装只能通过消耗华丽时装之魄来鉴定和进阶，只能通过消耗华丽时装精华来升星。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37058	圣光赐福	28668	18	45	1	4	[蓝色,紫色,黄色,橙色,红色]	13	1	500	4500	500	[28699,1]	20	5	9	1000	12	1000	9	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	12	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	9	[0,30,60,90,120]	12	[0,30,60,90,120]	9	[400,800,1200,1600,2000]	12	[400,800,1200,1600,2000]	0	0	1	12	14	shengguangcifu	737	<font color="#E6DFBB">圣光套装-羽翼部件,图鉴中选择并保存获得圣光羽翼形象；所有时装的基础属性（主角）可以叠加生效。<br>圣光套装只能通过消耗华丽时装之魄来鉴定和进阶，只能通过消耗华丽时装精华来升星。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37059	冰蓝晶璃		0	45	1	1	[蓝色,紫色,黄色,橙色,红色]	14	1	500	4500	500	[26676,1]	20	8	4	1000	6	1000	4	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	6	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	4	[0,50,100,150,200]	6	[0,50,100,150,200]	4	[484,972,1468,1954,2432]	6	[484,972,1468,1954,2432]	10	[100,220,350,500,700]	1	12	14	binglanjingli	734	<font color="#E6DFBB">冰蓝套装-武器部件,图鉴中选择并保存获得冰蓝武器形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37060	冰蓝灵心		0	45	1	2	[蓝色,紫色,黄色,橙色,红色]	14	1	500	4500	500	[26676,1]	20	8	1	3000	0	0	1	[0,150,330,540,780,1050,1350,1680,2040,2430,2850,3300,3780,4290,4830,5400,6000,6630,7290,7980]	0	0	1	[0,150,300,450,600]	0	0	1	[1452,2916,4404,5862,7296]	11	[100,220,350,500,700]	0	0	1	12	14	binglanlingxin	735	<font color="#E6DFBB">冰蓝套装-衣服部件,图鉴中选择并保存获得冰蓝衣服形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37061	冰蓝清梦		0	45	1	3	[蓝色,紫色,黄色,橙色,红色]	14	1	500	4500	500	[26676,1]	20	8	8	1000	13	1000	8	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	13	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	8	[0,30,60,90,120]	13	[0,30,60,90,120]	8	[400,800,1200,1600,2000]	13	[400,800,1200,1600,2000]	0	0	1	12	14	binglanqingmeng	736	<font color="#E6DFBB">冰蓝套装-帽子部件,图鉴中选择并保存获得冰蓝帽子形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37062	冰蓝雪舞	28668	19	45	1	4	[蓝色,紫色,黄色,橙色,红色]	14	1	500	4500	500	[26676,1]	20	5	9	1000	12	1000	9	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	12	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	9	[0,30,60,90,120]	12	[0,30,60,90,120]	9	[400,800,1200,1600,2000]	12	[400,800,1200,1600,2000]	0	0	1	12	14	binglanxuewu	737	<font color="#E6DFBB">冰蓝套装-羽翼部件,图鉴中选择并保存获得冰蓝羽翼形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37063	海盗之刃		0	45	1	1	[蓝色,紫色,黄色,橙色,红色]	15	1	500	4500	500	[26676,1]	20	8	4	1000	6	1000	4	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	6	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	4	[0,50,100,150,200]	6	[0,50,100,150,200]	4	[484,972,1468,1954,2432]	6	[484,972,1468,1954,2432]	10	[100,220,350,500,700]	1	12	14	haidaozhiren	734	<font color="#E6DFBB">海盗套装-武器部件,图鉴中选择并保存获得海盗武器形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37064	海盗魅影		0	45	1	2	[蓝色,紫色,黄色,橙色,红色]	15	1	500	4500	500	[26676,1]	20	8	1	3000	0	0	1	[0,150,330,540,780,1050,1350,1680,2040,2430,2850,3300,3780,4290,4830,5400,6000,6630,7290,7980]	0	0	1	[0,150,300,450,600]	0	0	1	[1452,2916,4404,5862,7296]	11	[100,220,350,500,700]	0	0	1	12	14	haidaomeiying	735	<font color="#E6DFBB">海盗套装-衣服部件,图鉴中选择并保存获得海盗衣服形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37065	海盗之风		0	45	1	3	[蓝色,紫色,黄色,橙色,红色]	15	1	500	4500	500	[26676,1]	20	8	8	1000	13	1000	8	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	13	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	8	[0,30,60,90,120]	13	[0,30,60,90,120]	8	[400,800,1200,1600,2000]	13	[400,800,1200,1600,2000]	0	0	1	12	14	haidaozhifeng	736	<font color="#E6DFBB">海盗套装-帽子部件,图鉴中选择并保存获得海盗帽子形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37066	海盗之翼	28810	20	45	1	4	[蓝色,紫色,黄色,橙色,红色]	15	1	500	4500	500	[26676,1]	20	5	9	1000	12	1000	9	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	12	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	9	[0,30,60,90,120]	12	[0,30,60,90,120]	9	[400,800,1200,1600,2000]	12	[400,800,1200,1600,2000]	0	0	1	12	14	haidaozhiyi	737	<font color="#E6DFBB">海盗套装-羽翼部件,图鉴中选择并保存获得海盗羽翼形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37067	冰霜利刃		0	45	1	1	[蓝色,紫色,黄色,橙色,红色]	16	1	500	4500	500	[26676,1]	20	8	4	1000	6	1000	4	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	6	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	4	[0,50,100,150,200]	6	[0,50,100,150,200]	4	[484,972,1468,1954,2432]	6	[484,972,1468,1954,2432]	10	[100,220,350,500,700]	1	12	14	bingshuangliren	734	<font color="#E6DFBB">冰霜套装-武器部件,图鉴中选择并保存获得冰霜武器形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37068	冰霜祝福		0	45	1	2	[蓝色,紫色,黄色,橙色,红色]	16	1	500	4500	500	[26676,1]	20	8	1	3000	0	0	1	[0,150,330,540,780,1050,1350,1680,2040,2430,2850,3300,3780,4290,4830,5400,6000,6630,7290,7980]	0	0	1	[0,150,300,450,600]	0	0	1	[1452,2916,4404,5862,7296]	11	[100,220,350,500,700]	0	0	1	12	14	bingshuangzhufu	735	<font color="#E6DFBB">冰霜套装-衣服部件,图鉴中选择并保存获得冰霜衣服形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37069	冰霜之力		0	45	1	3	[蓝色,紫色,黄色,橙色,红色]	16	1	500	4500	500	[26676,1]	20	8	8	1000	13	1000	8	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	13	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	8	[0,30,60,90,120]	13	[0,30,60,90,120]	8	[400,800,1200,1600,2000]	13	[400,800,1200,1600,2000]	0	0	1	12	14	bingshuangzhili	736	<font color="#E6DFBB">冰霜套装-帽子部件,图鉴中选择并保存获得冰霜帽子形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37070	冰霜之翼	28974	21	45	1	4	[蓝色,紫色,黄色,橙色,红色]	16	1	500	4500	500	[26676,1]	20	5	9	1000	12	1000	9	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	12	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	9	[0,30,60,90,120]	12	[0,30,60,90,120]	9	[400,800,1200,1600,2000]	12	[400,800,1200,1600,2000]	0	0	1	12	14	bingshuangzhiyi	737	<font color="#E6DFBB">冰霜套装-羽翼部件,图鉴中选择并保存获得冰霜羽翼形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37071	死灵之刃		0	45	1	1	[蓝色,紫色,黄色,橙色,红色]	16	1	500	4500	500	[26676,1]	20	8	4	1000	6	1000	4	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	6	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	4	[0,50,100,150,200]	6	[0,50,100,150,200]	4	[484,972,1468,1954,2432]	6	[484,972,1468,1954,2432]	10	[100,220,350,500,700]	1	12	14	silingzhiren	734	<font color="#E6DFBB">死灵套装-武器部件,图鉴中选择并保存获得死灵武器形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
