subTaskIndex	needTaskIndex	needLevel	rewardExp	rewardMoney	rewardBindRMB	rewardItems	taskType	taskParam	taskParamWhat	TaskGuide	taskWhat	khdtaskName1	desc1	khdtaskName2	desc2	ChuFa1	ChuFa2
43	42	38	10000	0	0	0	3	(19,0)			     #C(#FFFF00)神圣祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【38级】神圣祭司#n（未完成）	     通关副本#C(#FFFF00)神圣祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【38级】神圣祭司#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)神圣祭司#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,43)
44	43	38	10000	0	0	0	3	(20,0)			     #C(#FFFF00)红袍女巫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【38级】红袍女巫#n（未完成）	     通关副本#C(#FFFF00)红袍女巫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【38级】红袍女巫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)红袍女巫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,44)
45	44	39	1000	0	0	0	3	(21,0)			     #C(#FFFF00)龙人护卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【39级】龙人护卫#n（未完成）	     通关副本#C(#FFFF00)龙人护卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【39级】龙人护卫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)龙人护卫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,45)
46	45	39	1000	0	0	0	3	(22,0)			     #C(#FFFF00)绝美艳后#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【39级】绝美艳后#n（未完成）	     通关副本#C(#FFFF00)绝美艳后#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【39级】绝美艳后#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)绝美艳后#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,46)
47	46	40	10000	0	0	0	3	(23,0)			     #C(#FFFF00)龙人勇者#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【40级】龙人勇者#n（未完成）	     通关副本#C(#FFFF00)龙人勇者#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【40级】龙人勇者#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)龙人勇者#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,47)
48	47	41	10000	0	0	0	3	(24,0)			     #C(#FFFF00)虔诚祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【41级】虔诚祭司#n（未完成）	     通关副本#C(#FFFF00)虔诚祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【41级】虔诚祭司#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)虔诚祭司#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,48)
49	48	42	10000	0	0	0	3	(25,0)			     #C(#FFFF00)月光女神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【42级】月光女神#n（未完成）	     通关副本#C(#FFFF00)月光女神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【42级】月光女神#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)月光女神#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,49)
50	49	43	10000	0	0	0	3	(26,0)			     #C(#FFFF00)圣光女巫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【43级】圣光女巫#n（未完成）	     通关副本#C(#FFFF00)圣光女巫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【43级】圣光女巫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)圣光女巫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,50)
51	50	44	10000	0	0	0	3	(27,0)			     #C(#FFFF00)龙人魔导#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【44级】龙人魔导#n（未完成）	     通关副本#C(#FFFF00)龙人魔导#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【44级】龙人魔导#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)龙人魔导#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,51)
52	51	45	10000	0	0	0	3	(28,0)			     #C(#FFFF00)御林铁卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【45级】御林铁卫#n（未完成）	     通关副本#C(#FFFF00)御林铁卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【45级】御林铁卫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)御林铁卫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,52)
53	52	46	10000	0	0	0	3	(29,0)			     #C(#FFFF00)神女祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【46级】神女祭司#n（未完成）	     通关副本#C(#FFFF00)神女祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【46级】神女祭司#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)神女祭司#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,53)
54	53	47	10000	0	0	0	3	(30,0)			     #C(#FFFF00)雷神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【47级】雷神#n（未完成）	     通关副本#C(#FFFF00)雷神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【47级】雷神#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)雷神#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,54)
55	54	48	10000	0	0	0	3	(31,0)			     #C(#FFFF00)圣辉守卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【48级】圣辉守卫#n（未完成）	     通关副本#C(#FFFF00)圣辉守卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【48级】圣辉守卫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)圣辉守卫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,55)
56	55	49	10000	0	0	0	3	(32,0)			     #C(#FFFF00)众神之王#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【49级】众神之王#n（未完成）	     通关副本#C(#FFFF00)众神之王#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【49级】众神之王#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)众神之王#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,56)
57	56	50	10000	0	0	0	3	(33,0)			     #C(#FFFF00)见习法师#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【50级】见习法师#n（未完成）	     通关副本#C(#FFFF00)见习法师#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【50级】见习法师#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)见习法师#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,57)
58	57	51	10000	0	0	0	3	(34,0)			     #C(#FFFF00)死神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【51级】死神#n（未完成）	     通关副本#C(#FFFF00)死神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【51级】死神#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)死神#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,58)
59	58	52	10000	0	0	0	3	(35,0)			     #C(#FFFF00)圣光神女#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【52级】圣光神女#n（未完成）	     通关副本#C(#FFFF00)圣光神女#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【52级】圣光神女#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)圣光神女#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,59)
60	59	53	10000	0	0	0	3	(36,0)			     #C(#FFFF00)执法队长#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【53级】执法队长#n（未完成）	     通关副本#C(#FFFF00)执法队长#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【53级】执法队长#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)执法队长#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,60)
61	60	54	10000	0	0	0	3	(37,0)			     #C(#FFFF00)顽固龙人#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【54级】顽固龙人#n（未完成）	     通关副本#C(#FFFF00)顽固龙人#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【54级】顽固龙人#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)顽固龙人#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,61)
62	61	55	10000	0	0	0	3	(38,0)			     #C(#FFFF00)红袍女巫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【55级】红袍女巫#n（未完成）	     通关副本#C(#FFFF00)红袍女巫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【55级】红袍女巫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)红袍女巫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,62)
63	62	56	10000	0	0	0	3	(39,0)			     #C(#FFFF00)圣光祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【56级】圣光祭司#n（未完成）	     通关副本#C(#FFFF00)圣光祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【56级】圣光祭司#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)圣光祭司#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,63)
64	63	57	10000	0	0	0	3	(40,0)			     #C(#FFFF00)审判之箭#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【57级】审判之箭#n（未完成）	     通关副本#C(#FFFF00)审判之箭#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【57级】审判之箭#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)审判之箭#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,64)
65	64	58	10000	0	0	0	3	(41,0)			     #C(#FFFF00)火之女巫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【58级】火之女巫#n（未完成）	     通关副本#C(#FFFF00)火之女巫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【58级】火之女巫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)火之女巫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,65)
66	65	59	10000	0	0	0	3	(42,0)			     #C(#FFFF00)血族剑姬#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【59级】血族剑姬#n（未完成）	     通关副本#C(#FFFF00)血族剑姬#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【59级】血族剑姬#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)血族剑姬#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,66)
67	66	60	10000	0	0	0	3	(43,0)			     #C(#FFFF00)放哨士兵#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【60级】放哨士兵#n（未完成）	     通关副本#C(#FFFF00)放哨士兵#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【60级】放哨士兵#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)放哨士兵#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,67)
68	67	61	10000	0	0	0	3	(44,0)			     #C(#FFFF00)夺命剑姬#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【61级】夺命剑姬#n（未完成）	     通关副本#C(#FFFF00)夺命剑姬#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【61级】夺命剑姬#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)夺命剑姬#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,68)
69	68	62	10000	0	0	0	3	(45,0)			     #C(#FFFF00)守卫之剑#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【62级】守卫之剑#n（未完成）	     通关副本#C(#FFFF00)守卫之剑#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【62级】守卫之剑#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)守卫之剑#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,69)
70	69	63	10000	0	0	0	3	(46,0)			     #C(#FFFF00)神王残影#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【63级】神王残影#n（未完成）	     通关副本#C(#FFFF00)神王残影#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【63级】神王残影#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)神王残影#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,70)
71	70	64	10000	0	0	0	3	(47,0)			     #C(#FFFF00)守卫之手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【64级】守卫之手#n（未完成）	     通关副本#C(#FFFF00)守卫之手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【64级】守卫之手#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)守卫之手#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,71)
72	71	65	10000	0	0	0	3	(48,0)			     #C(#FFFF00)守卫之翼#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【65级】守卫之翼#n（未完成）	     通关副本#C(#FFFF00)守卫之翼#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【65级】守卫之翼#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)守卫之翼#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,72)
73	72	66	10000	0	0	0	3	(49,0)			     #C(#FFFF00)震怒雷神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【66级】震怒雷神#n（未完成）	     通关副本#C(#FFFF00)震怒雷神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【66级】震怒雷神#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)震怒雷神#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,73)
74	73	67	10000	0	0	0	3	(50,0)			     #C(#FFFF00)守卫之盾#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【67级】守卫之盾#n（未完成）	     通关副本#C(#FFFF00)守卫之盾#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【67级】守卫之盾#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)守卫之盾#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,74)
75	74	68	10000	0	0	0	3	(51,0)			     #C(#FFFF00)大法师#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【68级】大法师#n（未完成）	     通关副本#C(#FFFF00)大法师#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【68级】大法师#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)大法师#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,75)
76	75	69	10000	0	0	0	3	(52,0)			     #C(#FFFF00)虔诚火女#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【69级】虔诚火女#n（未完成）	     通关副本#C(#FFFF00)虔诚火女#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【69级】虔诚火女#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)虔诚火女#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,76)
77	76	70	10000	0	0	0	3	(53,0)			     #C(#FFFF00)审判之箭#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【70级】审判之箭#n（未完成）	     通关副本#C(#FFFF00)审判之箭#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【70级】审判之箭#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)审判之箭#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,77)
78	77	71	10000	0	0	0	3	(54,0)			     #C(#FFFF00)红衣祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【71级】红衣祭司#n（未完成）	     通关副本#C(#FFFF00)红衣祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【71级】红衣祭司#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)红衣祭司#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,78)
79	78	72	10000	0	0	0	3	(55,0)			     #C(#FFFF00)圣光法师#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【72级】圣光法师#n（未完成）	     通关副本#C(#FFFF00)圣光法师#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【72级】圣光法师#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)圣光法师#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,79)
80	79	73	10000	0	0	0	3	(56,0)			     #C(#FFFF00)红袍法师#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【73级】红袍法师#n（未完成）	     通关副本#C(#FFFF00)红袍法师#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【73级】红袍法师#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)红袍法师#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,80)
81	80	74	10000	0	0	0	3	(57,0)			     #C(#FFFF00)龙人总管#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【74级】龙人总管#n（未完成）	     通关副本#C(#FFFF00)龙人总管#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【74级】龙人总管#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)龙人总管#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,81)
82	81	75	10000	0	0	0	3	(58,0)			     #C(#FFFF00)审判天后#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【75级】审判天后#n（未完成）	     通关副本#C(#FFFF00)审判天后#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【75级】审判天后#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)审判天后#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,82)
83	82	76	10000	0	0	0	3	(59,0)			     #C(#FFFF00)龙人弓手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【76级】龙人弓手#n（未完成）	     通关副本#C(#FFFF00)龙人弓手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【76级】龙人弓手#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)龙人弓手#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,83)
84	83	77	10000	0	0	0	3	(60,0)			     #C(#FFFF00)圣辉之魂#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【77级】圣辉之魂#n（未完成）	     通关副本#C(#FFFF00)圣辉之魂#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【77级】圣辉之魂#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)圣辉之魂#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,84)
85	84	78	10000	0	0	0	3	(61,0)			     #C(#FFFF00)钢铁守卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【78级】钢铁守卫#n（未完成）	     通关副本#C(#FFFF00)钢铁守卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【78级】钢铁守卫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)钢铁守卫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,85)
86	85	79	10000	0	0	0	3	(62,0)			     #C(#FFFF00)地狱斧王#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【79级】地狱斧王#n（未完成）	     通关副本#C(#FFFF00)地狱斧王#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【79级】地狱斧王#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)地狱斧王#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,86)
87	86	80	10000	0	0	0	3	(63,0)			     #C(#FFFF00)龙魔导#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【80级】龙魔导#n（未完成）	     通关副本#C(#FFFF00)龙魔导#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【80级】龙魔导#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)龙魔导#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,87)
88	87	81	10000	0	0	0	3	(64,0)			     #C(#FFFF00)龙弓手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【81级】龙弓手#n（未完成）	     通关副本#C(#FFFF00)龙弓手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【81级】龙弓手#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)龙弓手#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,88)
89	88	82	10000	0	0	0	3	(65,0)			     #C(#FFFF00)幻术妖姬#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【82级】幻术妖姬#n（未完成）	     通关副本#C(#FFFF00)幻术妖姬#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【82级】幻术妖姬#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)幻术妖姬#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,89)
